HOME/AWAY,Opponent,勝敗,send_得点,send_失点,send_ゴール期待値,Opponent_ゴール期待値,send_シュート,Opponent_シュート,send_枠内シュート,Opponent_枠内シュート,send_PKによるシュート,Opponent_PKによるシュート,send_パス,Opponent_パス,send_クロス,Opponent_クロス,send_直接ＦＫ,Opponent_直接ＦＫ,send_間接ＦＫ,Opponent_間接ＦＫ,send_ＣＫ,Opponent_ＣＫ,send_スローイン,Opponent_スローイン,send_ドリブル,Opponent_ドリブル,send_タックル,Opponent_タックル,send_クリア,Opponent_クリア,send_インターセプト,Opponent_インターセプト,send_オフサイド,Opponent_オフサイド,send_警告,Opponent_警告,send_退場,Opponent_退場,send_３０ｍライン進入,Opponent_３０ｍライン進入,send_ペナルティエリア進入,Opponent_ペナルティエリア進入,send_総移動距離,Opponent_総移動距離,send_スプリント,Opponent_スプリント,send_攻撃回数,Opponent_攻撃回数,send_チャンス構築率,Opponent_チャンス構築率,send_ボール保持率,Opponent_ボール保持率,URL
A,鹿島,L,1,2,1.402,1.962,12,14,2,5,0,0,353,553,12,18,10,12,3,4,7,6,21,14,11,9,18,27,18,18,0,3,4,3,2,0,0,0,30,70,8,16,"111,320m","109,519m",150,156,110,107,10.9%,13.1%,43.4%,56.6%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=09
H,大分,L,0,3,1.228,1.939,14,14,3,6,0,0,414,531,20,21,9,10,1,1,4,9,30,17,7,9,9,19,19,34,0,2,1,1,1,0,0,0,24,47,6,13,"117,541m","120,375m",165,173,109,104,12.8%,13.5%,44.6%,55.4%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=13
A,FC東京,L,0,1,0.943,0.588,12,12,4,4,0,0,549,353,14,4,12,11,1,0,4,4,26,33,11,5,14,25,17,22,1,3,0,1,1,1,0,0,40,37,11,9,"110,060m","113,303m",156,216,119,123,10.1%,9.8%,55.9%,44.1%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=20
A,横浜FM,L,1,3,0.34,2.836,9,24,4,8,0,0,322,867,17,35,11,5,1,4,5,6,18,24,13,17,29,27,22,15,8,4,4,1,1,0,0,0,25,84,6,35,"120,027m","120,715m",180,195,137,138,6.6%,17.4%,32.8%,67.2%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=23
H,Ｃ大阪,L,2,3,1.619,2.27,9,19,5,5,1,0,335,521,17,17,4,11,3,0,5,8,25,18,13,15,11,15,22,17,0,1,0,3,0,0,0,0,30,46,7,12,"113,853m","109,700m",159,152,109,113,8.3%,16.8%,41.2%,58.8%,https://www.football-lab.jp/send/report/?year=2020&month=09&date=27
A,札幌,D,3,3,1.805,2.127,13,16,7,6,0,0,296,627,14,28,7,11,2,3,5,5,29,23,9,23,13,27,23,23,1,1,3,2,1,1,0,0,22,51,6,26,"111,682m","109,473m",141,145,107,104,12.1%,15.4%,36.1%,63.9%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=03
A,川崎Ｆ,L,0,1,0.959,2.597,8,22,1,7,0,0,403,727,17,28,8,10,1,1,3,10,18,16,15,16,16,25,34,24,3,2,1,1,0,0,0,0,24,75,5,23,"114,714m","111,111m",155,148,109,114,7.3%,19.3%,40%,60%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=10
H,横浜FC,D,0,0,0.858,0.574,5,10,0,2,0,0,301,705,22,19,9,14,1,2,6,6,22,37,9,12,17,19,25,19,3,2,2,1,2,1,0,0,22,55,7,12,"114,222m","115,915m",160,170,110,123,4.5%,8.1%,32.4%,67.6%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=14
A,浦和,L,0,6,1.478,3.368,18,18,2,10,0,1,604,383,21,16,8,4,1,1,6,5,17,17,17,16,19,23,15,21,2,1,1,1,1,1,0,0,56,42,17,16,"112,591m","111,240m",173,192,118,117,15.3%,15.4%,59.4%,40.6%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=18
A,名古屋,L,0,1,0.108,0.916,1,17,0,7,0,0,359,636,11,22,6,7,1,2,1,13,28,29,8,20,15,14,25,19,2,0,2,1,0,0,0,0,27,49,2,12,"115,936m","117,366m",168,189,115,132,0.9%,12.9%,38.8%,61.2%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=24
H,神戸,L,2,3,1.335,3.514,8,25,3,8,0,0,379,638,20,22,2,13,4,1,4,10,17,25,7,16,18,15,24,19,3,5,1,3,0,1,0,0,25,61,11,21,"120,520m","118,052m",180,184,118,132,6.8%,18.9%,39.1%,60.9%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=28
H,広島,D,0,0,0.948,2.009,8,18,1,5,0,0,352,525,16,23,14,13,2,1,3,6,27,28,8,11,18,16,15,22,1,1,1,2,2,0,0,0,24,47,7,17,"115,607m","113,986m",180,181,129,139,6.2%,12.9%,41.3%,58.7%,https://www.football-lab.jp/send/report/?year=2020&month=10&date=31
H,鳥栖,L,0,3,0.16,1.832,5,19,0,6,0,0,424,578,16,16,9,9,5,2,4,7,26,17,11,13,20,17,16,29,0,3,2,5,3,0,0,0,22,43,0,18,"112,437m","117,936m",156,185,117,120,4.3%,15.8%,40.3%,59.7%,https://www.football-lab.jp/send/report/?year=2020&month=11&date=08
A,Ｇ大阪,W,4,0,1.689,1.006,16,11,7,1,0,0,321,635,12,25,9,10,4,3,6,6,22,27,8,10,14,18,45,17,2,1,3,4,0,1,0,0,28,64,11,16,"113,853m","110,086m",139,131,113,118,14.2%,9.3%,38.8%,61.2%,https://www.football-lab.jp/send/report/?year=2020&month=11&date=14
H,FC東京,D,2,2,1.255,1.581,10,10,5,4,0,0,587,467,23,14,8,11,2,2,2,7,22,15,12,15,24,15,16,26,2,1,2,2,4,2,0,0,62,32,9,13,"117,367m","116,568m",157,206,116,119,8.6%,8.4%,53.3%,46.7%,https://www.football-lab.jp/send/report/?year=2020&month=11&date=18
H,鹿島,L,1,3,1.029,1.286,8,18,4,7,0,0,449,533,26,25,14,8,5,5,0,7,27,21,16,13,14,16,15,30,1,4,5,5,0,1,0,0,42,55,6,17,"117,023m","118,655m",192,176,127,119,6.3%,15.1%,46.3%,53.7%,https://www.football-lab.jp/send/report/?year=2020&month=11&date=21
A,鳥栖,W,1,0,1.741,1.638,15,20,2,9,0,0,388,749,16,28,6,14,4,2,2,7,20,18,9,23,16,12,37,20,0,3,2,4,1,0,0,0,24,78,9,27,"126,173m","128,789m",171,203,113,120,13.3%,16.7%,37%,63%,https://www.football-lab.jp/send/report/?year=2020&month=11&date=25
H,柏,L,0,2,1.137,1.955,8,13,1,4,0,0,570,548,27,20,13,14,1,0,5,3,17,18,12,6,11,22,12,29,1,4,0,1,0,0,0,0,53,46,12,17,"123,789m","123,486m",162,187,118,119,6.8%,10.9%,48.4%,51.6%,https://www.football-lab.jp/send/report/?year=2020&month=12&date=01
A,大分,W,2,0,0.982,0.513,12,7,4,1,0,0,254,743,6,25,11,5,1,2,2,10,16,14,5,11,18,10,31,8,3,6,2,1,0,2,0,0,18,62,5,13,"116,421m","113,601m",166,187,103,114,11.7%,6.1%,29.3%,70.7%,https://www.football-lab.jp/send/report/?year=2020&month=12&date=06
A,清水,W,3,2,0.53,0.621,8,9,5,3,0,0,368,697,13,9,11,11,2,1,6,2,30,21,10,9,12,16,19,20,2,2,1,2,4,1,0,0,35,28,7,7,"117,699m","114,738m",131,144,135,119,5.9%,7.6%,37.5%,62.5%,https://www.football-lab.jp/send/report/?year=2020&month=12&date=16
H,湘南,D,0,0,0.858,1.412,10,18,5,2,0,0,488,375,22,24,21,8,3,2,1,13,17,18,7,18,9,12,32,24,2,2,2,3,2,0,0,0,30,37,10,17,"109,891m","110,977m",149,177,110,114,9.1%,15.8%,53.9%,46.1%,https://www.football-lab.jp/send/report/?year=2020&month=12&date=19
