HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,L,0,1,0.681,1.426,7,12,0,2,0,0,379,509,15,17,8,8,1,5,4,9,16,28,11,9,20,15,16,12,1,1,5,1,1,1,0,0,30,39,4,7,"110,813m","108,334m",166,156,105,121,6.7%,9.9%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2020&month=08&date=19
A,FC東京,L,0,3,0.392,1.481,8,17,4,10,0,0,496,388,12,11,15,11,3,0,6,4,15,23,9,9,22,17,16,17,1,3,0,3,2,0,0,0,42,35,8,17,"110,794m","109,697m",153,194,116,110,6.9%,15.5%,55.5%,44.5%,https://www.football-lab.jp/shon/report/?year=2020&month=08&date=23
H,神戸,D,1,1,1.12,1.152,12,18,4,5,0,0,330,673,13,14,4,6,1,2,2,6,22,25,7,15,19,20,26,15,3,0,2,1,0,1,0,0,30,45,8,15,"113,294m","107,166m",179,173,113,122,10.6%,14.8%,36.9%,63.1%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=05
A,大分,D,2,2,0.528,1.121,4,16,3,5,0,0,286,781,7,26,7,9,2,1,1,7,21,28,3,9,12,20,39,12,3,1,1,2,1,1,0,0,29,62,6,17,"123,121m","120,329m",175,170,104,122,3.8%,13.1%,32.9%,67.1%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=09
A,Ｇ大阪,W,1,0,1.394,1.906,11,22,2,4,0,0,377,647,14,15,7,11,2,1,4,5,15,29,7,18,21,17,33,16,4,4,1,2,2,0,0,0,29,52,8,15,"111,508m","110,935m",152,156,122,129,9.0%,17.1%,41.7%,58.3%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=13
H,清水,L,0,3,0.571,2.007,9,18,2,8,0,0,340,499,18,9,13,12,3,1,3,3,24,22,11,11,16,19,16,24,1,2,1,3,0,0,0,0,38,43,9,13,"107,329m","107,969m",132,125,114,111,7.9%,16.2%,45.2%,54.8%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=19
A,鹿島,L,0,1,1.164,0.886,9,14,3,5,0,0,280,681,13,21,9,15,1,2,5,7,24,32,4,10,26,15,28,18,4,3,2,1,1,2,0,0,17,59,7,15,"112,687m","108,977m",162,153,128,131,7.0%,10.7%,35.1%,64.9%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=23
H,川崎Ｆ,L,0,1,0.637,1.814,6,22,1,5,0,0,430,741,15,18,6,4,1,0,3,13,19,27,9,12,17,28,24,20,4,0,0,1,0,1,0,0,29,68,9,30,"109,243m","107,722m",158,150,102,115,5.9%,19.1%,42.7%,57.3%,https://www.football-lab.jp/shon/report/?year=2020&month=09&date=27
H,FC東京,L,0,1,0.251,0.759,4,10,0,5,0,0,460,440,16,11,13,15,3,1,2,3,27,23,12,13,26,24,13,13,0,3,0,3,1,1,0,0,30,27,8,12,"112,185m","108,965m",184,197,134,138,3.0%,7.2%,52.3%,47.7%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=04
A,札幌,L,1,2,0.488,2.062,5,15,2,4,0,0,363,538,9,12,19,13,3,0,4,4,26,21,8,12,22,22,28,34,2,1,0,3,0,1,0,0,21,29,3,18,"118,820m","116,804m",219,209,131,123,3.8%,12.2%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=10
A,Ｃ大阪,L,0,1,0.793,0.917,10,13,1,3,0,0,392,495,14,16,8,9,6,0,5,9,15,26,5,7,23,13,26,13,2,0,0,6,1,2,0,0,36,29,9,4,"122,704m","121,125m",224,147,108,121,9.3%,10.7%,45.7%,54.3%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=14
H,柏,W,3,2,0.705,1.455,9,13,5,6,0,0,373,406,14,10,15,15,3,2,8,4,20,26,16,2,17,32,13,21,3,2,0,3,2,4,0,0,37,29,13,9,"112,274m","108,751m",184,146,131,131,6.9%,9.9%,49.8%,50.2%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=18
H,鳥栖,D,0,0,0.159,0.557,3,7,0,3,0,0,405,485,19,9,11,10,5,2,5,6,31,26,11,8,11,18,21,33,2,1,2,5,0,1,0,0,44,34,12,6,"114,803m","117,307m",178,171,127,121,2.4%,5.8%,44.6%,55.4%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=21
A,鳥栖,D,2,2,0.993,1.21,11,12,3,5,0,0,364,670,18,20,6,10,4,2,2,7,12,24,6,15,26,26,27,22,0,0,2,4,0,1,0,0,34,38,7,12,"117,015m","116,469m",194,142,108,116,10.2%,10.3%,38.9%,61.1%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=25
H,横浜FC,W,1,0,0.656,1.916,10,17,4,4,0,0,343,614,15,16,12,11,0,0,2,6,24,22,15,9,28,22,17,15,4,1,0,0,1,1,0,0,24,32,9,11,"115,299m","114,224m",168,164,113,114,8.8%,14.9%,37.8%,62.2%,https://www.football-lab.jp/shon/report/?year=2020&month=10&date=31
H,横浜FM,W,1,0,0.959,1.077,6,15,2,7,0,0,342,814,9,21,14,10,4,2,2,5,17,23,11,15,22,21,25,13,0,2,2,4,1,1,0,0,21,92,7,21,"123,387m","126,377m",177,184,134,136,4.5%,11.0%,37.8%,62.2%,https://www.football-lab.jp/shon/report/?year=2020&month=11&date=11
A,神戸,W,2,0,1.531,3.037,13,20,8,7,0,0,332,798,12,20,8,11,1,0,4,5,10,21,7,15,17,18,18,10,3,2,0,1,0,1,0,0,24,67,7,18,"119,034m","111,361m",179,191,112,119,11.6%,16.8%,32.4%,67.6%,https://www.football-lab.jp/shon/report/?year=2020&month=11&date=15
A,名古屋,L,1,3,1.487,0.665,6,14,2,6,0,0,403,717,6,7,6,15,1,0,2,2,20,15,13,11,13,17,10,11,2,2,0,1,1,0,0,0,31,43,3,13,"117,014m","115,830m",170,165,109,113,5.5%,12.4%,39.9%,60.1%,https://www.football-lab.jp/shon/report/?year=2020&month=11&date=21
H,広島,D,1,1,0.98,1.273,13,14,7,5,0,0,358,675,10,12,10,14,1,0,4,2,22,30,16,8,23,19,25,13,0,3,0,1,1,0,0,0,22,48,6,15,"120,288m","119,105m",173,140,130,130,10.0%,10.8%,39.5%,60.5%,https://www.football-lab.jp/shon/report/?year=2020&month=11&date=25
A,清水,D,1,1,0.522,1.83,6,15,2,4,0,0,400,627,12,18,8,4,2,0,4,7,24,24,13,19,24,22,27,21,0,0,0,2,0,1,0,0,27,52,6,20,"112,796m","113,768m",166,191,123,117,4.9%,12.8%,43%,57%,https://www.football-lab.jp/shon/report/?year=2020&month=11&date=29
H,Ｇ大阪,L,1,2,1.441,0.932,10,12,2,5,1,0,490,320,20,9,11,6,2,4,6,0,30,27,19,6,24,20,15,31,2,3,4,2,1,3,0,0,45,32,14,13,"112,412m","115,869m",166,143,147,129,6.8%,9.3%,59.1%,40.9%,https://www.football-lab.jp/shon/report/?year=2020&month=12&date=06
A,浦和,D,0,0,1.549,0.9,14,9,3,1,0,0,385,649,22,12,14,12,2,2,7,4,15,14,13,8,18,25,25,13,1,1,2,2,1,1,0,0,49,41,11,14,"117,270m","113,076m",202,184,115,113,12.2%,8.0%,41.3%,58.7%,https://www.football-lab.jp/shon/report/?year=2020&month=12&date=12
H,大分,L,1,2,2.221,1.872,14,13,3,3,0,0,468,516,17,7,19,11,2,2,6,2,30,17,10,8,13,18,12,30,1,2,2,2,0,1,0,0,34,30,11,10,"119,536m","119,192m",157,167,130,110,10.8%,11.8%,47.9%,52.1%,https://www.football-lab.jp/shon/report/?year=2020&month=12&date=16
A,仙台,D,0,0,1.412,0.858,18,10,2,5,0,0,375,488,24,22,8,21,2,3,13,1,18,17,18,7,12,9,24,32,2,2,3,2,0,2,0,0,37,30,17,10,"110,977m","109,891m",177,149,114,110,15.8%,9.1%,46.1%,53.9%,https://www.football-lab.jp/shon/report/?year=2020&month=12&date=19
