HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_ゴール期待値,Opponent_ゴール期待値,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
A,横浜FM,W,3,2,1.067,3.531,3,29,3,8,1,0,320,788,3,49,13,7,2,4,1,12,18,26,8,6,13,20,61,11,1,0,4,1,0,3,0,0,16,85,2,34,"113,344m","118,824m",155,155,122,128,2.5%,22.7%,37.9%,62.1%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=04
A,柏,L,3,4,4.095,1.842,21,11,9,7,1,0,697,402,14,13,11,6,0,0,7,3,23,15,14,9,14,23,20,29,3,2,0,0,1,2,0,1,51,28,15,12,"116,514m","115,471m",189,205,122,113,17.2%,9.7%,61.4%,38.6%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=10
H,大分,D,1,1,0.625,1.563,8,13,2,5,0,0,561,547,8,17,8,9,1,1,3,5,22,38,12,13,25,23,24,20,0,1,1,1,1,0,0,0,33,35,7,10,"121,859m","122,964m",180,167,112,120,7.1%,10.8%,51.2%,48.8%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=14
A,広島,L,1,2,0.981,1.909,9,18,3,8,0,0,727,494,17,16,13,5,1,1,2,3,20,17,12,11,20,18,17,11,5,0,1,1,2,1,0,0,73,58,10,11,"119,928m","121,522m",173,201,132,126,6.8%,14.3%,57.9%,42.1%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=18
H,鹿島,L,1,3,1.553,1.512,12,14,3,5,0,0,652,329,11,15,18,10,2,0,8,6,26,22,3,6,18,26,21,28,3,1,0,1,0,0,0,0,31,38,12,14,"108,923m","117,067m",187,185,130,113,9.2%,12.4%,64.8%,35.2%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=21
A,仙台,W,3,2,3.514,1.335,25,8,8,3,0,0,638,379,22,20,13,2,1,4,10,4,25,17,16,7,15,18,19,24,5,3,3,1,1,0,0,0,61,25,21,11,"118,052m","120,520m",184,180,132,118,18.9%,6.8%,60.9%,39.1%,https://www.football-lab.jp/kobe/report/?year=2020&month=10&date=28
A,清水,L,1,3,0.527,1.162,8,17,2,5,0,0,637,464,9,14,12,6,3,1,3,7,18,24,0,11,14,12,24,14,1,5,1,3,1,0,0,0,39,32,8,11,"108,349m","112,077m",119,163,111,113,7.2%,15.0%,56.9%,43.1%,https://www.football-lab.jp/kobe/report/?year=2020&month=11&date=03
A,横浜FC,L,1,2,1.177,0.85,11,12,2,3,0,0,679,444,10,8,12,7,2,2,6,3,18,17,10,5,25,11,18,17,1,2,2,2,1,1,0,0,45,34,11,10,"115,658m","122,294m",175,192,101,92,10.9%,13.0%,57.6%,42.4%,https://www.football-lab.jp/kobe/report/?year=2020&month=11&date=08
A,Ｇ大阪,L,0,1,0.983,0.705,13,11,3,4,0,0,681,426,14,8,10,10,0,2,4,6,17,19,14,8,27,19,23,22,4,2,2,0,0,0,0,0,56,23,11,14,"114,214m","118,624m",202,190,102,106,12.7%,10.4%,61%,39%,https://www.football-lab.jp/kobe/report/?year=2020&month=11&date=11
H,湘南,L,0,2,3.037,1.531,20,13,7,8,0,0,798,332,20,12,11,8,0,1,5,4,21,10,15,7,18,17,10,18,2,3,1,0,1,0,0,0,67,24,18,7,"111,361m","119,034m",191,179,119,112,16.8%,11.6%,67.6%,32.4%,https://www.football-lab.jp/kobe/report/?year=2020&month=11&date=15
H,浦和,L,0,1,1.046,1.73,14,14,4,4,0,0,570,472,16,9,7,13,0,0,5,7,24,25,14,8,19,13,22,26,4,3,0,0,1,1,0,0,55,28,8,13,"112,753m","112,954m",190,177,106,118,13.2%,11.9%,55%,45%,https://www.football-lab.jp/kobe/report/?year=2020&month=11&date=18
A,FC東京,L,0,1,0.355,1.88,11,14,4,3,0,0,581,412,9,8,8,14,0,1,9,8,20,21,13,7,18,29,19,26,8,1,1,0,2,0,0,0,51,30,5,10,"112,780m","114,033m",187,184,118,121,9.3%,11.6%,58.1%,41.9%,https://www.football-lab.jp/kobe/report/?year=2020&month=12&date=19
