HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
H,FC東京,L,0,1,0.94,1.009,10,14,5,2,0,0,337,639,6,13,12,12,1,1,2,1,14,35,9,17,26,25,17,11,2,4,1,1,1,0,0,0,34,58,10,13,"113,687m","109,797m",208,165,121,127,8.3%,11.0%,41.8%,58.2%,https://www.football-lab.jp/uraw/report/?year=2020&month=09&date=30
H,名古屋,L,0,1,1.464,0.943,10,7,5,2,0,0,343,576,9,14,14,13,1,2,4,7,21,21,8,9,29,23,25,15,1,1,2,1,1,2,0,1,24,42,4,4,"110,885m","104,710m",133,137,109,114,9.2%,6.1%,41.8%,58.2%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=04
A,鳥栖,W,1,0,1.828,1.5,11,15,3,3,1,0,548,381,14,14,21,20,3,2,4,2,18,8,14,7,14,22,16,14,1,1,2,3,2,1,0,0,58,31,16,11,"117,181m","113,967m",161,161,122,109,9.0%,13.8%,58.6%,41.4%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=10
A,柏,D,1,1,1.302,3.945,14,23,3,7,0,0,461,407,25,15,16,10,4,3,8,9,14,17,11,11,20,20,18,32,1,1,3,3,2,4,0,0,53,37,12,13,"108,002m","109,213m",185,196,121,114,11.6%,20.2%,51.6%,48.4%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=14
H,仙台,W,6,0,1.478,3.368,18,18,2,10,0,1,604,383,21,16,8,4,1,1,6,5,17,17,17,16,19,23,15,21,2,1,1,1,1,1,0,0,56,42,17,16,"112,591m","111,240m",173,192,118,117,15.3%,15.4%,59.4%,40.6%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=18
H,Ｃ大阪,W,3,1,1.005,2.579,14,16,3,6,0,1,557,371,19,9,13,7,0,0,8,4,24,10,14,11,8,21,14,32,2,0,0,0,1,2,0,0,57,35,12,13,"117,629m","112,828m",121,153,113,97,12.4%,16.5%,57.6%,42.4%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=24
A,大分,D,0,0,2.03,1.088,16,12,7,0,0,0,490,473,14,13,7,13,2,0,5,5,19,29,7,11,20,19,25,18,0,2,0,2,0,2,0,0,34,29,10,7,"116,307m","109,531m",192,199,116,125,13.8%,9.6%,51.1%,48.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=10&date=31
A,広島,D,1,1,1.236,0.536,17,5,3,3,0,0,709,406,23,9,12,14,2,2,6,1,23,18,7,5,15,17,12,27,3,0,2,2,1,2,0,0,76,27,20,8,"116,271m","115,031m",189,154,120,114,14.2%,4.4%,59.8%,40.2%,https://www.football-lab.jp/uraw/report/?year=2020&month=11&date=03
A,横浜FM,L,2,6,4.615,2.769,28,16,14,5,0,0,625,508,31,15,6,14,4,1,11,3,19,16,18,14,29,28,13,24,4,1,1,4,0,1,0,0,78,41,34,10,"128,824m","120,854m",257,214,128,130,21.9%,12.3%,52.1%,47.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=11&date=14
A,神戸,W,1,0,1.046,1.73,14,14,4,4,0,0,570,472,16,9,7,13,0,0,5,7,24,25,14,8,19,13,22,26,4,3,0,0,1,1,0,0,55,28,8,13,"112,753m","112,954m",190,177,106,118,13.2%,11.9%,55%,45%,https://www.football-lab.jp/uraw/report/?year=2020&month=11&date=18
H,Ｇ大阪,L,1,2,1.61,1.277,13,10,7,4,0,0,577,508,15,16,5,9,2,2,8,4,10,14,12,17,26,23,22,22,2,1,2,2,0,0,0,0,50,34,14,16,"114,653m","108,789m",173,151,118,123,11.0%,8.1%,52.6%,47.4%,https://www.football-lab.jp/uraw/report/?year=2020&month=11&date=22
A,鹿島,L,0,4,3.06,1.539,23,16,10,4,0,0,375,483,10,10,7,20,1,4,7,8,17,18,16,13,17,17,22,18,5,0,4,1,0,3,0,0,33,32,16,10,"114,387m","108,272m",182,176,116,133,19.8%,12.0%,45.1%,54.9%,https://www.football-lab.jp/uraw/report/?year=2020&month=11&date=29
H,湘南,D,0,0,1.549,0.9,14,9,3,1,0,0,385,649,22,12,14,12,2,2,7,4,15,14,13,8,18,25,25,13,1,1,2,2,1,1,0,0,49,41,11,14,"117,270m","113,076m",202,184,115,113,12.2%,8.0%,41.3%,58.7%,https://www.football-lab.jp/uraw/report/?year=2020&month=12&date=12
A,川崎Ｆ,L,1,3,3.907,0.944,24,4,8,1,0,1,910,469,23,7,8,8,1,5,6,1,18,14,16,3,18,20,18,26,6,1,4,1,0,1,0,0,104,20,35,6,"117,588m","117,318m",152,170,109,103,22.0%,3.9%,61.7%,38.3%,https://www.football-lab.jp/uraw/report/?year=2020&month=12&date=16
H,札幌,L,0,2,1.449,0.867,20,9,4,1,0,0,560,472,16,10,7,17,1,2,5,3,10,22,23,7,19,16,15,25,3,1,2,1,1,2,0,0,58,25,26,6,"117,114m","113,919m",175,154,108,114,18.5%,7.9%,52.7%,47.3%,https://www.football-lab.jp/uraw/report/?year=2020&month=12&date=19
