HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,Opponent_ゴール期待値,tosu_ゴール期待値,Opponent_シュート,tosu_シュート,Opponent_枠内シュート,tosu_枠内シュート,Opponent_PKによるシュート,tosu_PKによるシュート,Opponent_パス,tosu_パス,Opponent_クロス,tosu_クロス,Opponent_直接ＦＫ,tosu_直接ＦＫ,Opponent_間接ＦＫ,tosu_間接ＦＫ,Opponent_ＣＫ,tosu_ＣＫ,Opponent_スローイン,tosu_スローイン,Opponent_ドリブル,tosu_ドリブル,Opponent_タックル,tosu_タックル,Opponent_クリア,tosu_クリア,Opponent_インターセプト,tosu_インターセプト,Opponent_オフサイド,tosu_オフサイド,Opponent_警告,tosu_警告,Opponent_退場,tosu_退場,Opponent_３０ｍライン進入,tosu_３０ｍライン進入,Opponent_ペナルティエリア進入,tosu_ペナルティエリア進入,Opponent_総移動距離,tosu_総移動距離,Opponent_スプリント,tosu_スプリント,Opponent_攻撃回数,tosu_攻撃回数,Opponent_チャンス構築率,tosu_チャンス構築率,Opponent_ボール保持率,tosu_ボール保持率,URL
A,横浜FM,D,1,1,1.728,1.222,15,10,4,3,0,0,629,432,23,8,8,12,4,3,8,7,24,25,14,11,21,20,20,22,2,0,3,4,0,0,0,0,53,32,18,10,"123,324m","123,262m",190,188,120,123,12.5%,8.1%,55.6%,44.4%,https://www.football-lab.jp/tosu/report/?year=2020&month=09&date=30
A,広島,L,0,3,1.72,0.373,18,5,7,2,0,0,610,555,18,8,14,10,2,1,5,1,18,13,12,7,19,17,8,16,3,3,1,2,1,1,0,0,61,37,17,7,"117,435m","118,504m",176,137,109,103,16.5%,4.9%,50.2%,49.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=03
H,Ｇ大阪,L,1,2,1.202,1.564,11,14,5,2,0,0,415,715,9,16,9,11,4,3,4,6,15,22,7,12,17,16,17,11,3,1,3,4,1,0,0,0,26,60,9,20,"121,317m","118,952m",160,159,111,112,9.9%,12.5%,35.9%,64.1%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=07
H,浦和,L,0,1,1.5,1.828,15,11,3,3,0,1,381,548,14,14,20,21,2,3,2,4,8,18,7,14,22,14,14,16,1,1,3,2,1,2,0,0,31,58,11,16,"113,967m","117,181m",161,161,109,122,13.8%,9.0%,41.4%,58.6%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=10
H,鹿島,L,0,2,1.503,1.063,13,15,4,4,0,0,366,593,12,19,11,12,3,2,6,8,15,15,8,11,25,12,28,18,2,1,2,3,1,1,0,0,38,42,10,16,"120,212m","117,344m",208,209,114,115,11.4%,13.0%,41.7%,58.3%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=14
A,清水,D,1,1,0.403,3.055,4,23,1,1,0,0,338,597,8,26,11,14,1,1,6,7,14,18,7,19,14,27,36,17,1,3,1,1,2,0,0,0,20,66,3,21,"110,396m","112,182m",154,136,103,105,3.9%,21.9%,39.4%,60.6%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=18
A,湘南,D,0,0,0.159,0.557,3,7,0,3,0,0,405,485,19,9,11,10,5,2,5,6,31,26,11,8,11,18,21,33,2,1,2,5,0,1,0,0,44,34,12,6,"114,803m","117,307m",178,171,127,121,2.4%,5.8%,44.6%,55.4%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=21
H,湘南,D,2,2,0.993,1.21,11,12,3,5,0,0,364,670,18,20,6,10,4,2,2,7,12,24,6,15,26,26,27,22,0,0,2,4,0,1,0,0,34,38,7,12,"117,015m","116,469m",194,142,108,116,10.2%,10.3%,38.9%,61.1%,https://www.football-lab.jp/tosu/report/?year=2020&month=10&date=25
H,名古屋,D,0,0,0.657,0.499,6,8,3,1,0,0,582,609,8,18,10,8,0,0,2,5,18,20,11,8,19,19,17,15,1,1,0,0,0,0,1,0,27,43,6,13,"119,903m","123,198m",162,170,103,97,5.8%,8.2%,49.1%,50.9%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=03
A,仙台,W,3,0,0.16,1.832,5,19,0,6,0,0,424,578,16,16,9,9,5,2,4,7,26,17,11,13,20,17,16,29,0,3,2,5,3,0,0,0,22,43,0,18,"112,437m","117,936m",156,185,117,120,4.3%,15.8%,40.3%,59.7%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=08
A,札幌,D,1,1,0.928,1.819,14,17,4,7,0,0,436,391,8,6,18,14,0,2,5,8,25,19,15,3,14,20,18,23,2,3,2,0,2,1,0,0,39,24,11,5,"106,357m","112,036m",174,170,129,130,10.9%,13.1%,53.1%,46.9%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=14
A,柏,W,2,1,0.885,1.953,6,18,1,7,0,0,562,472,9,14,15,16,2,1,2,5,24,33,8,14,33,20,18,17,0,1,1,1,2,0,0,0,40,47,10,17,"120,195m","127,243m",166,203,129,146,4.7%,12.3%,52.2%,47.8%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=21
H,仙台,L,0,1,1.741,1.638,15,20,2,9,0,0,388,749,16,28,6,14,4,2,2,7,20,18,9,23,16,12,37,20,0,3,2,4,1,0,0,0,24,78,9,27,"126,173m","128,789m",171,203,113,120,13.3%,16.7%,37%,63%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=25
A,Ｇ大阪,D,1,1,2.814,1.197,20,9,7,1,0,0,602,509,29,7,12,8,8,2,11,2,14,14,17,8,15,16,12,37,5,2,2,8,1,2,0,0,55,39,22,8,"120,161m","123,612m",175,189,129,116,15.5%,7.8%,50.6%,49.4%,https://www.football-lab.jp/tosu/report/?year=2020&month=11&date=29
A,横浜FC,D,1,1,1.478,2.01,15,13,4,5,0,0,553,556,16,20,9,11,3,6,1,2,26,20,11,9,19,15,31,27,0,2,6,3,0,0,0,0,44,51,14,16,"129,270m","131,438m",180,168,118,115,12.7%,11.3%,50.4%,49.6%,https://www.football-lab.jp/tosu/report/?year=2020&month=12&date=05
H,川崎Ｆ,D,1,1,2.096,0.9,17,10,5,3,0,0,542,648,16,14,9,5,0,1,7,2,19,17,16,9,25,26,18,19,3,5,1,0,0,0,0,0,40,44,20,13,"121,499m","126,497m",216,205,131,123,13.0%,8.1%,44.8%,55.2%,https://www.football-lab.jp/tosu/report/?year=2020&month=12&date=12
A,Ｃ大阪,W,2,1,1.343,0.884,15,13,4,4,0,0,566,531,18,12,12,10,0,5,3,0,20,20,9,8,13,16,12,27,3,1,5,0,0,2,0,0,39,48,21,11,"122,874m","129,832m",165,151,113,109,13.3%,11.9%,49%,51%,https://www.football-lab.jp/tosu/report/?year=2020&month=12&date=16
H,大分,D,2,2,1.08,2.967,14,16,4,7,0,0,385,610,10,19,8,15,3,2,6,5,18,12,9,12,11,12,23,24,1,0,2,3,2,0,0,0,31,57,13,16,"124,682m","123,295m",177,181,103,101,13.6%,15.8%,40.5%,59.5%,https://www.football-lab.jp/tosu/report/?year=2020&month=12&date=19
