HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,Ｃ大阪,W,5,2,2.488,1.421,15,12,9,6,1,0,556,481,6,9,6,15,0,1,4,2,16,11,13,7,16,19,16,13,4,2,1,0,1,0,0,0,64,40,21,3,"107,622m","108,419m",131,121,100,104,15.0%,11.5%,52.2%,47.8%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=19
A,名古屋,L,0,1,2.14,1.157,16,8,4,5,0,0,746,394,14,8,7,12,1,0,4,6,22,19,8,12,26,24,13,23,2,2,0,1,0,1,0,0,76,27,18,5,"106,825m","112,965m",126,137,96,100,16.7%,8.0%,59.8%,40.2%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=23
A,神戸,D,2,2,1.204,1.293,9,15,5,3,0,0,490,615,14,14,9,11,1,1,3,7,28,18,8,9,18,16,19,22,1,2,1,0,0,3,0,0,37,48,12,10,"107,842m","107,466m",139,169,122,115,7.4%,13.0%,43.8%,56.2%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=26
H,清水,W,5,0,4.31,0.479,39,8,15,3,0,0,523,466,21,14,7,8,1,1,12,5,17,15,16,11,20,17,14,26,1,2,2,1,0,0,0,0,52,29,35,7,"108,939m","110,560m",168,155,109,106,35.8%,7.5%,51.9%,48.1%,https://www.football-lab.jp/ka-f/report/?year=2020&month=08&date=29
A,横浜FM,W,3,1,1.665,0.68,14,11,3,3,0,0,519,615,23,15,9,4,2,8,6,2,23,21,18,18,31,19,18,18,6,3,8,2,1,0,0,0,57,48,26,17,"111,430m","114,850m",163,169,131,122,10.7%,9.0%,49.5%,50.5%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=05
H,神戸,W,3,2,2.976,1.627,20,15,8,4,2,0,392,491,10,15,10,11,1,1,7,4,27,20,15,8,16,28,23,17,3,3,1,1,0,3,0,0,36,33,14,15,"105,583m","105,283m",154,191,124,116,16.1%,12.9%,44.6%,55.4%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=09
H,広島,W,5,1,2.355,1.447,15,8,7,3,1,0,572,548,12,10,10,9,4,1,5,3,15,18,8,8,30,17,27,16,3,1,1,4,0,0,0,0,57,40,17,4,"112,988m","110,899m",207,169,116,112,12.9%,7.1%,51.1%,48.9%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=13
A,浦和,W,3,0,3.463,0.888,25,8,10,1,0,0,660,436,12,12,17,7,2,0,1,4,19,15,15,7,24,22,22,7,1,2,0,2,2,1,0,0,72,28,24,7,"111,359m","109,816m",179,174,114,113,21.9%,7.1%,57.7%,42.3%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=20
H,横浜FC,W,3,2,2.316,1.438,22,9,6,5,0,0,650,589,23,3,7,7,1,0,10,3,16,14,8,7,20,22,11,27,3,4,0,1,1,0,0,0,66,27,21,5,"111,511m","115,335m",132,111,105,99,21.0%,9.1%,51.2%,48.8%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=23
A,湘南,W,1,0,1.814,0.637,22,6,5,1,0,0,741,430,18,15,4,6,0,1,13,3,27,19,12,9,28,17,20,24,0,4,1,0,1,0,0,0,68,29,30,9,"107,722m","109,243m",150,158,115,102,19.1%,5.9%,57.3%,42.7%,https://www.football-lab.jp/ka-f/report/?year=2020&month=09&date=27
A,Ｃ大阪,W,3,1,2.135,1.046,13,13,6,3,0,0,715,462,18,14,5,11,2,1,5,8,13,15,15,16,28,25,30,20,1,1,1,2,2,0,0,0,74,38,28,10,"114,811m","119,247m",144,121,95,106,13.7%,12.3%,56%,44%,https://www.football-lab.jp/ka-f/report/?year=2020&month=10&date=03
H,仙台,W,1,0,2.597,0.959,22,8,7,1,0,0,727,403,28,17,10,8,1,1,10,3,16,18,16,15,25,16,24,34,2,3,1,1,0,0,0,0,75,24,23,5,"111,111m","114,714m",148,155,114,109,19.3%,7.3%,60%,40%,https://www.football-lab.jp/ka-f/report/?year=2020&month=10&date=10
A,広島,W,2,0,1.008,0.998,12,11,5,6,0,0,580,507,9,27,7,7,4,1,3,8,15,38,8,11,25,20,35,8,4,0,1,4,0,0,0,0,51,45,10,12,"111,854m","113,667m",171,174,107,138,11.2%,8.0%,52.5%,47.5%,https://www.football-lab.jp/ka-f/report/?year=2020&month=10&date=14
H,名古屋,W,3,0,2.203,1.42,18,15,6,1,0,0,574,591,13,11,8,12,1,3,6,2,10,19,13,13,19,17,20,9,1,2,3,1,0,1,0,0,41,42,14,6,"109,713m","112,289m",122,141,103,111,17.5%,13.5%,47.3%,52.7%,https://www.football-lab.jp/ka-f/report/?year=2020&month=10&date=18
H,FC東京,W,2,1,4.048,0.816,27,10,9,6,1,0,740,316,15,6,9,14,0,3,9,2,22,15,13,10,21,21,7,23,0,2,3,0,0,1,0,0,86,29,32,9,"104,286m","106,722m",147,178,114,108,23.7%,9.3%,63.9%,36.1%,https://www.football-lab.jp/ka-f/report/?year=2020&month=10&date=31
H,札幌,L,0,2,1.503,1.238,11,12,5,5,0,0,578,448,10,14,15,8,3,2,5,4,24,19,16,21,27,32,20,18,1,3,2,3,0,0,0,0,49,40,17,10,"109,731m","113,420m",156,162,129,129,8.5%,9.3%,52.8%,47.2%,https://www.football-lab.jp/ka-f/report/?year=2020&month=11&date=03
A,鹿島,D,1,1,1.79,1.894,17,18,5,5,0,0,431,446,8,15,19,12,1,1,10,7,21,32,7,10,24,27,23,20,1,2,1,0,2,2,0,1,40,41,12,14,"103,976m","108,859m",159,163,131,131,13.0%,13.7%,47.9%,52.1%,https://www.football-lab.jp/ka-f/report/?year=2020&month=11&date=14
H,横浜FM,W,3,1,2.452,0.737,24,8,11,2,1,0,546,389,25,10,13,10,1,2,17,5,27,17,18,11,24,32,11,36,2,2,2,1,2,4,0,1,63,22,25,6,"110,029m","106,675m",150,157,130,109,18.5%,7.3%,56.7%,43.3%,https://www.football-lab.jp/ka-f/report/?year=2020&month=11&date=18
A,大分,L,0,1,0.633,1.979,10,12,1,6,0,1,574,531,15,16,9,7,1,2,6,7,22,11,7,8,9,16,22,26,2,1,2,1,0,0,1,0,45,37,14,15,"108,622m","117,874m",154,174,108,102,9.3%,11.8%,49.3%,50.7%,https://www.football-lab.jp/ka-f/report/?year=2020&month=11&date=21
H,Ｇ大阪,W,5,0,3.605,0.475,24,6,13,1,0,0,614,562,13,11,13,7,2,2,4,5,25,21,12,6,19,17,20,17,1,2,2,2,0,0,0,0,64,44,29,9,"114,629m","117,199m",192,164,112,108,21.4%,5.6%,53%,47%,https://www.football-lab.jp/ka-f/report/?year=2020&month=11&date=25
A,清水,D,2,2,2.297,1.306,17,15,10,8,0,0,829,394,21,5,7,14,2,2,8,2,28,20,13,18,20,24,17,34,0,4,2,2,0,0,0,0,67,30,24,8,"117,923m","120,865m",159,210,116,110,14.7%,13.6%,62.7%,37.3%,https://www.football-lab.jp/ka-f/report/?year=2020&month=12&date=05
A,鳥栖,D,1,1,2.096,0.9,17,10,5,3,0,0,542,648,16,14,9,5,0,1,7,2,19,17,16,9,25,26,18,19,3,5,1,0,0,0,0,0,40,44,20,13,"121,499m","126,497m",216,205,131,123,13.0%,8.1%,44.8%,55.2%,https://www.football-lab.jp/ka-f/report/?year=2020&month=12&date=12
H,浦和,W,3,1,3.907,0.944,24,4,8,1,0,1,910,469,23,7,8,8,1,5,6,1,18,14,16,3,18,20,18,26,6,1,4,1,0,1,0,0,104,20,35,6,"117,588m","117,318m",152,170,109,103,22.0%,3.9%,61.7%,38.3%,https://www.football-lab.jp/ka-f/report/?year=2020&month=12&date=16
A,柏,W,3,2,1.46,1.179,17,14,7,3,0,0,762,322,22,11,8,13,2,2,10,2,21,21,6,10,21,23,25,28,2,4,2,2,3,1,0,0,57,19,26,9,"115,145m","116,446m",190,157,134,125,12.7%,11.2%,66.8%,33.2%,https://www.football-lab.jp/ka-f/report/?year=2020&month=12&date=19
