HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
A,横浜FM,L,1,3,1.182,1.203,12,13,4,3,0,0,418,606,16,15,14,18,2,10,4,2,23,26,8,14,30,22,24,20,2,0,9,2,2,1,0,0,35,55,11,16,"111,962m","119,717m",158,193,125,127,9.6%,10.2%,43.6%,56.4%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=23
H,仙台,D,1,1,1.746,1.285,13,14,5,6,0,0,467,483,22,15,8,8,2,0,5,7,21,24,10,6,19,14,20,25,4,2,0,2,1,2,0,0,46,45,12,11,"107,242m","112,039m",124,137,123,116,10.6%,12.1%,51.7%,48.3%,https://www.football-lab.jp/hiro/report/?year=2020&month=08&date=29
A,札幌,W,2,0,1.34,1.783,9,20,3,3,1,0,292,591,7,16,17,17,0,1,0,6,12,15,7,19,19,18,27,5,4,1,1,0,3,2,0,0,20,60,15,10,"103,617m","105,489m",178,178,117,119,7.7%,16.8%,39%,61%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=05
H,清水,W,4,1,2.824,1.402,21,15,6,5,0,0,411,572,14,12,12,9,1,1,6,5,31,14,9,13,22,21,17,22,3,0,1,1,0,0,0,0,43,44,21,12,"112,020m","110,258m",149,165,123,116,17.1%,12.9%,43.4%,56.6%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=09
A,川崎Ｆ,L,1,5,1.447,2.355,8,15,3,7,0,1,548,572,10,12,9,10,1,4,3,5,18,15,8,8,17,30,16,27,1,3,4,1,0,0,0,0,40,57,4,17,"110,899m","112,988m",169,207,112,116,7.1%,12.9%,48.9%,51.1%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=13
A,柏,D,1,1,0.752,2.08,7,19,3,3,0,0,491,467,13,14,12,14,2,1,6,10,17,26,5,10,15,18,31,22,0,3,1,2,2,2,0,0,47,43,12,17,"111,864m","113,114m",187,190,128,143,5.5%,13.3%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=19
A,大分,W,2,0,0.415,0.299,5,6,2,1,0,0,573,622,9,7,9,6,2,1,3,4,17,10,5,5,14,16,14,7,0,1,1,2,1,0,0,0,28,29,6,7,"113,712m","115,804m",136,130,91,88,5.5%,6.8%,48%,52%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=23
H,Ｇ大阪,L,1,2,1.526,0.875,17,11,5,3,0,0,622,409,23,5,11,10,3,1,9,3,20,22,18,6,8,15,13,36,1,1,1,3,0,0,0,0,50,33,18,11,"114,992m","118,580m",152,194,128,124,13.3%,8.9%,57.2%,42.8%,https://www.football-lab.jp/hiro/report/?year=2020&month=09&date=27
H,鳥栖,W,3,0,1.72,0.373,18,5,7,2,0,0,610,555,18,8,14,10,2,1,5,1,18,13,12,7,19,17,8,16,3,3,1,2,1,1,0,0,61,37,17,7,"117,435m","118,504m",176,137,109,103,16.5%,4.9%,50.2%,49.8%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=03
A,清水,W,3,2,0.624,1.605,10,14,4,6,0,0,428,606,10,23,10,6,1,2,4,10,18,17,8,14,19,16,27,18,4,2,2,1,0,2,0,0,38,54,7,12,"114,454m","113,691m",156,147,114,119,8.8%,11.8%,42%,58%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=10
H,川崎Ｆ,L,0,2,0.998,1.008,11,12,6,5,0,0,507,580,27,9,7,7,1,4,8,3,38,15,11,8,20,25,8,35,0,4,4,1,0,0,0,0,45,51,12,10,"113,667m","111,854m",174,171,138,107,8.0%,11.2%,47.5%,52.5%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=14
H,神戸,W,2,1,1.909,0.981,18,9,8,3,0,0,494,727,16,17,5,13,1,1,3,2,17,20,11,12,18,20,11,17,0,5,1,1,1,2,0,0,58,73,11,10,"121,522m","119,928m",201,173,126,132,14.3%,6.8%,42.1%,57.9%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=18
A,鹿島,L,0,1,0.966,1.294,10,17,2,6,0,0,487,503,22,17,13,11,1,0,3,9,31,23,10,9,22,18,22,21,1,1,0,1,0,1,0,0,33,60,20,11,"111,866m","112,057m",207,183,125,130,8.0%,13.1%,50.7%,49.3%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=24
H,横浜FM,W,3,1,1.587,2.105,12,9,5,6,1,1,291,790,9,21,9,10,5,4,3,6,22,33,11,13,32,16,22,14,0,0,4,4,0,2,0,0,25,78,11,18,"112,767m","115,657m",178,165,117,126,10.3%,7.1%,35.1%,64.9%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=28
A,仙台,D,0,0,2.009,0.948,18,8,5,1,0,0,525,352,23,16,13,14,1,2,6,3,28,27,11,8,16,18,22,15,1,1,2,1,0,2,0,0,47,24,17,7,"113,986m","115,607m",181,180,139,129,12.9%,6.2%,58.7%,41.3%,https://www.football-lab.jp/hiro/report/?year=2020&month=10&date=31
H,浦和,D,1,1,1.236,0.536,17,5,3,3,0,0,709,406,23,9,12,14,2,2,6,1,23,18,7,5,15,17,12,27,3,0,2,2,1,2,0,0,76,27,20,8,"116,271m","115,031m",189,154,120,114,14.2%,4.4%,59.8%,40.2%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=03
H,名古屋,W,2,0,0.939,0.096,11,3,3,1,0,0,331,718,13,7,14,10,0,3,3,8,19,26,8,8,15,13,25,10,5,2,3,0,1,1,0,0,26,47,9,6,"114,910m","118,251m",183,163,109,117,10.1%,2.6%,36.3%,63.7%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=11
H,横浜FC,D,1,1,1.238,1.301,16,7,3,2,0,0,420,528,10,15,12,10,3,1,8,8,22,18,10,11,19,17,21,21,3,2,1,3,0,2,0,0,40,40,9,9,"117,213m","119,584m",192,192,114,120,14.0%,5.8%,42.8%,57.2%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=14
A,Ｃ大阪,W,1,0,0.688,1.584,11,14,2,2,0,0,340,569,9,20,7,19,3,4,3,6,23,16,8,17,14,16,35,21,1,1,4,3,4,2,1,0,31,57,12,24,"107,211m","114,030m",129,119,104,113,10.6%,12.4%,40.6%,59.4%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=21
A,湘南,D,1,1,1.273,0.98,14,13,5,7,0,0,675,358,12,10,14,10,0,1,2,4,30,22,8,16,19,23,13,25,3,0,1,0,0,1,0,0,48,22,15,6,"119,105m","120,288m",140,173,130,130,10.8%,10.0%,60.5%,39.5%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=25
H,札幌,D,2,2,1.58,0.658,16,10,6,3,0,0,438,523,12,10,16,12,1,3,6,3,22,21,13,13,22,15,19,22,2,3,3,1,1,2,0,0,44,47,13,6,"114,089m","116,379m",195,189,135,131,11.9%,7.6%,47%,53%,https://www.football-lab.jp/hiro/report/?year=2020&month=11&date=28
A,FC東京,L,0,1,2.429,0.655,21,7,3,4,0,0,664,345,27,12,8,15,0,0,4,4,24,21,15,10,12,15,26,43,1,0,0,0,0,0,0,0,82,27,23,13,"113,639m","116,620m",183,179,117,119,17.9%,5.9%,59.5%,40.5%,https://www.football-lab.jp/hiro/report/?year=2020&month=12&date=12
H,柏,L,0,1,0.972,0.49,8,9,1,2,0,0,626,443,13,9,10,11,3,7,7,3,26,27,8,8,20,23,16,34,2,5,7,3,0,0,0,0,47,35,8,16,"118,326m","117,111m",172,192,150,143,5.3%,6.3%,55.3%,44.7%,https://www.football-lab.jp/hiro/report/?year=2020&month=12&date=16
A,名古屋,L,0,1,0.861,0.752,13,12,2,2,0,0,536,494,17,2,9,12,2,1,14,4,18,11,14,8,15,14,16,37,2,5,1,2,0,0,0,0,59,39,22,9,"113,089m","115,702m",158,155,120,110,10.8%,10.9%,50.4%,49.6%,https://www.football-lab.jp/hiro/report/?year=2020&month=12&date=19
