HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
H,仙台,W,2,1,1.402,1.962,12,14,2,5,0,0,353,553,12,18,10,12,3,4,7,6,21,14,11,9,18,27,18,18,0,3,4,3,2,0,0,0,30,70,8,16,"111,320m","109,519m",150,156,110,107,10.9%,13.1%,43.4%,56.6%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=09
A,清水,W,2,1,0.7,2.4,11,25,2,6,0,0,479,446,12,14,8,13,2,0,7,5,34,21,11,13,10,28,14,25,2,1,0,2,0,2,0,0,28,54,10,23,"115,675m","114,158m",178,185,129,111,8.5%,22.5%,52.3%,47.7%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=12
A,Ｃ大阪,W,2,1,1.667,2.265,13,11,3,5,0,0,509,394,20,18,16,11,2,2,7,3,28,23,13,10,17,26,23,34,2,1,2,1,1,1,0,0,45,50,11,14,"115,211m","116,978m",152,210,121,112,10.7%,9.8%,54.1%,45.9%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=19
H,湘南,W,1,0,1.164,0.886,9,14,3,5,0,0,280,681,13,21,9,15,1,2,5,7,24,32,4,10,26,15,28,18,4,3,2,1,1,2,0,0,17,59,7,15,"112,687m","108,977m",162,153,128,131,7.0%,10.7%,35.1%,64.9%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=23
H,大分,L,0,2,0.394,1.24,5,18,2,4,0,0,456,597,17,13,13,6,1,0,4,6,18,25,5,13,24,16,41,19,0,3,0,1,2,2,0,0,22,62,5,19,"115,211m","111,592m",148,147,118,116,4.2%,15.5%,45.7%,54.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=09&date=27
A,Ｇ大阪,L,0,2,1.475,1.899,12,26,4,7,1,0,386,441,10,22,11,13,0,2,4,10,24,23,9,13,13,22,29,14,2,2,1,0,0,1,0,0,33,47,9,20,"109,667m","109,215m",183,157,127,131,9.4%,19.8%,48.7%,51.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=03
H,横浜FC,W,3,2,1.284,1.722,9,17,4,4,0,0,347,601,9,31,13,10,2,3,2,8,14,23,5,14,18,13,34,14,2,2,3,2,0,2,0,0,22,61,10,14,"117,126m","114,792m",138,164,119,125,7.6%,13.6%,41.7%,58.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=10
A,鳥栖,W,2,0,1.063,1.503,15,13,4,4,0,0,593,366,19,12,12,11,2,3,8,6,15,15,11,8,12,25,18,28,1,2,3,2,1,1,0,0,42,38,16,10,"117,344m","120,212m",209,208,115,114,13.0%,11.4%,58.3%,41.7%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=14
A,札幌,L,0,1,1.255,1.157,13,10,3,1,0,0,437,516,8,19,15,13,0,3,3,4,26,32,9,15,29,30,35,16,2,3,3,0,1,0,0,0,28,38,9,15,"116,501m","112,884m",150,160,147,159,8.8%,6.3%,46.2%,53.8%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=18
A,神戸,W,3,1,1.553,1.512,12,14,3,5,0,0,652,329,11,15,18,10,2,0,8,6,26,22,3,6,18,26,21,28,3,1,0,1,0,0,0,0,31,38,12,14,"108,923m","117,067m",187,185,130,113,9.2%,12.4%,64.8%,35.2%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=21
H,広島,W,1,0,0.966,1.294,10,17,2,6,0,0,487,503,22,17,13,11,1,0,3,9,31,23,10,9,22,18,22,21,1,1,0,1,0,1,0,0,33,60,20,11,"111,866m","112,057m",207,183,125,130,8.0%,13.1%,50.7%,49.3%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=24
H,名古屋,L,0,2,1.944,0.641,9,11,5,1,1,0,348,553,5,13,21,12,2,1,1,6,21,31,11,16,34,17,29,8,2,3,1,2,2,4,0,1,25,51,5,11,"118,002m","109,823m",155,170,132,135,6.8%,8.1%,42.4%,57.6%,https://www.football-lab.jp/kasm/report/?year=2020&month=10&date=31
A,横浜FM,W,3,2,1.549,1.725,13,26,5,7,0,0,520,460,13,26,11,21,2,2,5,10,14,27,10,23,18,24,40,9,2,4,2,2,3,2,0,0,36,57,19,17,"121,113m","116,274m",194,208,123,152,10.6%,17.1%,50.2%,49.8%,https://www.football-lab.jp/kasm/report/?year=2020&month=11&date=03
H,川崎Ｆ,D,1,1,1.79,1.894,17,18,5,5,0,0,431,446,8,15,19,12,1,1,10,7,21,32,7,10,24,27,23,20,1,2,1,0,2,2,0,1,40,41,12,14,"103,976m","108,859m",159,163,131,131,13.0%,13.7%,47.9%,52.1%,https://www.football-lab.jp/kasm/report/?year=2020&month=11&date=14
A,仙台,W,3,1,1.029,1.286,8,18,4,7,0,0,449,533,26,25,14,8,5,5,0,7,27,21,16,13,14,16,15,30,1,4,5,5,0,1,0,0,42,55,6,17,"117,023m","118,655m",192,176,127,119,6.3%,15.1%,46.3%,53.7%,https://www.football-lab.jp/kasm/report/?year=2020&month=11&date=21
H,柏,L,1,4,1.958,1.591,20,16,9,3,0,0,369,641,15,28,8,14,5,2,4,6,15,29,8,12,21,13,40,13,1,3,0,5,1,1,0,0,32,73,14,17,"120,855m","121,717m",183,166,120,133,16.7%,12.0%,41.6%,58.4%,https://www.football-lab.jp/kasm/report/?year=2020&month=11&date=25
H,浦和,W,4,0,1.539,3.06,16,23,4,10,0,0,483,375,10,10,20,7,4,1,8,7,18,17,13,16,17,17,18,22,0,5,1,4,3,0,0,0,32,33,10,16,"108,272m","114,387m",176,182,133,116,12.0%,19.8%,54.9%,45.1%,https://www.football-lab.jp/kasm/report/?year=2020&month=11&date=29
H,清水,W,2,0,1.004,2.597,11,25,0,9,0,0,553,479,14,11,14,18,2,1,7,7,20,18,10,10,20,24,20,23,3,2,1,2,3,0,0,0,32,38,17,13,"115,578m","117,696m",143,153,124,121,8.9%,20.7%,53.4%,46.6%,https://www.football-lab.jp/kasm/report/?year=2020&month=12&date=12
H,Ｃ大阪,D,1,1,1.159,3.01,12,23,4,7,0,0,270,670,8,27,16,9,2,0,3,10,13,20,13,21,21,22,42,10,1,0,0,2,0,2,0,0,21,69,11,14,"118,132m","116,341m",160,175,119,130,10.1%,17.7%,35.5%,64.5%,https://www.football-lab.jp/kasm/report/?year=2020&month=12&date=19
