HOME/AWAY,Opponent,勝敗,oita_得点,oita_失点,Opponent_ゴール期待値,oita_ゴール期待値,Opponent_シュート,oita_シュート,Opponent_枠内シュート,oita_枠内シュート,Opponent_PKによるシュート,oita_PKによるシュート,Opponent_パス,oita_パス,Opponent_クロス,oita_クロス,Opponent_直接ＦＫ,oita_直接ＦＫ,Opponent_間接ＦＫ,oita_間接ＦＫ,Opponent_ＣＫ,oita_ＣＫ,Opponent_スローイン,oita_スローイン,Opponent_ドリブル,oita_ドリブル,Opponent_タックル,oita_タックル,Opponent_クリア,oita_クリア,Opponent_インターセプト,oita_インターセプト,Opponent_オフサイド,oita_オフサイド,Opponent_警告,oita_警告,Opponent_退場,oita_退場,Opponent_３０ｍライン進入,oita_３０ｍライン進入,Opponent_ペナルティエリア進入,oita_ペナルティエリア進入,Opponent_総移動距離,oita_総移動距離,Opponent_スプリント,oita_スプリント,Opponent_攻撃回数,oita_攻撃回数,Opponent_チャンス構築率,oita_チャンス構築率,Opponent_ボール保持率,oita_ボール保持率,URL
A,浦和,L,1,2,1.189,2.074,10,17,5,3,0,0,494,559,8,24,8,8,1,2,3,3,21,19,3,7,13,5,27,18,0,3,2,1,0,0,0,0,31,55,10,19,"112,002m","115,191m",151,128,99,98,10.1%,17.3%,48.9%,51.1%,https://www.football-lab.jp/oita/report/?year=2020&month=08&date=29
H,FC東京,L,0,1,1.005,0.218,14,2,2,1,0,0,376,701,6,13,17,15,0,2,3,1,15,20,10,1,16,13,15,16,2,1,2,0,0,1,0,0,34,50,11,6,"116,614m","115,590m",187,158,105,112,13.3%,1.8%,40.2%,59.8%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=05
H,湘南,D,2,2,0.528,1.121,4,16,3,5,0,0,286,781,7,26,7,9,2,1,1,7,21,28,3,9,12,20,39,12,3,1,1,2,1,1,0,0,29,62,6,17,"123,121m","120,329m",175,170,104,122,3.8%,13.1%,32.9%,67.1%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=09
A,仙台,W,3,0,1.228,1.939,14,14,3,6,0,0,414,531,20,21,9,10,1,1,4,9,30,17,7,9,9,19,19,34,0,2,1,1,1,0,0,0,24,47,6,13,"117,541m","120,375m",165,173,109,104,12.8%,13.5%,44.6%,55.4%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=13
A,FC東京,W,3,2,2.788,1.675,21,13,8,5,0,0,443,502,13,14,20,11,3,1,3,4,17,7,10,7,9,21,14,27,3,0,1,3,2,0,0,0,50,32,16,10,"111,930m","116,081m",192,159,113,105,18.6%,12.4%,46.7%,53.3%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=16
H,横浜FC,W,1,0,1.911,2.222,11,11,3,3,0,1,544,505,11,12,6,13,2,1,4,3,20,20,3,6,19,21,16,27,1,1,1,2,3,2,0,0,33,38,8,11,"118,974m","119,189m",159,165,113,121,9.7%,9.1%,52.3%,47.7%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=20
H,広島,L,0,2,0.415,0.299,5,6,2,1,0,0,573,622,9,7,9,6,2,1,3,4,17,10,5,5,14,16,14,7,0,1,1,2,1,0,0,0,28,29,6,7,"113,712m","115,804m",136,130,91,88,5.5%,6.8%,48%,52%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=23
A,鹿島,W,2,0,1.24,0.394,18,5,4,2,0,0,597,456,13,17,6,13,0,1,6,4,25,18,13,5,16,24,19,41,3,0,1,0,2,2,0,0,62,22,19,5,"111,592m","115,211m",147,148,116,118,15.5%,4.2%,54.3%,45.7%,https://www.football-lab.jp/oita/report/?year=2020&month=09&date=27
H,清水,W,2,1,0.404,2.172,8,10,2,5,0,0,596,619,5,15,11,13,3,0,0,2,22,17,10,5,11,19,16,14,3,2,0,3,6,0,0,0,31,30,6,13,"114,720m","117,725m",162,164,98,100,8.2%,10.0%,50.4%,49.6%,https://www.football-lab.jp/oita/report/?year=2020&month=10&date=03
A,横浜FM,L,0,4,0.838,0.326,15,5,6,0,0,0,584,673,17,19,10,15,3,2,7,2,22,28,11,7,15,17,18,16,3,4,2,3,1,1,0,0,49,38,14,6,"127,636m","121,854m",170,177,128,134,11.7%,3.7%,45.6%,54.4%,https://www.football-lab.jp/oita/report/?year=2020&month=10&date=10
A,神戸,D,1,1,0.625,1.563,8,13,2,5,0,0,561,547,8,17,8,9,1,1,3,5,22,38,12,13,25,23,24,20,0,1,1,1,1,0,0,0,33,35,7,10,"121,859m","122,964m",180,167,112,120,7.1%,10.8%,51.2%,48.8%,https://www.football-lab.jp/oita/report/?year=2020&month=10&date=14
H,Ｇ大阪,L,0,1,1.739,1.471,13,12,4,1,0,0,511,613,11,25,6,9,0,2,4,11,20,21,8,9,17,21,33,25,2,2,2,0,0,0,0,0,32,54,13,12,"123,631m","121,743m",202,197,109,129,11.9%,9.3%,46.1%,53.9%,https://www.football-lab.jp/oita/report/?year=2020&month=10&date=18
H,浦和,D,0,0,1.088,2.03,12,16,0,7,0,0,473,490,13,14,13,7,0,2,5,5,29,19,11,7,19,20,18,25,2,0,2,0,2,0,0,0,29,34,7,10,"109,531m","116,307m",199,192,125,116,9.6%,13.8%,48.9%,51.1%,https://www.football-lab.jp/oita/report/?year=2020&month=10&date=31
A,横浜FC,W,3,2,1.307,1.523,8,17,4,4,0,0,415,558,6,31,8,3,1,0,1,13,19,19,11,8,6,15,31,12,0,1,0,1,1,0,0,0,29,53,5,17,"119,679m","118,100m",184,179,82,90,9.8%,18.9%,45.3%,54.7%,https://www.football-lab.jp/oita/report/?year=2020&month=11&date=03
H,川崎Ｆ,W,1,0,0.633,1.979,10,12,1,6,0,1,574,531,15,16,9,7,1,2,6,7,22,11,7,8,9,16,22,26,2,1,2,1,0,0,1,0,45,37,14,15,"108,622m","117,874m",154,174,108,102,9.3%,11.8%,49.3%,50.7%,https://www.football-lab.jp/oita/report/?year=2020&month=11&date=21
H,Ｃ大阪,L,0,1,0.777,0.867,9,9,1,5,0,0,356,802,4,19,12,2,0,2,2,4,22,14,7,3,10,20,24,13,0,2,2,0,0,0,0,0,23,63,8,9,"121,816m","118,576m",134,135,96,86,9.4%,10.5%,35.2%,64.8%,https://www.football-lab.jp/oita/report/?year=2020&month=11&date=25
A,名古屋,D,0,0,0.608,1.295,10,12,2,2,0,0,512,540,16,14,14,6,2,1,2,3,35,30,21,4,16,16,13,24,0,3,1,2,0,2,0,0,45,34,16,11,"119,166m","118,366m",171,187,120,115,8.3%,10.4%,47.7%,52.3%,https://www.football-lab.jp/oita/report/?year=2020&month=11&date=28
H,仙台,L,0,2,0.982,0.513,12,7,4,1,0,0,254,743,6,25,11,5,1,2,2,10,16,14,5,11,18,10,31,8,3,6,2,1,0,2,0,0,18,62,5,13,"116,421m","113,601m",166,187,103,114,11.7%,6.1%,29.3%,70.7%,https://www.football-lab.jp/oita/report/?year=2020&month=12&date=06
A,柏,D,1,1,0.769,0.736,9,7,5,3,0,0,429,636,15,17,10,12,2,2,3,4,28,29,7,8,14,15,30,21,0,2,2,2,1,3,0,0,32,31,6,6,"123,493m","123,925m",196,188,111,118,8.1%,5.9%,41%,59%,https://www.football-lab.jp/oita/report/?year=2020&month=12&date=09
H,札幌,D,1,1,1.667,1.26,16,9,3,4,0,0,584,418,19,9,9,5,3,3,7,4,29,21,16,5,20,15,25,27,1,2,3,2,0,1,0,0,41,29,20,8,"121,833m","123,871m",182,206,121,118,13.2%,7.6%,55.9%,44.1%,https://www.football-lab.jp/oita/report/?year=2020&month=12&date=12
A,湘南,W,2,1,2.221,1.872,14,13,3,3,0,0,468,516,17,7,19,11,2,2,6,2,30,17,10,8,13,18,12,30,1,2,2,2,0,1,0,0,34,30,11,10,"119,536m","119,192m",157,167,130,110,10.8%,11.8%,47.9%,52.1%,https://www.football-lab.jp/oita/report/?year=2020&month=12&date=16
A,鳥栖,D,2,2,2.967,1.08,16,14,7,4,0,0,610,385,19,10,15,8,2,3,5,6,12,18,12,9,12,11,24,23,0,1,3,2,0,2,0,0,57,31,16,13,"123,295m","124,682m",181,177,101,103,15.8%,13.6%,59.5%,40.5%,https://www.football-lab.jp/oita/report/?year=2020&month=12&date=19
