HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,Opponent_ゴール期待値,y-fm_ゴール期待値,Opponent_シュート,y-fm_シュート,Opponent_枠内シュート,y-fm_枠内シュート,Opponent_PKによるシュート,y-fm_PKによるシュート,Opponent_パス,y-fm_パス,Opponent_クロス,y-fm_クロス,Opponent_直接ＦＫ,y-fm_直接ＦＫ,Opponent_間接ＦＫ,y-fm_間接ＦＫ,Opponent_ＣＫ,y-fm_ＣＫ,Opponent_スローイン,y-fm_スローイン,Opponent_ドリブル,y-fm_ドリブル,Opponent_タックル,y-fm_タックル,Opponent_クリア,y-fm_クリア,Opponent_インターセプト,y-fm_インターセプト,Opponent_オフサイド,y-fm_オフサイド,Opponent_警告,y-fm_警告,Opponent_退場,y-fm_退場,Opponent_３０ｍライン進入,y-fm_３０ｍライン進入,Opponent_ペナルティエリア進入,y-fm_ペナルティエリア進入,Opponent_総移動距離,y-fm_総移動距離,Opponent_スプリント,y-fm_スプリント,Opponent_攻撃回数,y-fm_攻撃回数,Opponent_チャンス構築率,y-fm_チャンス構築率,Opponent_ボール保持率,y-fm_ボール保持率,URL
A,新潟,L,1,3,1.499,1.989,19,19,10,4,0,0,400,457,12,19,15,11,2,2,6,9,18,21,7,12,11,12,30,29,0,2,2,2,0,1,0,0,34,35,15,14,"117,898m","112,816m",120,116,105,109,18.1%,17.4%,48.2%,51.8%,https://www.football-lab.jp/y-fm/report/?year=2024&month=05&date=15
A,FC東京,D,1,1,1.233,1.063,13,15,5,4,0,0,355,546,16,7,14,12,1,2,4,6,24,21,13,11,18,21,21,20,1,0,2,1,4,3,0,0,26,42,12,12,"122,129m","115,937m",162,153,122,118,10.7%,12.7%,41.9%,58.1%,https://www.football-lab.jp/y-fm/report/?year=2024&month=05&date=19
H,柏,W,4,0,1.612,2.469,19,20,8,6,0,1,391,498,16,13,11,13,5,2,3,1,22,22,18,11,10,15,14,27,3,5,2,5,4,2,0,0,44,34,17,15,"118,368m","117,616m",185,148,118,114,16.1%,17.5%,42.3%,57.7%,https://www.football-lab.jp/y-fm/report/?year=2024&month=05&date=29
A,鹿島,L,2,3,1.573,1.935,15,19,7,6,0,0,306,416,13,11,14,15,1,4,4,4,18,25,12,16,25,11,20,17,5,3,4,1,2,3,0,0,32,31,14,10,"108,295m","107,573m",105,115,108,117,13.9%,16.2%,45%,55%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=01
H,町田,L,1,3,1.542,0.39,17,9,5,2,0,0,244,605,17,9,13,16,2,4,7,3,21,23,9,8,11,12,23,24,2,0,3,2,1,0,0,0,32,34,17,4,"118,204m","109,040m",128,106,99,114,17.2%,7.9%,36.5%,63.5%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=15
H,広島,W,3,2,0.764,1.766,11,16,4,6,0,0,334,494,18,14,12,9,0,1,4,5,33,34,13,28,21,17,20,35,3,3,1,0,2,0,1,0,30,46,9,12,"113,066m","118,173m",126,124,130,126,8.5%,12.7%,42.3%,57.7%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=19
A,札幌,W,1,0,1.195,1.745,15,16,4,6,0,1,475,463,22,7,11,11,1,4,4,8,14,19,13,18,13,7,24,31,1,1,4,1,1,1,0,0,44,36,18,12,"114,433m","113,675m",125,100,98,112,15.3%,14.3%,52.8%,47.2%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=23
A,福岡,L,1,2,0.973,1.708,11,13,5,4,0,0,241,710,15,30,8,11,2,0,5,10,16,30,11,24,25,11,44,18,4,0,0,2,1,2,0,0,22,64,6,22,"119,680m","112,214m",139,96,101,118,10.9%,11.0%,34%,66%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=26
H,東京Ｖ,L,1,2,0.531,1.233,10,14,3,4,0,0,183,621,10,24,18,21,3,4,5,7,7,32,6,21,16,7,39,15,1,0,4,3,0,2,0,0,14,58,3,14,"122,857m","113,472m",128,100,97,116,10.3%,12.1%,30.6%,69.4%,https://www.football-lab.jp/y-fm/report/?year=2024&month=06&date=29
H,鳥栖,L,0,1,1.083,2.347,14,26,6,5,0,0,298,563,15,13,7,11,4,4,7,8,21,24,11,21,14,5,32,29,1,2,4,4,1,0,0,0,21,58,14,23,"125,660m","119,369m",138,131,114,111,12.3%,23.4%,39.8%,60.2%,https://www.football-lab.jp/y-fm/report/?year=2024&month=07&date=03
A,Ｇ大阪,L,0,4,2.429,1.116,19,16,9,3,1,0,357,538,9,16,11,10,2,1,4,5,17,25,8,15,17,16,19,11,2,0,1,2,1,1,0,0,31,48,13,13,"114,165m","113,144m",113,97,112,113,17.0%,14.2%,44.9%,55.1%,https://www.football-lab.jp/y-fm/report/?year=2024&month=07&date=06
H,鹿島,W,4,1,1.211,1.922,14,16,4,7,0,0,383,420,16,11,16,11,1,5,9,5,21,14,9,12,11,24,13,32,2,0,5,1,0,3,0,0,34,42,11,13,"107,918m","112,535m",97,97,117,103,12.0%,15.5%,48.1%,51.9%,https://www.football-lab.jp/y-fm/report/?year=2024&month=07&date=14
A,町田,W,2,1,0.593,1.61,9,8,2,2,0,1,320,472,24,11,13,17,0,0,6,5,20,14,14,7,19,7,14,33,1,1,0,0,2,3,0,0,29,38,8,11,"112,995m","113,823m",114,110,99,93,9.1%,8.6%,42.5%,57.5%,https://www.football-lab.jp/y-fm/report/?year=2024&month=07&date=20
H,札幌,W,3,2,1.509,1.525,12,14,2,7,0,0,428,607,10,18,12,17,2,0,4,3,24,13,10,9,9,13,22,19,1,0,0,2,1,1,0,0,40,50,13,18,"113,744m","114,644m",132,126,108,109,11.1%,12.8%,43%,57%,https://www.football-lab.jp/y-fm/report/?year=2024&month=08&date=07
H,神戸,L,1,2,2.298,1.334,21,11,5,3,1,0,380,452,18,7,8,11,3,2,5,3,25,16,11,12,18,12,11,26,2,1,2,3,1,1,0,0,37,35,16,9,"113,606m","110,562m",116,100,104,96,20.2%,11.5%,46.2%,53.8%,https://www.football-lab.jp/y-fm/report/?year=2024&month=08&date=11
A,川崎Ｆ,W,3,1,2.425,2.004,22,14,6,4,0,1,415,438,28,10,9,9,0,2,12,5,14,11,10,10,18,9,14,35,3,0,2,0,1,1,0,0,64,43,21,13,"101,522m","108,046m",95,80,91,87,24.2%,16.1%,50.2%,49.8%,https://www.football-lab.jp/y-fm/report/?year=2024&month=08&date=17
H,Ｃ大阪,W,4,0,1.16,2.265,14,16,6,8,0,1,375,532,17,15,10,8,5,6,3,4,18,20,3,10,11,10,11,30,2,1,6,5,1,1,0,0,38,49,12,14,"110,300m","113,855m",121,121,95,96,14.7%,16.7%,43.6%,56.4%,https://www.football-lab.jp/y-fm/report/?year=2024&month=08&date=24
H,京都,L,1,2,2.096,1.14,23,10,7,2,0,0,299,414,29,13,4,18,4,6,14,4,21,18,14,16,10,10,23,34,2,0,5,4,2,2,0,1,44,25,20,12,"115,117m","106,927m",171,102,106,109,21.7%,9.2%,48.7%,51.3%,https://www.football-lab.jp/y-fm/report/?year=2024&month=09&date=13
A,広島,L,2,6,2.098,1.519,22,14,10,5,0,0,352,609,24,7,7,12,1,6,7,4,14,12,12,7,14,8,11,18,2,2,6,1,0,0,0,0,51,42,21,9,"110,667m","108,878m",103,106,116,113,19.0%,12.4%,38.2%,61.8%,https://www.football-lab.jp/y-fm/report/?year=2024&month=09&date=22
H,FC東京,L,1,3,2.584,0.687,19,11,6,4,0,0,357,591,17,14,10,17,3,4,3,3,19,17,11,10,17,19,25,19,5,0,4,3,1,0,0,0,35,45,18,15,"115,487m","114,746m",153,104,104,116,18.3%,9.5%,39.9%,60.1%,https://www.football-lab.jp/y-fm/report/?year=2024&month=09&date=28
A,柏,L,0,1,1.104,0.641,16,10,5,3,0,0,311,664,10,14,4,12,3,2,8,6,18,27,5,16,16,14,27,11,5,1,2,3,0,2,0,0,39,31,16,8,"116,693m","110,926m",144,99,101,107,15.8%,9.3%,35.8%,64.2%,https://www.football-lab.jp/y-fm/report/?year=2024&month=10&date=05
H,新潟,D,0,0,0.809,0.516,15,8,3,1,0,0,504,662,20,12,12,11,3,0,6,0,21,13,21,7,15,19,17,27,4,0,0,3,2,1,0,0,48,57,16,12,"115,290m","114,411m",110,88,103,91,14.6%,8.8%,46.1%,53.9%,https://www.football-lab.jp/y-fm/report/?year=2024&month=10&date=18
H,浦和,D,0,0,0.734,1.332,10,15,3,2,0,0,463,641,13,24,9,6,1,4,4,6,22,19,11,17,18,12,29,17,3,1,4,1,0,0,0,0,39,51,12,13,"123,458m","125,080m",152,135,110,109,9.1%,13.8%,43.7%,56.3%,https://www.football-lab.jp/y-fm/report/?year=2024&month=10&date=30
A,鳥栖,W,2,1,1.04,1.371,15,13,4,4,0,0,328,626,9,18,8,17,3,2,5,6,13,24,14,13,9,18,23,15,3,0,2,3,2,1,0,0,27,51,6,18,"122,684m","118,921m",142,122,114,119,13.2%,10.9%,39%,61%,https://www.football-lab.jp/y-fm/report/?year=2024&month=11&date=09
A,磐田,W,4,3,1.604,4.326,20,26,6,8,0,0,301,704,16,17,7,8,5,5,3,7,16,28,10,9,26,14,18,15,3,0,5,5,1,1,0,0,25,53,11,26,"115,686m","117,061m",119,96,111,119,18.0%,21.8%,32.4%,67.6%,https://www.football-lab.jp/y-fm/report/?year=2024&month=11&date=16
A,湘南,W,3,2,1.177,2.627,12,20,4,9,0,0,362,530,18,23,9,10,2,6,3,7,25,19,12,16,26,24,23,15,2,2,6,2,1,0,0,0,32,44,12,17,"115,805m","114,828m",142,136,118,122,10.2%,16.4%,46.6%,53.4%,https://www.football-lab.jp/y-fm/report/?year=2024&month=11&date=30
H,名古屋,L,0,2,1.086,0.481,10,9,3,1,0,0,247,657,18,12,17,14,1,3,3,6,14,25,7,20,40,13,34,20,3,2,3,1,0,1,0,0,26,36,10,17,"112,342m","111,834m",133,101,119,129,8.4%,7.0%,32.1%,67.9%,https://www.football-lab.jp/y-fm/report/?year=2024&month=12&date=08
