HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
H,磐田,W,1,0,0.689,1.255,9,16,4,5,0,0,414,425,12,11,20,17,1,1,4,9,25,28,14,14,28,17,27,19,4,1,1,1,0,2,0,0,18,46,7,20,"117,252m","118,722m",115,116,125,129,7.2%,12.4%,49.1%,50.9%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=15
A,柏,L,1,2,0.884,0.927,8,9,5,4,0,0,324,637,9,18,13,6,1,0,3,6,23,18,12,9,16,23,25,14,3,3,0,1,2,0,0,0,35,52,10,13,"119,670m","115,701m",161,137,123,119,6.5%,7.6%,38.3%,61.7%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=19
H,鹿島,L,0,3,1.624,0.532,17,10,6,2,0,0,461,639,8,12,12,8,1,1,2,2,19,18,13,9,16,15,16,8,2,2,0,1,0,2,0,0,37,35,12,8,"114,621m","114,054m",114,122,117,111,14.5%,9.0%,44.8%,55.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=05&date=25
A,東京Ｖ,L,3,5,2.083,0.866,15,8,8,4,1,0,362,658,4,9,9,6,3,0,1,2,28,22,5,10,25,21,22,11,4,4,0,2,0,3,0,0,35,41,11,13,"118,627m","109,774m",106,128,130,131,11.5%,6.1%,39%,61%,https://www.football-lab.jp/sapp/report/?year=2024&month=06&date=02
A,京都,L,0,2,1.441,1.891,12,17,5,3,0,0,244,549,13,19,13,11,1,2,3,6,22,25,7,25,25,14,43,17,3,1,2,1,1,2,0,0,14,44,8,17,"118,107m","115,077m",128,114,129,130,9.3%,13.1%,41%,59%,https://www.football-lab.jp/sapp/report/?year=2024&month=06&date=15
H,横浜FM,L,0,1,1.745,1.195,16,15,6,4,1,0,463,475,7,22,11,11,4,1,8,4,19,14,18,13,7,13,31,24,1,1,1,4,1,1,0,0,36,44,12,18,"113,675m","114,433m",100,125,112,98,14.3%,15.3%,47.2%,52.8%,https://www.football-lab.jp/sapp/report/?year=2024&month=06&date=23
A,FC東京,L,0,1,1.673,0.408,15,11,5,3,0,0,470,344,18,7,25,15,2,0,5,5,29,19,13,10,10,18,12,32,1,2,0,2,1,4,0,0,40,24,11,6,"108,052m","106,413m",122,123,131,116,11.5%,9.5%,53.6%,46.4%,https://www.football-lab.jp/sapp/report/?year=2024&month=06&date=26
H,新潟,L,0,1,1.692,0.534,14,11,3,2,0,0,447,557,7,12,12,11,1,0,5,5,23,18,17,9,14,28,20,23,0,2,0,1,0,2,0,0,36,45,12,13,"116,530m","116,455m",109,143,132,123,10.6%,8.9%,46.4%,53.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=06&date=29
A,鹿島,L,0,2,2.101,1.307,17,12,7,3,0,0,442,449,10,12,14,10,0,2,5,4,8,12,10,18,24,22,19,21,1,0,2,0,0,1,0,0,39,38,18,14,"106,197m","107,112m",115,108,94,97,18.1%,12.4%,50.8%,49.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=07&date=06
H,神戸,D,1,1,2.312,1.673,15,16,5,7,0,1,357,420,23,14,14,10,2,0,8,3,16,18,7,14,11,9,20,33,1,2,0,2,1,0,0,0,28,38,13,13,"110,294m","109,815m",126,143,119,107,12.6%,15.0%,46.5%,53.5%,https://www.football-lab.jp/sapp/report/?year=2024&month=07&date=13
A,浦和,W,4,3,2.867,0.741,20,8,7,4,1,0,524,470,12,12,14,9,1,2,3,2,19,15,9,10,8,15,9,13,3,2,2,1,2,3,0,0,31,48,20,16,"115,007m","118,648m",113,113,112,107,17.9%,7.5%,54.6%,45.4%,https://www.football-lab.jp/sapp/report/?year=2024&month=07&date=20
A,横浜FM,L,2,3,1.525,1.509,14,12,7,2,0,0,607,428,18,10,17,12,0,2,3,4,13,24,9,10,13,9,19,22,0,1,2,0,1,1,0,0,50,40,18,13,"114,644m","113,744m",126,132,109,108,12.8%,11.1%,57%,43%,https://www.football-lab.jp/sapp/report/?year=2024&month=08&date=07
H,福岡,D,2,2,2.295,1.556,14,9,7,3,1,1,230,627,10,11,11,14,2,0,3,2,15,26,10,11,19,11,20,15,2,1,0,2,1,1,0,0,23,41,11,10,"114,965m","111,635m",131,142,106,114,13.2%,7.9%,33.9%,66.1%,https://www.football-lab.jp/sapp/report/?year=2024&month=08&date=10
H,鳥栖,W,5,3,1.198,2.463,12,18,5,6,0,1,433,530,7,15,3,15,2,1,0,3,17,17,10,22,20,20,29,16,0,3,1,1,0,1,0,0,34,46,9,17,"116,053m","111,327m",72,86,107,114,11.2%,15.8%,46.8%,53.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=08&date=16
A,磐田,W,2,0,0.951,0.986,12,6,3,2,0,0,332,402,18,12,9,16,1,1,8,5,15,21,22,11,18,17,28,19,2,2,1,1,2,2,0,0,34,24,9,8,"102,081m","103,188m",110,120,110,119,10.9%,5.0%,47.5%,52.5%,https://www.football-lab.jp/sapp/report/?year=2024&month=08&date=25
H,川崎Ｆ,W,2,0,1.707,1.167,18,11,5,7,0,0,494,327,13,8,16,10,2,1,8,4,16,15,9,13,23,16,20,27,1,0,1,2,0,0,0,0,41,22,19,8,"103,045m","107,892m",130,126,125,113,14.4%,9.7%,59%,41%,https://www.football-lab.jp/sapp/report/?year=2024&month=09&date=01
H,東京Ｖ,L,0,2,1.25,0.922,12,12,5,2,0,0,254,672,6,13,14,8,2,3,4,5,16,17,10,9,23,13,40,12,3,0,3,2,1,3,0,0,28,42,9,14,"118,615m","112,835m",145,122,114,120,10.5%,10.0%,34.8%,65.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=09&date=14
A,町田,D,0,0,0.744,0.313,7,7,2,2,0,0,370,538,23,15,9,13,0,1,5,1,22,16,20,10,9,18,17,38,0,1,1,0,0,1,0,0,47,48,22,4,"121,760m","118,615m",157,111,99,100,7.1%,7.0%,43.2%,56.8%,https://www.football-lab.jp/sapp/report/?year=2024&month=09&date=21
H,京都,W,2,0,1.42,1.812,15,18,1,6,0,0,374,363,16,18,10,16,3,4,4,5,23,19,9,19,15,15,24,32,2,1,4,3,0,1,0,0,37,36,17,15,"114,082m","116,175m",138,131,131,135,11.5%,13.3%,49.8%,50.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=09&date=28
A,Ｇ大阪,L,1,2,3.064,0.675,21,7,5,3,1,0,648,348,15,7,6,10,1,0,5,5,24,19,22,11,32,34,11,27,4,2,0,1,0,0,0,0,61,28,16,3,"118,562m","118,690m",148,128,135,125,15.6%,5.6%,61.4%,38.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=10&date=05
A,名古屋,W,2,0,1.262,1.164,13,14,6,7,0,0,497,401,20,9,10,11,2,2,3,4,21,15,8,16,21,13,17,17,3,3,2,2,3,1,1,0,45,29,10,12,"110,587m","111,668m",121,96,115,117,11.3%,12.0%,53.4%,46.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=10&date=19
H,Ｃ大阪,D,1,1,1.735,0.949,20,13,4,3,0,0,428,419,13,11,17,13,2,0,5,3,19,20,20,10,21,17,17,25,2,2,0,2,0,3,0,0,43,30,13,21,"113,011m","111,331m",117,107,126,122,15.9%,10.7%,50.8%,49.2%,https://www.football-lab.jp/sapp/report/?year=2024&month=11&date=03
A,湘南,D,1,1,1.133,1.016,15,18,5,6,0,0,421,489,9,14,13,13,1,3,5,5,20,20,6,15,12,19,23,22,3,1,3,1,1,2,0,0,44,35,17,14,"119,252m","112,565m",157,121,134,131,11.2%,13.7%,50.3%,49.7%,https://www.football-lab.jp/sapp/report/?year=2024&month=11&date=09
A,広島,L,1,5,2.801,0.752,21,6,11,3,1,0,408,478,16,12,14,17,0,5,6,1,21,14,17,15,24,15,23,25,0,3,5,0,0,2,0,0,43,38,11,10,"110,427m","108,470m",131,106,127,116,16.5%,5.2%,46.1%,53.9%,https://www.football-lab.jp/sapp/report/?year=2024&month=12&date=01
H,柏,W,1,0,0.967,1.171,12,10,2,3,0,0,352,493,13,14,12,13,1,0,2,8,13,21,13,10,18,20,30,12,0,1,0,1,1,1,0,0,33,27,13,15,"115,566m","112,773m",138,134,114,140,10.5%,7.1%,45.4%,54.6%,https://www.football-lab.jp/sapp/report/?year=2024&month=12&date=08
