HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_ゴール期待値,uraw_ゴール期待値,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
H,磐田,W,3,0,0.831,2.205,8,25,1,8,0,0,269,693,8,15,11,9,2,3,2,6,15,17,8,10,16,10,31,6,2,1,3,2,0,1,0,0,14,64,4,13,"107,552m","109,786m",60,102,99,102,8.1%,24.5%,29.4%,70.6%,https://www.football-lab.jp/uraw/report/?year=2024&month=06&date=30
H,湘南,L,2,3,0.939,1.494,11,15,4,6,0,0,403,471,14,11,10,18,2,3,5,5,17,16,14,11,10,17,19,14,3,1,3,2,1,4,0,0,49,24,12,13,"114,353m","111,127m",137,131,112,117,9.8%,12.8%,43.7%,56.3%,https://www.football-lab.jp/uraw/report/?year=2024&month=07&date=06
A,京都,D,0,0,1.638,0.775,14,8,2,2,0,0,297,475,17,13,13,5,4,0,5,6,15,23,10,18,18,18,28,21,2,3,0,4,0,1,0,0,33,44,14,16,"117,620m","111,356m",119,123,114,112,12.3%,7.1%,39.2%,60.8%,https://www.football-lab.jp/uraw/report/?year=2024&month=07&date=14
H,札幌,L,3,4,0.741,2.867,8,20,4,7,0,1,470,524,12,12,9,14,2,1,2,3,15,19,10,9,15,8,13,9,2,3,1,2,3,2,0,0,48,31,16,20,"118,648m","115,007m",113,113,107,112,7.5%,17.9%,45.4%,54.6%,https://www.football-lab.jp/uraw/report/?year=2024&month=07&date=20
A,鳥栖,D,1,1,2.776,1.643,18,19,5,5,1,0,411,480,14,11,8,12,0,0,6,8,10,24,18,13,11,9,19,23,4,1,0,0,0,1,0,1,45,49,17,12,"114,728m","110,384m",111,122,93,106,19.4%,17.9%,47.4%,52.6%,https://www.football-lab.jp/uraw/report/?year=2024&month=08&date=11
A,鹿島,D,0,0,1.124,1.098,14,9,6,2,0,0,397,371,14,8,15,15,3,1,2,1,26,13,18,6,18,16,11,17,2,2,1,2,1,1,0,0,47,21,12,8,"104,774m","106,026m",111,120,96,95,14.6%,9.5%,48.7%,51.3%,https://www.football-lab.jp/uraw/report/?year=2024&month=08&date=17
A,町田,D,2,2,2.777,0.726,24,10,6,4,0,0,328,394,26,6,5,9,4,3,7,1,25,16,9,11,11,7,8,38,2,0,3,4,0,0,0,0,37,24,22,5,"114,184m","110,725m",98,103,108,101,22.2%,9.9%,44.8%,55.2%,https://www.football-lab.jp/uraw/report/?year=2024&month=08&date=31
A,Ｇ大阪,W,1,0,1.063,0.493,14,8,3,2,0,0,542,361,23,3,12,4,1,1,4,3,21,20,16,6,13,20,11,32,1,2,1,1,1,0,0,0,70,17,22,8,"107,170m","113,958m",96,103,110,97,12.7%,8.2%,57.9%,42.1%,https://www.football-lab.jp/uraw/report/?year=2024&month=09&date=14
H,FC東京,L,0,2,1.207,1.043,7,15,3,4,1,0,422,563,9,16,16,14,1,1,4,1,15,23,10,15,19,11,21,8,2,0,1,1,1,3,0,0,25,53,6,15,"115,880m","114,283m",102,116,105,101,6.7%,14.9%,42.4%,57.6%,https://www.football-lab.jp/uraw/report/?year=2024&month=09&date=21
A,神戸,L,0,1,1.577,0.439,11,6,3,2,1,0,387,391,14,10,11,16,1,2,7,5,28,24,16,7,16,20,25,27,0,2,2,0,3,1,0,0,31,21,13,4,"109,709m","108,988m",113,114,119,120,9.2%,5.0%,51.3%,48.7%,https://www.football-lab.jp/uraw/report/?year=2024&month=09&date=28
H,Ｃ大阪,L,0,1,0.868,0.73,9,9,6,2,0,0,359,639,5,9,15,13,2,1,4,7,14,25,11,9,14,19,20,8,2,0,1,2,1,2,0,0,19,39,5,9,"113,179m","107,629m",87,86,103,110,8.7%,8.2%,38%,62%,https://www.football-lab.jp/uraw/report/?year=2024&month=10&date=05
A,東京Ｖ,L,1,2,1.142,0.693,14,8,4,4,0,0,477,455,20,12,12,12,1,0,9,3,22,19,10,12,13,12,17,30,1,1,0,1,0,1,0,0,60,31,17,9,"116,966m","113,707m",114,105,108,102,13.0%,7.8%,51.5%,48.5%,https://www.football-lab.jp/uraw/report/?year=2024&month=10&date=19
H,柏,W,1,0,0.898,1.931,10,12,3,5,0,1,388,564,14,11,16,7,1,0,4,2,16,30,18,9,10,17,24,23,2,0,0,1,0,2,0,0,31,33,14,6,"119,292m","119,132m",116,122,107,108,9.3%,11.1%,42.7%,57.3%,https://www.football-lab.jp/uraw/report/?year=2024&month=10&date=23
A,横浜FM,D,0,0,1.332,0.734,15,10,2,3,0,0,641,463,24,13,6,9,4,1,6,4,19,22,17,11,12,18,17,29,1,3,1,4,0,0,0,0,51,39,13,12,"125,080m","123,458m",135,152,109,110,13.8%,9.1%,56.3%,43.7%,https://www.football-lab.jp/uraw/report/?year=2024&month=10&date=30
H,広島,W,3,0,3.109,1.088,29,12,5,7,0,0,512,317,32,11,14,7,1,1,13,1,29,15,17,12,15,18,12,67,3,1,1,1,1,0,0,0,53,21,26,13,"111,575m","116,526m",120,138,133,107,21.8%,11.2%,56.3%,43.7%,https://www.football-lab.jp/uraw/report/?year=2024&month=11&date=10
H,川崎Ｆ,D,1,1,1.37,1.307,11,10,2,4,0,0,571,418,21,11,10,14,0,2,6,5,24,15,13,5,14,15,16,31,1,2,2,0,0,1,0,0,54,34,18,10,"108,646m","114,519m",98,113,106,102,10.4%,9.8%,55%,45%,https://www.football-lab.jp/uraw/report/?year=2024&month=11&date=22
A,福岡,L,0,1,0.844,1.124,13,14,5,4,0,0,253,758,6,15,8,16,1,1,4,1,22,23,9,12,18,14,19,18,1,0,1,1,2,0,0,0,25,47,11,14,"114,911m","113,281m",133,150,111,121,11.7%,11.6%,32.2%,67.8%,https://www.football-lab.jp/uraw/report/?year=2024&month=11&date=30
H,新潟,D,0,0,0.197,0.64,4,9,0,3,0,0,491,725,16,16,6,10,1,0,4,5,12,19,11,12,19,18,27,12,7,1,0,1,1,1,0,0,31,55,5,11,"122,852m","122,265m",96,127,105,110,3.8%,8.2%,41%,59%,https://www.football-lab.jp/uraw/report/?year=2024&month=12&date=08
