HOME/AWAY,Opponent,勝敗,mcd_得点,mcd_失点,mcd_ゴール期待値,Opponent_ゴール期待値,mcd_シュート,Opponent_シュート,mcd_枠内シュート,Opponent_枠内シュート,mcd_PKによるシュート,Opponent_PKによるシュート,mcd_パス,Opponent_パス,mcd_クロス,Opponent_クロス,mcd_直接ＦＫ,Opponent_直接ＦＫ,mcd_間接ＦＫ,Opponent_間接ＦＫ,mcd_ＣＫ,Opponent_ＣＫ,mcd_スローイン,Opponent_スローイン,mcd_ドリブル,Opponent_ドリブル,mcd_タックル,Opponent_タックル,mcd_クリア,Opponent_クリア,mcd_インターセプト,Opponent_インターセプト,mcd_オフサイド,Opponent_オフサイド,mcd_警告,Opponent_警告,mcd_退場,Opponent_退場,mcd_３０ｍライン進入,Opponent_３０ｍライン進入,mcd_ペナルティエリア進入,Opponent_ペナルティエリア進入,mcd_総移動距離,Opponent_総移動距離,mcd_スプリント,Opponent_スプリント,mcd_攻撃回数,Opponent_攻撃回数,mcd_チャンス構築率,Opponent_チャンス構築率,mcd_ボール保持率,Opponent_ボール保持率,URL
H,柏,W,2,0,1.068,0.486,11,4,3,1,0,0,297,376,14,17,8,17,2,2,8,4,23,29,8,13,15,13,25,29,1,0,2,2,0,2,0,0,26,33,14,9,"118,044m","112,915m",144,130,107,113,10.3%,3.5%,43.9%,56.1%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=03
A,京都,W,3,0,1.819,0.288,17,8,7,3,0,0,348,399,17,2,16,8,2,4,8,1,25,17,13,18,29,18,18,31,2,1,4,2,2,3,0,0,40,28,15,5,"119,667m","116,012m",155,139,130,111,13.1%,7.2%,45.6%,54.4%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=06
A,湘南,D,0,0,0.809,1.39,8,18,1,5,0,0,256,379,11,12,20,15,3,6,3,6,15,19,11,11,14,13,21,21,2,1,6,3,3,3,0,0,19,22,7,8,"112,038m","110,112m",143,147,122,126,6.6%,14.3%,43.5%,56.5%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=11
H,Ｃ大阪,W,2,1,2.18,1.631,21,14,7,2,0,1,308,488,23,13,5,14,2,3,8,4,16,21,18,14,14,11,27,23,1,5,3,3,2,0,0,0,37,39,16,12,"118,438m","119,194m",149,129,112,114,18.8%,12.3%,40.3%,59.7%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=15
H,東京Ｖ,W,5,0,2.185,0.402,13,9,7,1,1,0,327,459,15,9,11,14,0,0,5,1,26,23,13,9,21,15,12,28,2,1,0,0,0,2,0,0,22,31,13,7,"113,284m","108,887m",116,102,118,105,11.0%,8.6%,44.2%,55.8%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=19
A,浦和,W,2,1,1.838,0.809,7,9,4,4,1,0,323,644,14,18,11,12,3,1,5,5,18,19,12,14,13,22,16,20,1,1,1,3,2,1,0,0,35,42,8,12,"119,468m","112,905m",127,143,108,116,6.5%,7.8%,34.2%,65.8%,https://www.football-lab.jp/mcd/report/?year=2024&month=05&date=26
H,新潟,L,1,3,1.833,0.858,15,8,3,3,0,0,395,392,19,6,6,13,2,3,6,2,16,22,14,8,20,21,19,41,1,1,3,2,0,1,0,0,45,25,19,8,"118,680m","114,726m",130,133,99,105,15.2%,7.6%,47.5%,52.5%,https://www.football-lab.jp/mcd/report/?year=2024&month=06&date=01
A,横浜FM,W,3,1,1.542,0.39,17,9,5,2,0,0,244,605,17,9,13,16,2,4,7,3,21,23,9,8,11,12,23,24,2,0,3,2,1,0,0,0,32,34,17,4,"118,204m","109,040m",128,106,99,114,17.2%,7.9%,36.5%,63.5%,https://www.football-lab.jp/mcd/report/?year=2024&month=06&date=15
H,福岡,D,0,0,0.923,0.589,10,8,1,2,0,0,420,313,12,18,17,9,1,0,5,4,26,23,13,16,12,12,14,32,1,2,0,1,0,1,0,0,27,28,7,11,"110,207m","109,125m",107,122,119,106,8.4%,7.5%,57%,43%,https://www.football-lab.jp/mcd/report/?year=2024&month=06&date=22
A,神戸,D,0,0,0.325,1.207,4,15,2,4,0,0,257,423,15,17,13,10,2,2,3,4,23,31,14,20,13,13,22,17,0,1,2,2,0,0,0,0,20,37,7,16,"116,857m","115,715m",144,162,107,114,3.7%,13.2%,39.4%,60.6%,https://www.football-lab.jp/mcd/report/?year=2024&month=06&date=26
