HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_ゴール期待値,niig_ゴール期待値,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,鹿島,D,1,1,1.228,1.28,12,15,2,5,0,0,391,695,18,16,8,12,0,2,2,3,19,20,9,12,23,15,13,15,3,6,1,0,1,0,0,0,33,47,14,9,"109,573m","108,061m",116,102,106,111,11.3%,13.5%,39.6%,60.4%,https://www.football-lab.jp/niig/report/?year=2024&month=06&date=16
H,川崎Ｆ,D,2,2,2.46,1.218,22,13,8,4,0,0,443,650,19,7,8,11,1,2,7,5,14,20,8,7,17,12,20,33,2,0,2,2,1,2,0,0,43,39,15,11,"118,963m","121,295m",124,110,97,103,22.7%,12.6%,41.6%,58.4%,https://www.football-lab.jp/niig/report/?year=2024&month=06&date=22
A,広島,D,1,1,1.883,0.834,21,7,7,1,0,0,366,613,24,8,5,7,2,3,11,1,22,21,16,9,20,7,11,29,2,4,3,2,0,1,0,0,41,35,15,10,"110,597m","114,522m",101,86,116,117,18.1%,6.0%,37.4%,62.6%,https://www.football-lab.jp/niig/report/?year=2024&month=06&date=26
A,札幌,W,1,0,0.534,1.692,11,14,2,3,0,0,557,447,12,7,11,12,0,1,5,5,18,23,9,17,28,14,23,20,2,0,1,0,2,0,0,0,45,36,13,12,"116,455m","116,530m",143,109,123,132,8.9%,10.6%,53.6%,46.4%,https://www.football-lab.jp/niig/report/?year=2024&month=06&date=29
H,鳥栖,L,3,4,2.06,1.887,18,20,7,7,0,0,398,584,12,23,9,8,1,0,6,5,12,26,9,21,18,10,28,13,2,0,0,1,1,2,0,0,29,45,14,16,"121,924m","116,293m",121,90,95,105,18.9%,19.0%,42.4%,57.6%,https://www.football-lab.jp/niig/report/?year=2024&month=07&date=06
A,FC東京,L,0,2,0.462,0.893,7,14,2,3,0,0,366,739,6,16,13,14,3,3,3,1,18,18,3,13,17,11,22,13,3,2,3,3,1,2,0,0,19,62,10,18,"120,092m","113,219m",145,110,97,94,7.2%,14.9%,36%,64%,https://www.football-lab.jp/niig/report/?year=2024&month=07&date=13
A,Ｃ大阪,W,2,1,1.645,2.33,17,16,4,4,0,0,487,494,10,18,8,6,5,3,8,5,23,19,7,11,12,9,16,22,0,1,3,5,0,0,1,0,41,33,16,18,"108,526m","113,069m",96,104,111,107,15.3%,15.0%,52.9%,47.1%,https://www.football-lab.jp/niig/report/?year=2024&month=07&date=20
H,磐田,D,2,2,1.065,1.431,10,15,2,6,0,0,403,530,12,19,9,13,1,1,5,6,14,24,8,16,16,14,18,17,5,1,1,1,3,1,1,0,26,46,6,15,"112,992m","117,156m",90,101,105,108,9.5%,13.9%,45.2%,54.8%,https://www.football-lab.jp/niig/report/?year=2024&month=08&date=07
H,京都,W,2,0,1.287,1.665,17,12,2,4,0,1,419,371,19,8,13,9,4,0,7,3,16,22,15,9,12,17,19,35,1,1,0,3,1,0,0,0,30,23,21,6,"109,043m","107,256m",99,101,115,114,14.8%,10.5%,53.9%,46.1%,https://www.football-lab.jp/niig/report/?year=2024&month=08&date=12
A,福岡,W,1,0,0.547,1.296,7,17,1,5,0,0,276,633,9,15,11,15,1,2,2,5,16,11,11,15,17,11,25,22,2,3,2,1,0,0,0,0,27,45,6,15,"113,345m","110,337m",112,81,87,92,8.0%,18.5%,33.9%,66.1%,https://www.football-lab.jp/niig/report/?year=2024&month=08&date=17
H,町田,D,0,0,0.517,0.366,7,9,1,3,0,0,267,550,8,15,8,14,1,1,4,2,22,19,4,13,15,18,17,31,2,0,1,1,1,1,0,0,30,37,8,10,"109,912m","105,990m",97,81,95,99,7.4%,9.1%,35.7%,64.3%,https://www.football-lab.jp/niig/report/?year=2024&month=08&date=25
H,湘南,W,3,1,0.904,1.622,11,13,2,5,0,0,521,433,12,10,9,10,1,1,6,4,21,25,6,10,14,12,18,21,2,0,1,1,2,0,1,0,42,27,12,11,"113,553m","116,235m",111,111,100,104,11.0%,12.5%,53.6%,46.4%,https://www.football-lab.jp/niig/report/?year=2024&month=09&date=14
A,名古屋,L,0,3,1.338,3.214,15,19,6,5,0,0,370,649,14,12,7,8,1,1,3,4,14,15,4,10,19,6,19,16,5,1,1,1,0,1,0,0,39,38,8,17,"115,300m","112,426m",107,87,95,100,15.8%,19.0%,39.3%,60.7%,https://www.football-lab.jp/niig/report/?year=2024&month=09&date=18
H,神戸,L,2,3,1.768,0.76,16,15,8,3,0,0,430,469,17,14,12,6,3,1,6,8,16,18,10,6,9,12,29,26,1,1,1,3,1,1,0,0,34,33,9,13,"114,915m","112,333m",128,118,97,95,16.5%,15.8%,49.5%,50.5%,https://www.football-lab.jp/niig/report/?year=2024&month=09&date=22
A,川崎Ｆ,L,1,5,2.368,1.765,15,20,10,8,1,0,374,653,10,20,10,13,0,1,3,8,12,19,10,8,24,8,30,11,2,3,1,0,2,1,0,0,37,54,17,27,"111,897m","114,278m",146,116,92,110,16.3%,18.2%,40.1%,59.9%,https://www.football-lab.jp/niig/report/?year=2024&month=09&date=27
H,鹿島,L,0,4,1.239,0.513,12,8,6,1,0,0,339,713,11,11,13,15,2,5,1,5,14,18,8,8,15,12,21,13,3,3,5,2,1,2,0,0,26,35,8,7,"111,123m","108,284m",109,98,107,114,11.2%,7.0%,35%,65%,https://www.football-lab.jp/niig/report/?year=2024&month=10&date=05
A,横浜FM,D,0,0,0.516,0.809,8,15,1,3,0,0,662,504,12,20,11,12,0,3,0,6,13,21,7,21,19,15,27,17,0,4,3,0,1,2,0,0,57,48,12,16,"114,411m","115,290m",88,110,91,103,8.8%,14.6%,53.9%,46.1%,https://www.football-lab.jp/niig/report/?year=2024&month=10&date=18
H,東京Ｖ,L,0,2,1.665,0.742,12,12,4,3,0,0,412,616,11,11,12,7,0,2,5,7,11,25,6,9,19,19,28,17,4,0,2,0,2,1,0,0,30,37,11,9,"117,707m","114,604m",110,84,97,97,12.4%,12.4%,44.1%,55.9%,https://www.football-lab.jp/niig/report/?year=2024&month=10&date=23
A,柏,D,1,1,0.818,0.914,7,11,4,1,0,0,279,724,12,15,4,7,1,0,3,2,20,42,10,11,19,15,18,18,4,2,0,1,0,1,0,0,35,40,13,10,"121,182m","116,079m",135,114,105,116,6.7%,9.5%,33.3%,66.7%,https://www.football-lab.jp/niig/report/?year=2024&month=11&date=09
H,Ｇ大阪,L,0,1,1.213,0.932,10,10,4,3,0,0,518,528,9,17,11,8,1,1,4,10,20,16,6,10,13,24,30,16,5,2,1,1,0,2,0,0,39,35,10,10,"113,360m","119,039m",121,107,100,103,10.0%,9.7%,49.8%,50.2%,https://www.football-lab.jp/niig/report/?year=2024&month=11&date=30
A,浦和,D,0,0,0.64,0.197,9,4,3,0,0,0,725,491,16,16,10,6,0,1,5,4,19,12,12,11,18,19,12,27,1,7,1,0,1,1,0,0,55,31,11,5,"122,265m","122,852m",127,96,110,105,8.2%,3.8%,59%,41%,https://www.football-lab.jp/niig/report/?year=2024&month=12&date=08
