HOME/AWAY,Opponent,勝敗,tk-v_得点,tk-v_失点,tk-v_ゴール期待値,Opponent_ゴール期待値,tk-v_シュート,Opponent_シュート,tk-v_枠内シュート,Opponent_枠内シュート,tk-v_PKによるシュート,Opponent_PKによるシュート,tk-v_パス,Opponent_パス,tk-v_クロス,Opponent_クロス,tk-v_直接ＦＫ,Opponent_直接ＦＫ,tk-v_間接ＦＫ,Opponent_間接ＦＫ,tk-v_ＣＫ,Opponent_ＣＫ,tk-v_スローイン,Opponent_スローイン,tk-v_ドリブル,Opponent_ドリブル,tk-v_タックル,Opponent_タックル,tk-v_クリア,Opponent_クリア,tk-v_インターセプト,Opponent_インターセプト,tk-v_オフサイド,Opponent_オフサイド,tk-v_警告,Opponent_警告,tk-v_退場,Opponent_退場,tk-v_３０ｍライン進入,Opponent_３０ｍライン進入,tk-v_ペナルティエリア進入,Opponent_ペナルティエリア進入,tk-v_総移動距離,Opponent_総移動距離,tk-v_スプリント,Opponent_スプリント,tk-v_攻撃回数,Opponent_攻撃回数,tk-v_チャンス構築率,Opponent_チャンス構築率,tk-v_ボール保持率,Opponent_ボール保持率,URL
A,鳥栖,W,2,0,2.065,1.153,14,10,4,2,1,0,307,669,9,22,8,13,2,2,4,5,16,21,8,16,16,13,28,9,2,0,2,2,3,1,0,0,24,38,11,13,"121,519m","119,145m",121,109,103,107,13.6%,9.3%,35.9%,64.1%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=03
H,磐田,W,3,2,3.23,1.812,16,11,8,3,1,1,408,460,11,22,16,14,3,1,12,1,25,24,18,10,16,25,35,38,0,2,0,2,3,4,0,1,32,39,7,9,"121,054m","114,748m",105,73,119,114,13.4%,9.6%,48.4%,51.6%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=06
A,鹿島,D,3,3,2.341,1.368,17,8,6,4,0,1,399,348,11,6,15,15,2,1,3,5,37,21,15,7,19,18,15,22,1,0,1,1,2,2,0,0,29,23,9,10,"112,349m","110,889m",131,124,118,111,14.4%,7.2%,50.1%,49.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=12
H,Ｇ大阪,D,0,0,1.778,0.482,14,4,6,0,0,0,468,510,10,9,17,15,1,1,3,3,17,23,11,9,23,16,20,21,2,0,1,1,0,1,0,0,27,32,7,4,"115,734m","112,479m",136,110,110,117,12.7%,3.4%,49.1%,50.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=15
A,町田,L,0,5,0.402,2.185,9,13,1,7,0,1,459,327,9,15,14,11,0,0,1,5,23,26,9,13,15,21,28,12,1,2,0,0,2,0,0,0,31,22,7,13,"108,887m","113,284m",102,116,105,118,8.6%,11.0%,55.8%,44.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=19
A,神戸,W,1,0,0.335,1.2,7,14,2,2,0,0,342,591,10,30,6,9,1,0,2,9,29,29,12,22,20,16,46,20,1,4,0,1,2,1,0,0,26,60,7,12,"121,614m","118,121m",141,141,118,132,5.9%,10.6%,40.1%,59.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=05&date=26
H,札幌,W,5,3,2.083,0.866,15,8,8,4,1,0,362,658,4,9,9,6,3,0,1,2,28,22,5,10,25,21,22,11,4,4,0,2,0,3,0,0,35,41,11,13,"118,627m","109,774m",106,128,130,131,11.5%,6.1%,39%,61%,https://www.football-lab.jp/tk-v/report/?year=2024&month=06&date=02
A,広島,L,1,4,0.998,1.928,13,22,2,8,0,0,419,378,9,19,13,15,1,0,1,7,17,22,9,14,21,15,25,20,2,2,0,1,2,2,0,0,28,33,9,16,"112,309m","110,388m",106,123,107,113,12.1%,19.5%,55.1%,44.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=06&date=15
H,名古屋,W,1,0,0.854,2.136,10,22,3,5,0,0,341,529,13,25,7,9,2,3,7,11,16,31,7,3,12,17,42,21,2,0,3,2,3,0,0,0,25,40,9,18,"114,120m","109,592m",156,127,107,125,9.3%,17.6%,42.5%,57.5%,https://www.football-lab.jp/tk-v/report/?year=2024&month=06&date=22
A,磐田,L,0,3,1.206,1.629,12,10,3,4,0,1,450,398,8,11,14,12,1,4,4,3,18,20,8,11,16,19,10,27,3,1,4,0,3,2,0,0,41,28,7,11,"110,189m","107,831m",88,86,104,102,11.5%,9.8%,50.7%,49.3%,https://www.football-lab.jp/tk-v/report/?year=2024&month=06&date=26
A,横浜FM,W,2,1,0.531,1.233,10,14,3,4,0,0,183,621,10,24,18,21,3,4,5,7,7,32,6,21,16,7,39,15,1,0,4,3,0,2,0,0,14,58,3,14,"122,857m","113,472m",128,100,97,116,10.3%,12.1%,30.6%,69.4%,https://www.football-lab.jp/tk-v/report/?year=2024&month=06&date=29
H,Ｃ大阪,D,1,1,1.472,1.656,7,19,3,5,1,0,209,598,9,13,4,14,2,4,2,4,14,29,6,17,14,5,34,11,2,2,4,2,2,0,1,0,16,66,3,17,"109,463m","108,686m",89,106,97,121,7.2%,15.7%,31.6%,68.4%,https://www.football-lab.jp/tk-v/report/?year=2024&month=07&date=06
H,町田,L,0,1,1.439,0.651,16,9,5,2,0,0,469,332,18,12,14,5,4,2,7,7,26,24,13,14,20,12,21,31,0,1,2,4,0,2,0,0,30,26,14,16,"117,272m","113,939m",127,109,123,118,13.0%,7.6%,53.4%,46.6%,https://www.football-lab.jp/tk-v/report/?year=2024&month=07&date=14
A,福岡,W,1,0,1.029,0.518,16,8,5,2,0,0,414,463,8,11,20,13,1,2,6,0,13,23,5,10,16,13,29,19,3,0,2,1,1,0,0,0,25,41,12,6,"116,947m","116,836m",84,72,122,113,13.1%,7.1%,45.9%,54.1%,https://www.football-lab.jp/tk-v/report/?year=2024&month=07&date=20
H,広島,L,0,1,1.138,0.863,16,11,8,4,0,0,431,581,7,17,22,6,3,0,3,7,17,27,9,5,16,18,35,14,3,0,0,3,0,1,0,0,31,42,8,8,"113,394m","108,437m",113,107,111,122,14.4%,9.0%,45%,55%,https://www.football-lab.jp/tk-v/report/?year=2024&month=08&date=07
A,名古屋,L,0,1,0.51,0.688,7,7,2,1,0,0,472,322,12,9,16,15,1,2,8,3,19,18,10,4,8,20,19,28,0,0,2,1,1,2,0,0,29,22,10,8,"105,716m","106,734m",102,102,116,94,6.0%,7.4%,58.8%,41.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=08&date=11
A,FC東京,D,0,0,1.207,0.37,17,6,5,0,0,0,304,457,29,13,13,14,1,0,4,6,20,11,17,6,9,13,16,24,0,2,0,1,2,0,0,0,31,35,21,7,"105,329m","102,544m",124,109,93,89,18.3%,6.7%,39.8%,60.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=08&date=17
H,鹿島,W,2,1,1.143,2.071,15,19,7,6,0,1,215,424,11,15,12,17,3,2,5,6,14,24,13,11,16,11,32,21,7,3,2,3,2,1,0,0,26,38,13,14,"106,396m","100,602m",97,113,92,102,16.3%,18.6%,42.2%,57.8%,https://www.football-lab.jp/tk-v/report/?year=2024&month=08&date=25
A,柏,W,3,2,0.577,1.988,7,24,5,7,0,0,266,648,3,35,7,8,2,1,0,9,6,33,4,15,17,13,59,10,3,1,1,2,0,1,0,0,16,69,3,21,"113,247m","111,590m",103,117,89,119,7.9%,20.2%,34.6%,65.4%,https://www.football-lab.jp/tk-v/report/?year=2024&month=08&date=31
A,札幌,W,2,0,1.25,0.922,12,12,5,2,0,0,254,672,6,13,14,8,2,3,4,5,16,17,10,9,23,13,40,12,3,0,3,2,1,3,0,0,28,42,9,14,"118,615m","112,835m",145,122,114,120,10.5%,10.0%,34.8%,65.2%,https://www.football-lab.jp/tk-v/report/?year=2024&month=09&date=14
H,鳥栖,W,2,0,1.046,1.151,10,11,4,4,0,0,382,607,10,14,9,10,1,0,2,3,14,13,6,10,10,7,15,7,2,0,0,1,1,2,0,0,28,46,8,13,"115,987m","115,463m",126,127,103,96,9.7%,11.5%,41.4%,58.6%,https://www.football-lab.jp/tk-v/report/?year=2024&month=09&date=22
A,Ｇ大阪,D,1,1,0.878,0.465,11,5,5,3,0,0,460,464,12,6,16,14,2,1,3,3,20,16,7,7,21,14,15,22,1,2,1,2,0,1,0,0,43,41,12,11,"104,521m","102,728m",86,88,99,88,11.1%,5.7%,49.3%,50.7%,https://www.football-lab.jp/tk-v/report/?year=2024&month=09&date=28
H,湘南,L,0,2,1.149,1.252,14,8,3,2,0,0,483,433,16,7,14,10,4,1,6,2,19,22,12,3,14,17,6,23,3,1,1,2,0,2,0,0,25,23,17,10,"113,203m","114,961m",119,124,125,107,11.2%,7.5%,51.1%,48.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=10&date=06
H,浦和,W,2,1,1.142,0.693,14,8,4,4,0,0,477,455,20,12,12,12,1,0,9,3,22,19,10,12,13,12,17,30,1,1,0,1,0,1,0,0,60,31,17,9,"116,966m","113,707m",114,105,108,102,13.0%,7.8%,51.5%,48.5%,https://www.football-lab.jp/tk-v/report/?year=2024&month=10&date=19
A,新潟,W,2,0,1.665,0.742,12,12,4,3,0,0,412,616,11,11,12,7,0,2,5,7,11,25,6,9,19,19,28,17,4,0,2,0,2,1,0,0,30,37,11,9,"117,707m","114,604m",110,84,97,97,12.4%,12.4%,44.1%,55.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=10&date=23
H,神戸,D,1,1,0.53,0.611,8,7,2,4,0,0,605,344,16,5,11,11,3,4,4,1,24,22,12,8,20,16,12,25,2,3,3,3,1,0,0,0,38,23,11,6,"119,108m","118,135m",120,137,130,128,6.2%,5.5%,58.6%,41.4%,https://www.football-lab.jp/tk-v/report/?year=2024&month=11&date=10
H,川崎Ｆ,L,4,5,1.563,2.367,13,16,5,7,0,1,432,470,19,15,13,8,3,2,6,6,14,21,11,11,21,18,19,19,1,0,2,3,0,2,0,0,31,34,14,18,"121,382m","117,326m",175,152,114,116,11.4%,13.8%,48.1%,51.9%,https://www.football-lab.jp/tk-v/report/?year=2024&month=11&date=30
A,京都,D,0,0,1.025,0.701,13,14,4,3,0,0,457,477,23,19,13,13,0,1,6,5,12,19,13,13,17,10,35,16,1,1,1,0,2,1,0,0,34,39,17,13,"118,876m","116,695m",145,133,122,127,10.7%,11.0%,50.4%,49.6%,https://www.football-lab.jp/tk-v/report/?year=2024&month=12&date=08
