HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,札幌,D,1,1,1.88,1.061,11,12,2,3,1,0,412,427,16,13,17,17,1,1,3,4,20,12,12,14,16,24,9,24,1,4,1,1,0,0,0,0,38,40,19,15,"113,974m","118,155m",137,134,126,117,8.7%,10.3%,50%,50%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=03
A,Ｇ大阪,L,0,1,0.572,1.261,12,16,1,8,0,0,606,324,15,11,15,5,1,1,6,3,24,13,14,7,11,12,22,32,0,0,1,1,1,1,0,0,50,35,12,19,"107,363m","106,715m",110,100,119,100,10.1%,16.0%,60.7%,39.3%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=06
H,神戸,L,1,4,1.476,1.675,14,15,5,5,0,0,467,387,18,24,10,11,0,2,6,4,18,14,10,17,20,18,14,26,2,3,1,0,1,1,0,0,43,37,13,21,"114,538m","114,599m",143,145,123,128,11.4%,11.7%,51.8%,48.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=11
A,町田,L,1,2,1.631,2.18,14,21,2,7,1,0,488,308,13,23,14,5,3,2,4,8,21,16,14,18,11,14,23,27,5,1,3,3,0,2,0,0,39,37,12,16,"119,194m","118,438m",129,149,114,112,12.3%,18.8%,59.7%,40.3%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=15
A,福岡,W,3,0,1.92,0.679,15,10,8,1,0,0,433,381,11,17,17,15,0,0,4,3,23,10,8,10,12,15,27,23,2,2,0,0,1,6,0,1,31,39,8,11,"110,716m","107,621m",103,115,119,116,12.6%,8.6%,52.1%,47.9%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=18
H,広島,D,1,1,0.924,1.454,11,15,3,5,0,0,370,327,10,19,21,10,1,1,8,11,17,17,13,5,14,12,24,19,1,1,1,1,1,2,0,0,25,18,8,10,"109,570m","109,935m",126,126,114,114,9.6%,13.2%,55.8%,44.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=05&date=26
A,京都,D,1,1,0.694,1.749,8,15,2,5,0,0,441,269,11,12,11,11,0,2,5,5,24,19,10,8,14,10,23,19,0,1,2,0,2,0,0,0,48,24,11,9,"111,992m","119,511m",108,147,117,107,6.8%,14.0%,59.9%,40.1%,https://www.football-lab.jp/c-os/report/?year=2024&month=06&date=01
H,浦和,W,2,1,0.695,0.702,11,8,3,1,0,0,396,615,5,21,10,5,1,1,3,3,16,20,14,8,8,13,23,10,2,3,1,1,0,1,0,0,22,54,6,14,"109,650m","106,461m",83,90,100,100,11.0%,8.0%,43.6%,56.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=06&date=15
A,磐田,D,1,1,1.963,1.469,20,16,4,7,0,0,540,267,21,17,9,9,2,1,8,8,21,18,16,10,13,13,24,48,1,1,1,2,0,0,0,0,63,26,16,7,"109,514m","110,954m",97,87,115,110,17.4%,14.5%,63.8%,36.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=06&date=22
H,鳥栖,W,1,0,1.363,1.339,11,13,2,2,0,0,469,589,17,24,5,5,0,2,6,3,22,22,18,12,15,13,25,30,1,1,2,0,1,0,0,0,42,56,11,15,"115,634m","120,771m",131,132,109,104,10.1%,12.5%,49.2%,50.8%,https://www.football-lab.jp/c-os/report/?year=2024&month=06&date=26
H,名古屋,W,2,1,0.816,0.589,10,9,2,3,0,0,331,464,17,17,14,10,1,5,3,11,24,26,17,11,15,27,26,25,3,2,5,1,1,2,0,0,37,40,14,16,"108,219m","112,291m",94,107,117,127,8.5%,7.1%,46.3%,53.7%,https://www.football-lab.jp/c-os/report/?year=2024&month=06&date=30
A,東京Ｖ,D,1,1,1.656,1.472,19,7,5,3,0,1,598,209,13,9,14,4,4,2,4,2,29,14,17,6,5,14,11,34,2,2,2,4,0,2,0,1,66,16,17,3,"108,686m","109,463m",106,89,121,97,15.7%,7.2%,68.4%,31.6%,https://www.football-lab.jp/c-os/report/?year=2024&month=07&date=06
A,川崎Ｆ,D,1,1,0.764,1.154,11,12,3,5,0,0,430,399,16,18,17,8,2,2,5,1,24,8,14,5,12,16,16,24,1,2,2,2,1,1,0,0,32,38,8,12,"105,945m","105,426m",115,111,113,96,9.7%,12.5%,53.4%,46.6%,https://www.football-lab.jp/c-os/report/?year=2024&month=07&date=14
H,新潟,L,1,2,1.645,2.33,17,16,4,4,0,0,487,494,10,18,8,6,5,3,8,5,23,19,7,11,12,9,16,22,0,1,3,5,0,0,1,0,41,33,16,18,"108,526m","113,069m",96,104,111,107,15.3%,15.0%,52.9%,47.1%,https://www.football-lab.jp/c-os/report/?year=2024&month=07&date=20
H,町田,D,0,0,0.363,1.498,8,15,2,2,0,0,388,278,2,23,19,5,2,2,2,6,21,23,7,18,16,16,25,16,0,2,2,1,1,3,0,0,30,35,9,10,"107,697m","108,329m",104,145,104,104,7.7%,14.4%,58%,42%,https://www.football-lab.jp/c-os/report/?year=2024&month=08&date=07
A,広島,L,0,2,0.576,1.334,8,16,1,4,0,0,497,471,13,19,17,7,3,1,1,4,25,17,4,10,14,19,22,20,0,1,1,3,1,2,0,0,32,42,16,17,"107,708m","109,354m",85,101,117,106,6.8%,15.1%,53%,47%,https://www.football-lab.jp/c-os/report/?year=2024&month=08&date=11
H,京都,L,3,5,3.075,2.977,20,24,6,10,1,0,638,232,21,16,15,5,3,2,11,5,20,11,16,12,12,14,17,49,2,8,2,3,0,1,0,0,49,29,20,20,"112,282m","116,499m",124,121,123,103,16.3%,23.3%,65.5%,34.5%,https://www.football-lab.jp/c-os/report/?year=2024&month=08&date=17
A,横浜FM,L,0,4,1.16,2.265,14,16,6,8,0,1,375,532,17,15,10,8,5,6,3,4,18,20,3,10,11,10,11,30,2,1,6,5,1,1,0,0,38,49,12,14,"110,300m","113,855m",121,121,95,96,14.7%,16.7%,43.6%,56.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=08&date=24
A,神戸,L,1,2,1.101,1.819,14,11,1,5,0,0,391,465,10,9,13,13,3,1,6,3,21,20,12,6,14,9,25,21,1,1,1,3,0,1,0,0,29,38,6,12,"109,544m","109,211m",95,108,111,106,12.6%,10.4%,47.7%,52.3%,https://www.football-lab.jp/c-os/report/?year=2024&month=09&date=13
A,湘南,W,2,1,2.173,2.202,14,19,5,6,0,0,241,654,4,18,13,10,1,1,3,6,16,19,14,13,20,17,27,7,7,2,1,1,0,0,0,0,28,58,9,16,"115,045m","114,142m",120,125,109,118,12.8%,16.1%,34.6%,65.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=09&date=22
H,柏,D,0,0,0.767,0.354,11,6,1,5,0,0,434,368,13,11,18,6,1,1,9,4,16,27,9,8,16,15,19,26,1,3,1,1,0,4,0,0,41,26,3,7,"111,686m","109,318m",99,105,118,106,9.3%,5.7%,53.1%,46.9%,https://www.football-lab.jp/c-os/report/?year=2024&month=09&date=28
H,Ｇ大阪,W,1,0,1.795,0.418,21,5,9,0,0,0,360,453,8,9,17,8,1,3,5,3,27,24,13,5,16,18,17,25,3,2,3,1,0,1,0,0,41,24,13,3,"113,375m","104,366m",115,123,126,112,16.7%,4.5%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=10&date=02
A,浦和,W,1,0,0.868,0.73,9,9,6,2,0,0,359,639,5,9,15,13,2,1,4,7,14,25,11,9,14,19,20,8,2,0,1,2,1,2,0,0,19,39,5,9,"113,179m","107,629m",87,86,103,110,8.7%,8.2%,38%,62%,https://www.football-lab.jp/c-os/report/?year=2024&month=10&date=05
H,磐田,L,1,2,2.559,1.093,22,12,3,7,1,0,573,270,13,12,18,7,0,4,8,1,27,19,10,13,19,19,13,32,3,4,4,0,0,3,0,0,38,21,11,9,"113,358m","109,299m",89,95,126,113,17.5%,10.6%,62.6%,37.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=10&date=19
A,札幌,D,1,1,1.735,0.949,20,13,4,3,0,0,428,419,13,11,17,13,2,0,5,3,19,20,20,10,21,17,17,25,2,2,0,2,0,3,0,0,43,30,13,21,"113,011m","111,331m",117,107,126,122,15.9%,10.7%,50.8%,49.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=11&date=03
H,福岡,W,1,0,1.946,0.866,21,12,6,1,0,0,499,410,20,20,13,8,0,0,7,2,20,17,14,15,11,19,20,32,1,2,0,0,3,1,0,0,33,37,17,12,"121,413m","120,423m",136,157,111,111,18.9%,10.8%,52.4%,47.6%,https://www.football-lab.jp/c-os/report/?year=2024&month=11&date=09
H,鹿島,L,0,2,1.524,1.103,18,12,5,4,0,0,473,311,24,12,18,16,3,1,5,3,22,10,15,5,20,23,22,35,0,4,1,3,3,1,0,0,48,26,13,14,"108,526m","108,312m",110,124,132,122,13.6%,9.8%,57.1%,42.9%,https://www.football-lab.jp/c-os/report/?year=2024&month=11&date=30
A,FC東京,L,0,3,2.106,1.812,14,13,4,7,0,0,563,433,28,14,12,11,2,0,6,5,18,18,18,10,12,20,19,29,1,3,0,2,0,0,0,0,60,26,17,6,"118,462m","118,072m",157,135,111,114,12.6%,11.4%,54.8%,45.2%,https://www.football-lab.jp/c-os/report/?year=2024&month=12&date=08
