HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_ゴール期待値,Opponent_ゴール期待値,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_総移動距離,Opponent_総移動距離,nago_スプリント,Opponent_スプリント,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
H,神戸,L,0,2,0.716,0.689,9,9,2,5,0,0,452,397,15,13,13,15,1,1,7,4,25,17,12,8,14,16,18,22,1,1,1,1,0,2,0,0,33,23,7,6,"109,283m","112,120m",113,153,106,100,8.5%,9.0%,51.8%,48.2%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=03
A,広島,W,3,2,0.824,1.54,8,16,4,6,0,0,267,504,6,21,14,15,2,1,0,7,14,38,5,16,11,18,43,8,0,0,1,2,1,0,0,0,14,49,5,8,"109,672m","108,866m",110,83,100,122,8.0%,13.1%,40.4%,59.6%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=06
H,Ｇ大阪,L,0,1,0.455,0.697,4,8,0,4,0,0,462,504,19,6,19,12,1,1,7,2,26,8,7,9,9,14,8,30,0,0,1,1,1,0,0,0,37,32,7,7,"113,922m","110,889m",112,121,97,77,4.1%,10.4%,45.3%,54.7%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=11
H,FC東京,W,3,1,1.279,1.006,8,12,4,5,1,0,282,583,11,22,10,11,0,2,3,3,22,28,4,19,25,14,32,13,1,3,2,0,3,2,0,0,20,47,11,7,"117,006m","115,362m",151,133,120,125,6.7%,9.6%,37.8%,62.2%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=15
A,鳥栖,W,2,0,2.301,0.556,21,5,7,2,0,0,497,449,23,11,16,13,1,6,7,2,14,27,16,7,9,10,23,25,1,1,6,1,1,2,0,1,55,16,24,4,"126,719m","120,761m",187,158,120,126,17.5%,4.0%,52.5%,47.5%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=18
H,京都,D,1,1,1.042,0.723,9,9,2,3,0,0,497,254,20,9,15,10,0,2,4,2,32,24,14,9,13,12,24,42,1,4,2,0,3,2,0,0,30,23,13,5,"115,872m","119,707m",135,166,134,123,6.7%,7.3%,60.1%,39.9%,https://www.football-lab.jp/nago/report/?year=2024&month=05&date=26
A,川崎Ｆ,L,1,2,4.217,2.206,21,13,6,3,0,0,491,477,15,9,13,11,3,1,7,9,22,16,12,15,23,17,22,34,2,2,1,2,0,2,0,0,48,44,16,17,"119,480m","116,070m",153,154,120,119,17.5%,10.9%,48.3%,51.7%,https://www.football-lab.jp/nago/report/?year=2024&month=06&date=02
H,湘南,D,1,1,0.653,0.921,9,16,2,6,0,0,351,491,16,12,16,9,1,4,5,5,21,18,10,13,18,14,22,18,0,3,4,1,0,1,0,0,32,45,15,20,"112,358m","111,105m",113,133,103,103,8.7%,15.5%,41.5%,58.5%,https://www.football-lab.jp/nago/report/?year=2024&month=06&date=16
A,東京Ｖ,L,0,1,2.136,0.854,22,10,5,3,0,0,529,341,25,13,9,7,3,2,11,7,31,16,3,7,17,12,21,42,0,2,2,3,0,3,0,0,40,25,18,9,"109,592m","114,120m",127,156,125,107,17.6%,9.3%,57.5%,42.5%,https://www.football-lab.jp/nago/report/?year=2024&month=06&date=22
H,浦和,L,0,1,0.634,1.585,8,15,1,3,0,0,365,507,13,17,9,14,3,3,3,12,13,27,8,13,10,9,27,18,2,1,3,3,6,0,1,0,35,41,11,14,"115,215m","113,989m",159,120,93,116,8.6%,12.9%,40.5%,59.5%,https://www.football-lab.jp/nago/report/?year=2024&month=06&date=26
A,Ｃ大阪,L,1,2,0.589,0.816,9,10,3,2,0,0,464,331,17,17,10,14,5,1,11,3,26,24,11,17,27,15,25,26,2,3,1,5,2,1,0,0,40,37,16,14,"112,291m","108,219m",107,94,127,117,7.1%,8.5%,53.7%,46.3%,https://www.football-lab.jp/nago/report/?year=2024&month=06&date=30
A,町田,L,0,1,0.437,0.853,6,9,1,2,0,0,295,397,10,12,15,16,2,2,6,1,27,18,6,14,9,9,21,26,1,5,2,2,2,2,0,0,22,44,5,10,"115,612m","116,233m",122,134,110,105,5.5%,8.6%,43.1%,56.9%,https://www.football-lab.jp/nago/report/?year=2024&month=07&date=06
H,柏,W,2,1,0.946,1.205,13,14,3,5,0,0,394,320,11,6,12,6,1,3,7,3,27,19,7,4,17,19,12,39,5,1,2,1,1,2,0,0,38,15,10,12,"105,218m","105,487m",120,118,120,106,10.8%,13.2%,49.8%,50.2%,https://www.football-lab.jp/nago/report/?year=2024&month=07&date=14
A,神戸,D,3,3,1.121,0.916,8,12,4,3,1,0,288,392,10,26,14,12,0,5,3,7,23,30,7,7,11,10,33,15,2,1,5,0,1,2,0,0,23,34,9,13,"108,471m","110,706m",111,108,117,124,6.8%,9.7%,40.8%,59.2%,https://www.football-lab.jp/nago/report/?year=2024&month=07&date=20
A,京都,L,2,3,1.123,1.748,10,16,5,6,0,0,268,340,8,16,20,8,0,2,2,9,28,30,8,15,11,12,25,19,0,2,2,0,1,0,1,0,18,38,9,11,"108,916m","113,191m",126,124,109,119,9.2%,13.4%,42.1%,57.9%,https://www.football-lab.jp/nago/report/?year=2024&month=08&date=07
H,東京Ｖ,W,1,0,0.688,0.51,7,7,1,2,0,0,322,472,9,12,15,16,2,1,3,8,18,19,4,10,20,8,28,19,0,0,1,2,2,1,0,0,22,29,8,10,"106,734m","105,716m",102,102,94,116,7.4%,6.0%,41.2%,58.8%,https://www.football-lab.jp/nago/report/?year=2024&month=08&date=11
H,広島,L,1,2,0.603,1.539,6,18,1,7,0,0,437,483,15,16,18,15,3,1,3,5,18,27,3,7,11,12,26,19,3,3,0,2,1,1,0,0,24,38,7,14,"112,116m","110,131m",89,104,112,120,5.4%,15.0%,44.4%,55.6%,https://www.football-lab.jp/nago/report/?year=2024&month=08&date=17
A,湘南,W,1,0,1.073,1.082,9,13,2,3,0,0,224,597,7,13,15,14,1,1,3,6,11,18,2,10,17,13,28,9,2,1,1,1,0,1,0,0,18,49,5,18,"108,625m","102,924m",108,91,87,99,10.3%,13.1%,30.7%,69.3%,https://www.football-lab.jp/nago/report/?year=2024&month=08&date=24
A,FC東京,L,1,4,0.893,2.218,12,14,4,7,0,1,378,462,15,10,15,8,3,5,7,3,24,19,5,7,13,10,10,13,1,0,5,3,3,2,0,0,25,29,11,11,"109,509m","111,946m",115,109,106,102,11.3%,13.7%,46%,54%,https://www.football-lab.jp/nago/report/?year=2024&month=09&date=14
H,新潟,W,3,0,1.338,3.214,15,19,6,5,0,0,370,649,14,12,7,8,1,1,3,4,14,15,4,10,19,6,19,16,5,1,1,1,0,1,0,0,39,38,8,17,"115,300m","112,426m",107,87,95,100,15.8%,19.0%,39.3%,60.7%,https://www.football-lab.jp/nago/report/?year=2024&month=09&date=18
H,川崎Ｆ,W,2,0,1.224,1.797,13,19,4,4,0,0,311,551,12,19,11,8,1,5,5,7,14,15,5,13,22,14,31,19,1,3,5,1,1,2,0,1,26,54,15,18,"109,850m","102,259m",99,131,103,104,12.6%,18.3%,37.8%,62.2%,https://www.football-lab.jp/nago/report/?year=2024&month=09&date=22
H,磐田,W,2,0,1.772,0.562,14,11,4,3,0,0,327,352,8,18,12,11,1,1,2,8,15,21,6,11,11,8,35,15,0,1,1,0,2,1,0,0,27,23,12,6,"107,112m","103,125m",119,135,95,99,14.7%,11.1%,46.5%,53.5%,https://www.football-lab.jp/nago/report/?year=2024&month=09&date=28
A,福岡,L,0,1,1.346,0.955,14,14,4,2,0,0,456,385,17,16,14,10,3,2,4,1,22,19,4,12,16,14,26,29,2,3,2,2,2,0,0,0,38,31,14,9,"113,301m","114,299m",107,134,116,115,12.1%,12.2%,50.5%,49.5%,https://www.football-lab.jp/nago/report/?year=2024&month=10&date=04
H,札幌,L,0,2,1.262,1.164,13,14,6,7,0,0,497,401,20,9,10,11,2,2,3,4,21,15,8,16,21,13,17,17,3,3,2,2,3,1,1,0,45,29,10,12,"110,587m","111,668m",121,96,115,117,11.3%,12.0%,53.4%,46.6%,https://www.football-lab.jp/nago/report/?year=2024&month=10&date=19
A,Ｇ大阪,L,2,3,2.131,1.574,19,12,8,6,0,0,371,563,14,5,9,9,0,1,7,3,27,17,5,9,15,22,17,26,3,2,1,0,0,0,0,0,27,34,11,12,"111,143m","109,898m",107,109,108,105,17.6%,11.4%,38.5%,61.5%,https://www.football-lab.jp/nago/report/?year=2024&month=10&date=23
A,鹿島,D,0,0,0.437,0.981,7,12,1,0,0,0,391,422,21,12,12,21,0,1,3,4,20,9,5,9,6,8,14,22,1,3,0,0,2,0,0,1,42,30,7,8,"106,499m","104,856m",93,114,87,102,8.0%,11.8%,46.8%,53.2%,https://www.football-lab.jp/nago/report/?year=2024&month=11&date=09
H,鳥栖,L,0,3,1.609,0.86,16,8,4,4,0,0,616,321,28,11,18,11,1,3,6,2,18,12,11,7,21,6,15,36,3,0,3,1,0,1,0,0,50,30,12,11,"117,671m","123,580m",99,114,112,104,14.3%,7.7%,60.2%,39.8%,https://www.football-lab.jp/nago/report/?year=2024&month=11&date=30
A,横浜FM,W,2,0,1.086,0.481,10,9,3,1,0,0,247,657,18,12,17,14,1,3,3,6,14,25,7,20,40,13,34,20,3,2,3,1,0,1,0,0,26,36,10,17,"112,342m","111,834m",133,101,119,129,8.4%,7.0%,32.1%,67.9%,https://www.football-lab.jp/nago/report/?year=2024&month=12&date=08
