HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
A,川崎Ｆ,D,1,1,1.817,1.015,15,12,3,5,0,0,503,371,25,13,13,14,3,2,4,4,21,21,9,13,15,14,16,33,0,2,2,3,2,3,0,0,49,33,13,10,"112,748m","113,395m",132,142,118,117,12.7%,10.3%,51.7%,48.3%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=29
H,神戸,L,1,3,0.984,1.288,14,11,4,6,0,0,453,419,20,10,13,6,2,4,9,4,24,18,2,10,13,15,16,37,1,5,4,2,0,2,0,0,39,26,14,8,"105,766m","110,069m",106,100,117,110,12.0%,10.0%,48.3%,51.7%,https://www.football-lab.jp/hiro/report/?year=2024&month=07&date=05
H,福岡,W,1,0,1.062,0.847,13,15,2,2,0,0,442,449,15,9,11,16,1,0,5,3,25,25,6,11,12,11,18,17,2,5,0,1,1,2,0,0,32,38,11,8,"108,277m","112,373m",96,121,128,137,10.2%,10.9%,46.7%,53.3%,https://www.football-lab.jp/hiro/report/?year=2024&month=07&date=14
A,鳥栖,W,4,1,2.732,1.46,25,17,10,5,0,0,364,432,25,15,13,5,1,1,9,9,19,19,12,14,13,8,26,30,3,0,1,1,0,2,0,0,46,45,25,11,"108,812m","109,630m",94,91,112,105,22.3%,16.2%,46.8%,53.2%,https://www.football-lab.jp/hiro/report/?year=2024&month=07&date=21
A,東京Ｖ,W,1,0,0.863,1.138,11,16,4,8,0,0,581,431,17,7,6,22,0,3,7,3,27,17,5,9,18,16,14,35,0,3,3,0,1,0,0,0,42,31,8,8,"108,437m","113,394m",107,113,122,111,9.0%,14.4%,55%,45%,https://www.football-lab.jp/hiro/report/?year=2024&month=08&date=07
H,Ｃ大阪,W,2,0,1.334,0.576,16,8,4,1,0,0,471,497,19,13,7,17,1,3,4,1,17,25,10,4,19,14,20,22,1,0,3,1,2,1,0,0,42,32,17,16,"109,354m","107,708m",101,85,106,117,15.1%,6.8%,47%,53%,https://www.football-lab.jp/hiro/report/?year=2024&month=08&date=11
A,名古屋,W,2,1,1.539,0.603,18,6,7,1,0,0,483,437,16,15,15,18,1,3,5,3,27,18,7,3,12,11,19,26,3,3,2,0,1,1,0,0,38,24,14,7,"110,131m","112,116m",104,89,120,112,15.0%,5.4%,55.6%,44.4%,https://www.football-lab.jp/hiro/report/?year=2024&month=08&date=17
H,柏,W,2,0,1.317,0.67,18,9,3,3,0,0,512,368,18,17,15,4,0,3,1,3,18,21,5,16,21,17,17,23,1,3,3,0,0,1,0,1,42,41,15,17,"109,170m","110,342m",116,138,111,115,16.2%,7.8%,54.8%,45.2%,https://www.football-lab.jp/hiro/report/?year=2024&month=08&date=25
H,FC東京,W,3,2,2.076,0.932,19,9,6,3,1,0,388,458,13,20,16,17,0,0,6,5,9,22,5,16,26,14,23,16,2,2,0,0,2,0,0,0,35,43,11,15,"108,295m","108,096m",106,132,115,118,16.5%,7.6%,45%,55%,https://www.football-lab.jp/hiro/report/?year=2024&month=08&date=31
A,鹿島,D,2,2,2.481,0.926,20,13,9,3,0,0,351,506,25,12,10,7,0,1,6,3,26,15,11,8,17,15,14,27,1,4,1,0,1,3,0,0,30,37,16,9,"111,429m","113,676m",103,116,119,107,16.8%,12.1%,41.7%,58.3%,https://www.football-lab.jp/hiro/report/?year=2024&month=09&date=14
H,横浜FM,W,6,2,2.098,1.519,22,14,10,5,0,0,352,609,24,7,7,12,1,6,7,4,14,12,12,7,14,8,11,18,2,2,6,1,0,0,0,0,51,42,21,9,"110,667m","108,878m",103,106,116,113,19.0%,12.4%,38.2%,61.8%,https://www.football-lab.jp/hiro/report/?year=2024&month=09&date=22
H,町田,W,2,0,1.19,1.048,11,6,5,2,0,0,428,379,13,10,21,7,2,0,1,3,28,23,7,10,14,15,22,17,2,2,0,2,1,3,0,0,34,32,14,9,"108,533m","113,316m",96,100,122,112,9.0%,5.4%,51%,49%,https://www.football-lab.jp/hiro/report/?year=2024&month=09&date=28
A,磐田,W,2,1,2.456,1.364,23,8,6,3,0,0,483,271,24,15,18,12,0,0,11,2,16,11,19,9,6,19,18,46,1,0,0,0,1,2,0,0,60,20,20,7,"105,198m","106,171m",121,134,120,106,19.2%,7.5%,59.6%,40.4%,https://www.football-lab.jp/hiro/report/?year=2024&month=10&date=06
A,湘南,L,1,2,1.07,1.429,18,13,4,3,0,0,482,366,18,7,12,12,1,3,9,3,25,20,13,9,16,19,6,29,1,2,3,0,0,1,0,0,44,26,15,9,"109,464m","116,684m",123,128,118,109,15.3%,11.9%,53%,47%,https://www.football-lab.jp/hiro/report/?year=2024&month=10&date=19
H,京都,L,0,1,1.988,1.295,19,13,6,7,0,0,430,258,27,16,14,10,1,1,7,4,35,20,9,9,16,19,26,35,0,0,1,1,2,2,0,0,43,27,20,13,"108,441m","112,370m",122,143,125,116,15.2%,11.2%,56.3%,43.7%,https://www.football-lab.jp/hiro/report/?year=2024&month=11&date=03
A,浦和,L,0,3,3.109,1.088,29,12,5,7,0,0,512,317,32,11,14,7,1,1,13,1,29,15,17,12,15,18,12,67,3,1,1,1,1,0,0,0,53,21,26,13,"111,575m","116,526m",120,138,133,107,21.8%,11.2%,56.3%,43.7%,https://www.football-lab.jp/hiro/report/?year=2024&month=11&date=10
H,札幌,W,5,1,2.801,0.752,21,6,11,3,1,0,408,478,16,12,14,17,0,5,6,1,21,14,17,15,24,15,23,25,0,3,5,0,0,2,0,0,43,38,11,10,"110,427m","108,470m",131,106,127,116,16.5%,5.2%,46.1%,53.9%,https://www.football-lab.jp/hiro/report/?year=2024&month=12&date=01
A,Ｇ大阪,L,1,3,2.117,2.23,19,12,4,6,0,0,420,388,21,9,12,15,1,2,10,3,19,11,12,16,17,17,16,36,4,2,2,1,0,2,0,0,30,34,16,13,"109,050m","111,633m",102,102,130,122,14.6%,9.8%,48.3%,51.7%,https://www.football-lab.jp/hiro/report/?year=2024&month=12&date=08
