HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,Ｇ大阪,W,1,0,0.698,0.506,11,7,3,1,0,0,238,652,10,15,15,19,0,1,3,6,10,24,9,13,26,9,36,16,1,0,1,0,2,0,0,1,20,68,4,12,"116,120m","110,629m",130,103,92,111,12.0%,6.3%,32.2%,67.8%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=03
H,川崎Ｆ,D,1,1,1.048,0.863,11,10,5,3,0,0,312,594,18,15,7,14,0,1,6,6,18,16,18,16,23,18,34,19,6,2,0,0,0,1,0,0,37,50,9,16,"113,277m","110,696m",125,134,99,115,11.1%,8.7%,37.6%,62.4%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=06
A,京都,W,3,2,1.659,1.622,10,14,6,2,0,0,242,376,7,25,14,20,0,2,1,11,19,21,8,15,14,14,26,14,0,1,2,0,4,0,0,0,9,26,8,7,"105,141m","106,723m",104,127,117,131,8.5%,10.7%,41.8%,58.2%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=11
A,神戸,L,0,1,1.069,1.727,18,14,4,1,0,0,335,480,15,22,7,9,1,2,6,6,25,30,12,10,20,15,34,28,1,2,2,1,1,0,0,0,28,33,6,15,"109,581m","111,893m",124,126,117,119,15.4%,11.8%,43.8%,56.2%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=15
H,Ｃ大阪,L,0,3,0.679,1.92,10,15,1,8,0,0,381,433,17,11,15,17,0,0,3,4,10,23,10,8,15,12,23,27,2,2,0,0,6,1,1,0,39,31,11,8,"107,621m","110,716m",115,103,116,119,8.6%,12.6%,47.9%,52.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=18
A,新潟,W,2,1,0.354,0.896,7,10,3,2,0,0,258,778,12,16,6,12,0,2,5,6,12,22,10,14,18,8,26,16,6,1,3,0,2,0,0,0,28,52,5,12,"118,601m","115,404m",128,81,85,102,8.2%,9.8%,29.5%,70.5%,https://www.football-lab.jp/fuku/report/?year=2024&month=05&date=25
A,柏,W,2,0,0.454,1.742,5,23,2,4,0,0,312,449,13,21,10,9,0,2,3,7,37,40,10,10,16,10,33,22,1,1,2,0,0,1,0,0,23,40,5,17,"114,271m","112,151m",116,112,145,144,3.4%,16.0%,46.2%,53.8%,https://www.football-lab.jp/fuku/report/?year=2024&month=06&date=02
H,鳥栖,W,2,0,1.03,0.579,16,7,4,1,0,0,326,573,21,11,7,15,0,0,4,3,18,22,15,6,12,13,19,25,1,2,0,0,2,1,0,0,30,40,13,4,"113,965m","111,247m",134,99,102,111,15.7%,6.3%,40.6%,59.4%,https://www.football-lab.jp/fuku/report/?year=2024&month=06&date=16
A,町田,D,0,0,0.589,0.923,8,10,2,1,0,0,313,420,18,12,9,17,0,1,4,5,23,26,16,13,12,12,32,14,2,1,1,0,1,0,0,0,28,27,11,7,"109,125m","110,207m",122,107,106,119,7.5%,8.4%,43%,57%,https://www.football-lab.jp/fuku/report/?year=2024&month=06&date=22
H,横浜FM,W,2,1,0.973,1.708,11,13,5,4,0,0,241,710,15,30,8,11,2,0,5,10,16,30,11,24,25,11,44,18,4,0,0,2,1,2,0,0,22,64,6,22,"119,680m","112,214m",139,96,101,118,10.9%,11.0%,34%,66%,https://www.football-lab.jp/fuku/report/?year=2024&month=06&date=26
A,FC東京,W,1,0,0.835,0.64,11,10,2,5,0,0,326,541,13,13,6,13,0,1,1,6,32,31,6,10,15,11,26,14,1,1,1,0,3,0,0,0,23,31,11,9,"106,183m","107,110m",115,118,107,119,10.3%,8.4%,44.7%,55.3%,https://www.football-lab.jp/fuku/report/?year=2024&month=06&date=30
H,京都,L,1,2,1.307,1.429,13,13,2,5,0,0,411,341,26,16,8,9,1,5,5,5,26,30,13,11,19,14,25,35,2,2,4,2,2,1,0,0,33,39,15,18,"115,515m","116,881m",120,99,130,136,10.0%,9.6%,52.4%,47.6%,https://www.football-lab.jp/fuku/report/?year=2024&month=07&date=07
A,広島,L,0,1,0.847,1.062,15,13,2,2,0,0,449,442,9,15,16,11,0,1,3,5,25,25,11,6,11,12,17,18,5,2,1,0,2,1,0,0,38,32,8,11,"112,373m","108,277m",121,96,137,128,10.9%,10.2%,53.3%,46.7%,https://www.football-lab.jp/fuku/report/?year=2024&month=07&date=14
H,東京Ｖ,L,0,1,0.518,1.029,8,16,2,5,0,0,463,414,11,8,13,20,2,1,0,6,23,13,10,5,13,16,19,29,0,3,1,2,0,1,0,0,41,25,6,12,"116,836m","116,947m",72,84,113,122,7.1%,13.1%,54.1%,45.9%,https://www.football-lab.jp/fuku/report/?year=2024&month=07&date=20
A,湘南,D,1,1,1.177,0.815,16,9,4,4,0,0,258,508,8,17,10,15,1,1,9,1,15,25,11,14,17,20,32,15,2,1,1,1,0,1,0,0,20,34,8,11,"111,488m","108,495m",102,94,110,115,14.5%,7.8%,39.3%,60.7%,https://www.football-lab.jp/fuku/report/?year=2024&month=08&date=07
A,札幌,D,2,2,2.295,1.556,14,9,7,3,1,1,230,627,10,11,11,14,2,0,3,2,15,26,10,11,19,11,20,15,2,1,0,2,1,1,0,0,23,41,11,10,"114,965m","111,635m",131,142,106,114,13.2%,7.9%,33.9%,66.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=08&date=10
H,新潟,L,0,1,0.547,1.296,7,17,1,5,0,0,276,633,9,15,11,15,1,2,2,5,16,11,11,15,17,11,25,22,2,3,2,1,0,0,0,0,27,45,6,15,"113,345m","110,337m",112,81,87,92,8.0%,18.5%,33.9%,66.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=08&date=17
A,Ｇ大阪,D,2,2,1.633,1.724,9,21,3,7,1,0,275,494,15,10,11,21,0,1,3,4,10,13,9,19,22,9,20,22,3,0,1,0,3,1,0,0,34,45,10,15,"110,118m","104,495m",102,69,92,105,9.8%,20.0%,37%,63%,https://www.football-lab.jp/fuku/report/?year=2024&month=08&date=24
H,神戸,L,0,2,1.119,2.101,14,15,4,7,0,1,324,399,15,17,9,15,1,4,3,4,24,20,12,12,10,18,23,23,1,0,4,0,1,0,0,0,33,37,11,12,"103,752m","106,127m",109,110,107,108,13.1%,13.9%,46.9%,53.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=09&date=01
H,町田,L,0,3,0.652,1.057,11,9,2,4,0,0,351,443,16,17,14,8,3,2,1,2,19,21,11,6,8,10,25,13,2,3,2,2,0,0,0,0,33,30,12,6,"110,631m","112,295m",102,96,112,116,9.8%,7.8%,46.2%,53.8%,https://www.football-lab.jp/fuku/report/?year=2024&month=09&date=14
A,磐田,D,0,0,0.253,0.949,6,10,2,3,0,0,347,294,14,14,10,12,3,2,4,7,15,27,7,7,15,14,19,16,2,1,2,3,3,1,0,0,29,22,6,2,"98,215m","98,429m",94,107,90,109,6.7%,9.2%,53.1%,46.9%,https://www.football-lab.jp/fuku/report/?year=2024&month=09&date=21
A,鳥栖,D,0,0,0.549,0.672,11,12,3,5,0,0,345,379,17,16,11,10,0,1,5,4,23,21,12,12,16,13,17,31,1,0,1,0,3,1,0,0,38,21,11,8,"107,279m","112,409m",115,112,111,105,9.9%,11.4%,47.9%,52.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=09&date=28
H,名古屋,W,1,0,0.955,1.346,14,14,2,4,0,0,385,456,16,17,10,14,2,3,1,4,19,22,12,4,14,16,29,26,3,2,2,2,0,2,0,0,31,38,9,14,"114,299m","113,301m",134,107,115,116,12.2%,12.1%,49.5%,50.5%,https://www.football-lab.jp/fuku/report/?year=2024&month=10&date=04
A,鹿島,D,0,0,0.62,0.781,9,8,1,2,0,0,290,463,21,11,8,17,3,1,3,5,15,20,14,7,24,12,14,21,1,0,1,3,4,1,0,0,34,32,16,6,"102,139m","104,196m",85,89,94,104,9.6%,7.7%,43.8%,56.2%,https://www.football-lab.jp/fuku/report/?year=2024&month=10&date=19
H,柏,W,2,1,0.829,0.86,10,10,4,4,0,0,369,441,6,14,13,14,1,4,1,2,19,24,10,12,15,10,22,13,3,0,4,1,0,2,0,0,28,33,6,14,"110,975m","113,765m",105,137,119,120,8.4%,8.3%,47.8%,52.2%,https://www.football-lab.jp/fuku/report/?year=2024&month=11&date=03
A,Ｃ大阪,L,0,1,0.866,1.946,12,21,1,6,0,0,410,499,20,20,8,13,0,0,2,7,17,20,15,14,19,11,32,20,2,1,0,0,1,3,0,0,37,33,12,17,"120,423m","121,413m",157,136,111,111,10.8%,18.9%,47.6%,52.4%,https://www.football-lab.jp/fuku/report/?year=2024&month=11&date=09
H,浦和,W,1,0,0.844,1.124,13,14,5,4,0,0,253,758,6,15,8,16,1,1,4,1,22,23,9,12,18,14,19,18,1,0,1,1,2,0,0,0,25,47,11,14,"114,911m","113,281m",133,150,111,121,11.7%,11.6%,32.2%,67.8%,https://www.football-lab.jp/fuku/report/?year=2024&month=11&date=30
A,川崎Ｆ,L,1,3,1.387,1.758,12,15,2,7,0,0,371,589,15,13,6,11,1,2,5,9,17,20,12,8,19,21,23,23,3,3,2,1,1,1,0,0,34,41,16,9,"113,921m","112,731m",120,109,107,117,11.2%,12.8%,41.6%,58.4%,https://www.football-lab.jp/fuku/report/?year=2024&month=12&date=08
