HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_ゴール期待値,Opponent_ゴール期待値,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,東京Ｖ,L,2,3,1.988,0.577,24,7,7,5,0,0,648,266,35,3,8,7,1,2,9,0,33,6,15,4,13,17,10,59,1,3,2,1,1,0,0,0,69,16,21,3,"111,590m","113,247m",117,103,119,89,20.2%,7.9%,65.4%,34.6%,https://www.football-lab.jp/kasw/report/?year=2024&month=08&date=31
H,磐田,L,0,2,0.863,0.841,13,8,4,5,0,0,537,242,25,10,17,9,1,0,8,2,31,16,11,9,13,22,16,52,0,1,0,1,1,1,0,0,61,11,13,7,"108,388m","106,622m",94,90,118,100,11.0%,8.0%,60.8%,39.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=09&date=14
A,鹿島,D,0,0,0.388,0.658,9,10,3,3,0,0,388,515,14,11,10,13,4,1,3,3,20,21,12,14,12,21,21,16,1,2,1,4,3,0,0,0,41,28,12,8,"114,711m","112,766m",131,108,102,111,8.8%,9.0%,47.2%,52.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=09&date=21
A,Ｃ大阪,D,0,0,0.354,0.767,6,11,5,1,0,0,368,434,11,13,6,18,1,1,4,9,27,16,8,9,15,16,26,19,3,1,1,1,4,0,0,0,26,41,7,3,"109,318m","111,686m",105,99,106,118,5.7%,9.3%,46.9%,53.1%,https://www.football-lab.jp/kasw/report/?year=2024&month=09&date=28
H,横浜FM,W,1,0,1.104,0.641,16,10,5,3,0,0,311,664,10,14,4,12,3,2,8,6,18,27,5,16,16,14,27,11,5,1,2,3,0,2,0,0,39,31,16,8,"116,693m","110,926m",144,99,101,107,15.8%,9.3%,35.8%,64.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=10&date=05
H,町田,D,1,1,1.255,2.549,12,14,4,5,0,1,313,286,18,17,9,8,1,0,12,5,23,17,9,17,10,14,30,22,2,1,0,1,0,2,0,0,32,24,12,15,"112,062m","112,528m",153,150,109,102,11.0%,13.7%,52.5%,47.5%,https://www.football-lab.jp/kasw/report/?year=2024&month=10&date=19
A,浦和,L,0,1,0.898,1.931,10,12,3,5,0,1,388,564,14,11,16,7,1,0,4,2,16,30,18,9,10,17,24,23,2,0,0,1,0,2,0,0,31,33,14,6,"119,292m","119,132m",116,122,107,108,9.3%,11.1%,42.7%,57.3%,https://www.football-lab.jp/kasw/report/?year=2024&month=10&date=23
A,福岡,L,1,2,0.86,0.829,10,10,4,4,0,0,441,369,14,6,14,13,4,1,2,1,24,19,12,10,10,15,13,22,0,3,1,4,2,0,0,0,33,28,14,6,"113,765m","110,975m",137,105,120,119,8.3%,8.4%,52.2%,47.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=11&date=03
H,新潟,D,1,1,0.818,0.914,7,11,4,1,0,0,279,724,12,15,4,7,1,0,3,2,20,42,10,11,19,15,18,18,4,2,0,1,0,1,0,0,35,40,13,10,"121,182m","116,079m",135,114,105,116,6.7%,9.5%,33.3%,66.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=11&date=09
H,神戸,D,1,1,1.106,2.302,11,13,2,4,0,1,216,515,7,21,12,15,1,2,5,5,19,23,8,15,19,17,29,15,0,0,2,1,3,1,1,0,18,30,7,11,"116,904m","116,911m",147,126,104,124,10.6%,10.5%,33.6%,66.4%,https://www.football-lab.jp/kasw/report/?year=2024&month=11&date=30
A,札幌,L,0,1,0.967,1.171,12,10,2,3,0,0,352,493,13,14,12,13,1,0,2,8,13,21,13,10,18,20,30,12,0,1,0,1,1,1,0,0,33,27,13,15,"115,566m","112,773m",138,134,114,140,10.5%,7.1%,45.4%,54.6%,https://www.football-lab.jp/kasw/report/?year=2024&month=12&date=08
