HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,甲府,D,2,2,20,12,6,6,0,0,599,484,28,22,15,8,1,1,6,4,25,16,16,15,16,21,29,33,1,1,0,1,1,0,0,0,58,38,22,13,"115,308m","116,283m",144,143,120,116,16.7%,10.3%,53.4%,46.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=05&date=08
A,鹿島,L,0,1,11,12,4,4,0,0,464,407,17,11,16,15,1,3,3,4,35,31,20,16,38,25,15,41,6,2,4,1,2,2,0,0,36,37,14,10,"112,203m","112,266m",167,178,148,140,7.4%,8.6%,54.6%,45.4%,https://www.football-lab.jp/y-fm/report/?year=2016&month=05&date=14
A,神戸,W,1,0,7,8,3,1,0,0,429,550,13,16,14,11,3,5,0,1,19,23,10,15,23,25,15,18,0,1,4,3,1,1,0,0,31,48,10,6,"110,896m","108,609m",115,117,127,121,5.5%,6.6%,43.9%,56.1%,https://www.football-lab.jp/y-fm/report/?year=2016&month=05&date=21
H,柏,W,3,0,10,15,5,2,0,0,410,608,15,20,10,12,3,2,5,7,23,15,8,17,23,15,16,27,1,2,2,3,2,2,0,0,37,51,12,14,"107,113m","108,131m",107,113,118,102,8.5%,14.7%,43.7%,56.3%,https://www.football-lab.jp/y-fm/report/?year=2016&month=05&date=29
H,川崎Ｆ,L,0,2,13,15,3,5,0,1,520,681,9,11,10,19,1,1,7,3,16,13,13,13,28,18,13,29,2,1,1,1,2,0,0,0,44,42,13,14,"112,766m","108,737m",134,154,109,110,11.9%,13.6%,49%,51%,https://www.football-lab.jp/y-fm/report/?year=2016&month=06&date=11
A,大宮,D,1,1,16,8,8,3,0,0,629,401,20,6,15,5,3,4,9,1,27,21,25,7,17,31,9,51,7,3,4,3,0,2,0,0,53,28,14,8,"114,935m","111,048m",132,164,127,108,12.6%,7.4%,57.5%,42.5%,https://www.football-lab.jp/y-fm/report/?year=2016&month=06&date=18
H,FC東京,L,0,1,21,10,5,3,0,0,575,448,9,15,18,9,2,2,4,4,23,19,16,12,23,14,26,16,3,1,2,2,2,2,0,0,45,38,16,8,"108,712m","109,550m",126,127,131,125,16.0%,8.0%,56.4%,43.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=06&date=25
A,湘南,W,3,0,13,24,6,3,0,0,336,424,13,16,14,19,0,2,6,7,17,23,15,10,20,19,26,15,1,2,2,0,1,0,0,0,30,51,15,21,"110,685m","112,380m",152,161,121,128,10.7%,18.8%,46.4%,53.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=02
H,福岡,W,3,0,15,13,5,2,0,0,386,512,8,18,10,7,1,1,6,8,12,26,14,17,20,13,38,20,6,3,1,1,0,3,0,0,32,40,17,17,"110,439m","109,731m",151,138,116,119,12.9%,10.9%,45.7%,54.3%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=09
H,神戸,W,3,2,13,12,6,3,1,0,472,454,23,9,18,7,3,4,4,2,32,15,20,7,23,31,9,15,2,2,4,3,1,4,0,0,49,36,19,11,"113,156m","108,859m",194,148,133,114,9.8%,10.5%,49.4%,50.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=13
A,広島,D,2,2,17,14,8,5,0,0,453,621,8,26,7,10,1,1,9,3,11,12,21,20,21,20,28,10,6,2,1,1,1,1,0,0,34,60,15,19,"109,757m","107,972m",131,131,103,100,16.5%,14.0%,42.3%,57.7%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=17
H,磐田,D,1,1,19,19,3,5,0,0,528,417,27,15,12,10,1,3,7,5,20,14,16,13,20,18,23,32,4,3,3,1,0,1,0,0,64,38,24,12,"111,305m","115,703m",173,172,122,114,15.6%,16.7%,54.4%,45.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=23
H,名古屋,D,0,0,19,10,3,1,0,0,574,322,15,12,16,11,0,1,7,2,28,18,14,11,12,21,14,24,0,0,1,0,0,2,0,0,59,28,18,8,"106,547m","106,640m",152,159,118,105,16.1%,9.5%,59.4%,40.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=07&date=30
A,柏,W,2,1,16,16,4,4,0,0,353,525,8,16,13,14,2,6,3,6,24,20,18,11,8,13,22,15,3,4,5,1,2,0,0,0,28,37,10,14,"104,690m","105,147m",95,109,117,116,13.7%,13.8%,43.1%,56.9%,https://www.football-lab.jp/y-fm/report/?year=2016&month=08&date=06
H,大宮,D,1,1,11,13,3,3,0,0,500,370,26,14,14,12,1,2,11,1,32,16,26,14,20,31,12,38,2,1,2,1,3,2,1,0,49,39,17,12,"110,606m","108,464m",187,194,126,105,8.7%,12.4%,54.8%,45.2%,https://www.football-lab.jp/y-fm/report/?year=2016&month=08&date=13
A,FC東京,L,0,1,14,8,4,5,0,0,626,429,13,13,14,14,0,3,7,4,18,19,27,13,14,26,24,31,4,2,3,0,2,4,0,0,45,35,7,8,"109,025m","112,712m",119,121,107,108,13.1%,7.4%,58.9%,41.1%,https://www.football-lab.jp/y-fm/report/?year=2016&month=08&date=20
H,鹿島,D,2,2,16,19,4,8,0,0,334,530,6,17,21,17,2,2,3,8,17,17,13,11,19,25,21,18,2,4,2,1,3,2,0,0,26,56,9,20,"112,602m","108,907m",175,197,127,133,12.6%,14.3%,43.4%,56.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=08&date=27
A,仙台,W,1,0,14,18,3,1,0,0,527,478,10,15,18,11,2,1,2,4,27,13,12,17,23,31,19,14,4,3,1,2,4,3,0,0,46,43,15,17,"110,327m","110,076m",146,170,127,116,11.0%,15.5%,50.7%,49.3%,https://www.football-lab.jp/y-fm/report/?year=2016&month=09&date=10
H,新潟,W,3,1,9,14,5,7,0,0,518,491,15,12,11,16,2,4,3,4,19,23,12,13,29,16,18,16,1,2,4,2,1,1,0,0,40,52,10,14,"111,042m","115,804m",127,122,111,108,8.1%,13.0%,52.1%,47.9%,https://www.football-lab.jp/y-fm/report/?year=2016&month=09&date=17
A,川崎Ｆ,L,2,3,11,22,5,10,0,0,483,644,11,12,22,9,0,6,6,7,12,14,22,12,13,18,19,24,4,1,6,0,0,1,0,0,28,51,13,23,"113,484m","111,171m",156,154,121,107,9.1%,20.6%,48%,52%,https://www.football-lab.jp/y-fm/report/?year=2016&month=09&date=25
A,甲府,W,4,0,18,16,10,4,0,0,656,392,12,19,9,9,1,0,9,4,20,29,14,15,14,22,24,14,5,3,0,1,1,0,0,0,46,40,21,13,"118,711m","115,207m",166,160,106,114,17.0%,14.0%,56.9%,43.1%,https://www.football-lab.jp/y-fm/report/?year=2016&month=10&date=01
H,Ｇ大阪,D,2,2,13,9,2,3,0,0,536,528,11,14,22,10,0,3,7,4,23,15,18,12,24,34,14,24,4,3,3,0,1,2,0,0,40,48,15,8,"119,941m","119,694m",193,192,133,123,9.8%,7.3%,50.7%,49.3%,https://www.football-lab.jp/y-fm/report/?year=2016&month=10&date=22
A,鳥栖,D,2,2,13,11,5,4,0,0,617,429,19,12,9,12,0,2,5,0,15,21,26,7,13,24,14,24,6,3,2,0,0,0,0,0,50,29,21,10,"121,692m","126,672m",175,203,120,114,10.8%,9.6%,56.6%,43.4%,https://www.football-lab.jp/y-fm/report/?year=2016&month=10&date=29
A,浦和,D,1,1,8,18,4,7,0,0,466,580,6,24,24,12,1,1,1,6,13,21,12,24,28,28,23,9,2,5,1,1,1,1,0,0,22,61,6,25,"112,172m","111,715m",138,156,125,117,6.4%,15.4%,46.6%,53.4%,https://www.football-lab.jp/y-fm/report/?year=2016&month=11&date=03
