HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,fctk_シュート,Opponent_シュート,fctk_枠内シュート,Opponent_枠内シュート,fctk_PKによるシュート,Opponent_PKによるシュート,fctk_パス,Opponent_パス,fctk_クロス,Opponent_クロス,fctk_直接ＦＫ,Opponent_直接ＦＫ,fctk_間接ＦＫ,Opponent_間接ＦＫ,fctk_ＣＫ,Opponent_ＣＫ,fctk_スローイン,Opponent_スローイン,fctk_ドリブル,Opponent_ドリブル,fctk_タックル,Opponent_タックル,fctk_クリア,Opponent_クリア,fctk_インターセプト,Opponent_インターセプト,fctk_オフサイド,Opponent_オフサイド,fctk_警告,Opponent_警告,fctk_退場,Opponent_退場,fctk_３０ｍライン進入,Opponent_３０ｍライン進入,fctk_ペナルティエリア進入,Opponent_ペナルティエリア進入,fctk_総移動距離,Opponent_総移動距離,fctk_スプリント,Opponent_スプリント,fctk_攻撃回数,Opponent_攻撃回数,fctk_チャンス構築率,Opponent_チャンス構築率,fctk_ボール保持率,Opponent_ボール保持率,URL
A,浦和,L,2,3,12,21,6,8,0,0,250,691,3,29,13,11,2,2,4,8,21,29,10,22,17,18,26,10,4,1,1,2,0,3,0,0,24,79,6,26,"114,602m","114,101m",145,154,116,120,10.3%,17.5%,30.4%,69.6%,https://www.football-lab.jp/fctk/report/?year=2016&month=06&date=22
A,横浜FM,W,1,0,10,21,3,5,0,0,448,575,15,9,9,18,2,2,4,4,19,23,12,16,14,23,16,26,1,3,2,2,2,2,0,0,38,45,8,16,"109,550m","108,712m",127,126,125,131,8.0%,16.0%,43.6%,56.4%,https://www.football-lab.jp/fctk/report/?year=2016&month=06&date=25
A,鳥栖,L,2,3,7,10,4,4,0,0,433,542,5,19,11,9,1,8,1,7,22,30,5,8,22,13,23,8,1,3,8,1,0,0,0,0,27,43,5,14,"112,005m","118,066m",122,134,117,131,6.0%,7.6%,42.7%,57.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=02
H,甲府,W,1,0,9,9,2,2,0,0,577,471,17,12,10,16,2,2,4,3,26,20,22,8,18,26,18,20,3,3,2,2,2,2,0,0,62,31,15,4,"114,048m","116,303m",133,148,109,110,8.3%,8.2%,52.8%,47.2%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=09
A,福岡,L,1,2,12,17,7,6,0,0,478,423,16,18,12,7,1,2,5,9,21,23,13,11,13,17,23,26,3,2,2,1,0,0,0,0,36,30,11,15,"108,948m","111,105m",125,136,126,123,9.5%,13.8%,49.8%,50.2%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=13
H,柏,L,0,1,14,6,5,1,0,0,513,445,27,9,13,11,0,11,10,1,22,23,15,8,18,18,17,39,4,0,11,0,2,3,0,0,58,37,17,5,"112,663m","113,788m",166,138,137,130,10.2%,4.6%,50.4%,49.6%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=17
A,川崎Ｆ,L,0,1,10,26,2,7,0,0,482,743,8,15,10,8,0,1,5,10,14,19,10,6,19,17,27,16,3,0,1,0,2,1,0,0,40,58,12,26,"110,204m","110,640m",115,108,103,107,9.7%,24.3%,45%,55%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=23
A,新潟,W,1,0,10,12,2,0,0,0,372,515,10,18,12,15,1,2,4,5,24,35,7,13,30,20,20,10,5,3,2,1,4,2,0,0,29,57,9,14,"109,947m","110,454m",110,112,123,130,8.1%,9.2%,42.2%,57.8%,https://www.football-lab.jp/fctk/report/?year=2016&month=07&date=30
H,磐田,W,3,2,13,15,6,5,1,0,553,459,10,11,11,12,5,7,5,1,16,17,12,5,16,25,12,12,0,1,7,5,1,4,0,0,45,42,16,8,"116,483m","113,880m",152,150,132,121,9.8%,12.4%,53.7%,46.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=08&date=06
A,神戸,L,1,4,10,13,6,5,0,0,431,539,14,15,20,12,1,1,3,6,21,16,12,10,18,27,21,15,5,4,1,1,0,1,0,0,41,42,14,13,"107,960m","104,068m",124,114,134,126,7.5%,10.3%,43%,57%,https://www.football-lab.jp/fctk/report/?year=2016&month=08&date=13
H,横浜FM,W,1,0,8,14,5,4,0,0,429,626,13,13,14,14,3,0,4,7,19,18,13,27,26,14,31,24,2,4,0,3,4,2,0,0,35,45,8,7,"112,712m","109,025m",121,119,108,107,7.4%,13.1%,41.1%,58.9%,https://www.football-lab.jp/fctk/report/?year=2016&month=08&date=20
A,名古屋,D,1,1,13,11,4,3,0,0,483,484,19,17,12,11,1,0,7,4,18,12,14,11,22,18,12,34,4,3,0,1,0,3,0,0,58,39,14,13,"107,720m","102,653m",143,123,106,101,12.3%,10.9%,47.3%,52.7%,https://www.football-lab.jp/fctk/report/?year=2016&month=08&date=27
H,湘南,W,3,0,11,20,5,2,0,0,457,462,15,22,11,16,2,2,2,7,15,24,11,12,22,20,28,16,1,7,2,2,2,1,0,0,45,46,13,21,"115,033m","117,421m",155,159,128,143,8.6%,14.0%,50.4%,49.6%,https://www.football-lab.jp/fctk/report/?year=2016&month=09&date=10
H,浦和,L,1,3,9,20,3,5,1,0,286,555,12,20,6,15,1,6,4,3,16,15,12,18,19,19,24,26,3,5,6,1,2,2,0,0,23,51,12,19,"110,518m","111,048m",155,130,115,113,7.8%,17.7%,38.6%,61.4%,https://www.football-lab.jp/fctk/report/?year=2016&month=09&date=17
A,Ｇ大阪,D,3,3,21,12,7,7,0,0,631,423,23,10,13,14,3,2,5,1,36,17,16,13,17,30,16,28,3,4,2,3,1,1,0,0,76,38,18,11,"114,178m","114,659m",124,139,146,129,14.4%,9.3%,56.6%,43.4%,https://www.football-lab.jp/fctk/report/?year=2016&month=09&date=25
A,広島,W,1,0,10,23,5,4,0,0,515,586,12,17,11,10,4,5,6,4,17,22,17,22,12,21,20,20,4,2,5,4,0,1,0,0,56,44,15,16,"117,176m","107,971m",178,138,107,101,9.3%,22.8%,46%,54%,https://www.football-lab.jp/fctk/report/?year=2016&month=10&date=01
H,鹿島,W,2,1,12,10,7,2,0,0,449,436,17,23,26,17,1,1,6,5,18,28,16,12,22,25,31,20,5,5,1,1,1,2,0,0,48,42,14,14,"115,591m","109,059m",218,207,151,147,7.9%,6.8%,51.9%,48.1%,https://www.football-lab.jp/fctk/report/?year=2016&month=10&date=22
H,仙台,W,1,0,12,7,5,3,0,0,373,541,22,13,6,16,4,3,5,2,25,35,14,12,18,16,31,26,3,1,2,4,2,1,0,0,44,41,22,14,"114,807m","112,760m",165,152,119,133,10.1%,5.3%,43.8%,56.2%,https://www.football-lab.jp/fctk/report/?year=2016&month=10&date=29
A,大宮,W,1,0,10,16,2,4,0,0,375,556,13,20,13,18,3,3,5,5,25,23,17,20,24,24,24,25,0,1,3,3,1,1,0,0,41,51,11,16,"113,782m","106,350m",158,131,129,133,7.8%,12.0%,42.7%,57.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=11&date=03
