HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,名古屋,D,3,3,17,13,7,4,0,0,655,354,24,12,15,8,1,4,6,5,27,12,15,6,14,17,9,35,4,4,4,1,0,1,0,0,63,29,20,12,"114,248m","112,009m",172,171,118,103,14.4%,12.6%,61%,39%,https://www.football-lab.jp/g-os/report/?year=2016&month=06&date=25
A,鹿島,W,3,1,13,16,6,3,0,0,417,473,7,19,14,4,1,1,6,4,26,25,12,15,20,32,24,24,5,1,1,1,1,2,0,0,31,57,12,19,"110,197m","106,021m",133,158,130,115,10.0%,13.9%,47.8%,52.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=02
H,仙台,W,3,1,15,13,8,3,0,0,396,571,11,13,11,8,2,3,4,8,19,20,5,16,23,15,30,19,1,2,3,2,1,1,0,0,32,53,15,9,"112,618m","112,648m",161,157,106,105,14.2%,12.4%,43.4%,56.6%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=09
A,大宮,D,0,0,13,19,4,4,0,0,500,392,16,20,10,13,0,2,4,7,15,21,13,16,12,15,21,21,5,3,3,0,1,1,0,0,43,41,16,13,"109,024m","106,081m",184,161,105,113,12.4%,16.8%,53.2%,46.8%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=13
H,福岡,D,0,0,21,11,4,4,0,0,598,349,25,8,15,11,1,3,5,6,25,16,15,5,13,24,14,23,2,6,3,0,2,0,0,0,62,29,23,8,"108,662m","109,487m",175,135,127,113,16.5%,9.7%,59.2%,40.8%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=17
A,柏,L,2,3,8,11,3,4,0,0,496,515,18,19,13,10,1,3,4,2,28,27,14,16,29,18,16,29,2,3,3,1,3,1,0,0,47,54,8,15,"115,210m","116,186m",144,157,122,121,6.6%,9.1%,50.5%,49.5%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=23
H,広島,W,1,0,8,16,3,5,0,0,540,635,14,17,8,13,0,2,3,2,8,15,9,19,22,20,13,9,0,0,2,0,1,0,0,0,51,50,10,10,"111,464m","106,345m",151,112,103,107,7.8%,15.0%,47.8%,52.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=07&date=30
H,鳥栖,W,2,1,7,16,3,3,0,1,594,416,14,11,9,7,1,2,3,4,20,22,8,13,17,16,11,17,3,6,2,1,0,2,0,0,55,34,12,11,"107,237m","109,979m",110,102,107,109,6.5%,14.7%,58.1%,41.9%,https://www.football-lab.jp/g-os/report/?year=2016&month=08&date=06
A,磐田,W,2,0,14,18,6,6,0,0,485,517,15,25,11,8,1,9,4,8,18,18,11,11,17,20,21,14,3,6,9,1,0,0,0,0,42,54,23,19,"109,556m","115,031m",154,157,107,110,13.1%,16.4%,49.8%,50.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=08&date=13
H,神戸,L,0,1,13,18,6,6,1,0,609,417,17,13,18,12,0,0,6,7,20,10,13,9,19,26,14,25,3,1,0,0,3,3,0,0,52,51,11,16,"104,664m","99,684m",132,114,115,101,11.3%,17.8%,57.3%,42.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=08&date=20
A,湘南,W,2,1,10,11,4,4,0,0,542,431,17,18,12,11,3,3,6,4,21,30,17,9,24,18,25,22,6,1,3,3,1,0,0,0,49,46,13,13,"111,046m","111,654m",177,217,129,123,7.8%,8.9%,54.3%,45.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=08&date=27
H,甲府,W,2,1,15,11,9,6,0,0,577,496,19,11,11,13,1,3,4,4,21,18,17,13,27,27,16,18,3,5,3,1,1,2,0,0,59,30,20,11,"110,052m","111,114m",137,114,111,114,13.5%,9.6%,51.8%,48.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=09&date=10
A,名古屋,W,3,1,12,11,4,4,0,0,598,455,14,32,10,10,3,1,2,4,14,19,8,7,12,27,21,17,2,1,1,3,1,0,0,0,45,50,14,18,"116,542m","110,045m",137,124,107,100,11.2%,11.0%,52.4%,47.6%,https://www.football-lab.jp/g-os/report/?year=2016&month=09&date=17
H,FC東京,D,3,3,12,21,7,7,0,0,423,631,10,23,14,13,2,3,1,5,17,36,13,16,30,17,28,16,4,3,3,2,1,1,0,0,38,76,11,18,"114,659m","114,178m",139,124,129,146,9.3%,14.4%,43.4%,56.6%,https://www.football-lab.jp/g-os/report/?year=2016&month=09&date=25
A,浦和,L,0,4,4,22,1,9,0,0,395,628,2,18,8,17,2,1,1,1,14,27,4,18,11,14,14,6,1,2,1,2,2,0,1,0,17,68,6,21,"110,760m","116,309m",152,166,119,129,3.4%,17.1%,42.3%,57.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=10&date=01
A,横浜FM,D,2,2,9,13,3,2,0,0,528,536,14,11,10,22,3,0,4,7,15,23,12,18,34,24,24,14,3,4,0,3,2,1,0,0,48,40,8,15,"119,694m","119,941m",192,193,123,133,7.3%,9.8%,49.3%,50.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=10&date=22
H,新潟,W,3,1,13,17,5,8,1,0,599,351,16,9,15,15,0,2,7,4,19,23,13,12,34,29,21,31,6,4,2,0,2,4,0,2,60,39,14,7,"115,763m","111,306m",171,146,132,122,9.8%,13.9%,60.1%,39.9%,https://www.football-lab.jp/g-os/report/?year=2016&month=10&date=29
A,川崎Ｆ,W,3,2,12,21,7,8,0,0,480,596,9,7,10,14,3,5,6,3,14,15,11,18,33,25,10,18,9,9,5,3,2,2,0,0,38,49,6,13,"112,999m","111,439m",168,166,130,131,9.2%,16.0%,46.6%,53.4%,https://www.football-lab.jp/g-os/report/?year=2016&month=11&date=03
