HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
H,川崎Ｆ,D,0,0,16,12,4,5,0,0,690,369,25,11,13,12,1,2,5,7,25,16,19,17,24,29,26,23,1,5,2,1,2,1,0,0,58,25,19,11,"108,594m","118,612m",140,136,121,123,13.2%,9.8%,61.1%,38.9%,https://www.football-lab.jp/niig/report/?year=2016&month=05&date=21
A,仙台,L,2,4,13,17,5,10,0,1,374,524,17,12,13,12,4,7,4,6,17,18,14,15,24,18,24,23,2,1,7,4,1,2,0,0,40,51,12,20,"117,294m","119,352m",180,150,133,131,9.8%,13.0%,45.3%,54.7%,https://www.football-lab.jp/niig/report/?year=2016&month=05&date=29
H,大宮,W,1,0,11,7,3,6,0,0,555,392,23,13,9,12,5,2,7,3,29,21,14,11,16,19,14,27,1,1,2,5,2,0,0,0,48,29,14,13,"112,145m","118,762m",138,157,121,120,9.1%,5.8%,56.7%,43.3%,https://www.football-lab.jp/niig/report/?year=2016&month=06&date=11
A,FC東京,D,1,1,16,5,7,1,0,0,495,389,19,9,16,8,1,4,6,2,51,20,19,13,17,28,22,45,1,1,3,1,0,3,0,0,51,37,15,11,"117,264m","119,500m",157,145,163,145,9.8%,3.4%,53%,47%,https://www.football-lab.jp/niig/report/?year=2016&month=06&date=18
H,鳥栖,W,1,0,5,15,1,3,0,0,345,591,19,18,7,9,0,3,4,5,20,23,11,17,27,25,16,22,2,0,3,0,1,0,0,0,36,59,12,14,"118,808m","117,152m",131,131,128,135,3.9%,11.1%,40.9%,59.1%,https://www.football-lab.jp/niig/report/?year=2016&month=06&date=25
A,柏,L,0,1,15,14,6,5,0,0,317,495,11,13,9,12,4,1,7,10,28,36,10,13,20,24,39,24,0,2,1,4,2,2,0,0,28,46,14,12,"111,629m","113,088m",143,159,117,125,12.8%,11.2%,41.9%,58.1%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=02
H,湘南,L,0,1,11,9,4,1,0,0,306,556,14,16,10,11,0,3,2,5,20,34,8,17,24,15,36,11,5,0,3,0,2,1,0,0,35,50,6,12,"120,081m","115,025m",175,129,124,131,8.9%,6.9%,40.4%,59.6%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=09
A,川崎Ｆ,L,2,3,21,12,10,3,0,0,658,424,21,9,12,8,4,2,8,3,15,11,14,7,15,19,9,20,0,0,2,4,2,1,0,0,63,38,19,8,"107,818m","114,375m",118,111,111,105,18.9%,11.4%,57.3%,42.7%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=13
H,仙台,L,1,2,13,10,4,4,0,1,337,522,11,18,18,8,2,3,4,6,23,24,10,10,22,16,24,12,1,1,3,2,1,3,0,0,29,47,5,9,"105,944m","108,732m",135,147,116,114,11.2%,8.8%,43.8%,56.2%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=17
A,大宮,W,2,1,9,22,4,10,0,0,458,537,15,13,11,7,2,3,5,4,26,24,12,14,23,18,25,24,7,8,2,2,1,2,0,0,35,44,15,19,"115,213m","118,962m",161,164,141,130,6.4%,16.9%,47.4%,52.6%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=23
H,FC東京,L,0,1,10,12,2,0,0,0,372,515,10,18,12,15,1,2,4,5,24,35,7,13,30,20,20,10,5,3,2,1,4,2,0,0,29,57,9,14,"109,947m","110,454m",110,112,123,130,8.1%,9.2%,42.2%,57.8%,https://www.football-lab.jp/niig/report/?year=2016&month=07&date=30
H,神戸,W,1,0,15,12,2,4,0,0,500,365,15,9,8,16,4,1,6,2,32,19,17,9,31,21,16,40,4,2,0,4,2,2,0,0,47,35,16,12,"107,434m","115,335m",158,171,117,108,12.8%,11.1%,57%,43%,https://www.football-lab.jp/niig/report/?year=2016&month=08&date=06
A,甲府,L,0,1,10,6,3,0,1,0,335,636,7,8,13,18,0,2,4,2,19,28,7,15,23,12,28,11,6,4,2,0,0,3,0,0,22,52,7,5,"106,860m","112,924m",111,126,116,113,8.6%,5.3%,38.3%,61.7%,https://www.football-lab.jp/niig/report/?year=2016&month=08&date=13
H,福岡,W,3,0,9,22,2,7,0,1,353,510,19,16,12,17,2,3,5,7,26,21,9,19,28,21,24,16,2,6,3,1,2,1,0,0,22,49,9,22,"106,647m","112,278m",125,162,116,122,7.8%,18.0%,43.5%,56.5%,https://www.football-lab.jp/niig/report/?year=2016&month=08&date=20
A,鳥栖,L,0,1,12,5,3,1,0,0,363,354,16,8,19,10,4,6,6,2,27,20,12,14,22,15,21,32,3,2,6,4,2,3,0,0,38,23,10,7,"111,819m","107,010m",147,136,139,119,8.6%,4.2%,51.4%,48.6%,https://www.football-lab.jp/niig/report/?year=2016&month=08&date=27
H,名古屋,L,0,1,9,18,1,3,0,0,225,541,11,16,12,15,0,3,6,14,29,21,5,17,24,11,46,20,2,0,3,0,2,0,0,0,20,66,7,17,"104,191m","111,110m",158,146,112,115,8.0%,15.7%,35.9%,64.1%,https://www.football-lab.jp/niig/report/?year=2016&month=09&date=10
A,横浜FM,L,1,3,9,14,5,7,0,0,518,491,15,12,11,16,2,4,3,4,19,23,12,13,29,16,18,16,1,2,4,2,1,1,0,0,40,52,10,14,"111,042m","115,804m",127,122,111,108,8.1%,13.0%,52.1%,47.9%,https://www.football-lab.jp/niig/report/?year=2016&month=09&date=17
H,鹿島,L,0,2,10,4,3,1,1,0,375,411,12,13,15,12,2,1,3,4,31,41,14,17,44,28,26,20,5,3,1,2,0,3,0,0,30,36,9,10,"108,666m","113,842m",165,155,135,151,7.4%,2.6%,48.3%,51.7%,https://www.football-lab.jp/niig/report/?year=2016&month=09&date=25
A,磐田,W,2,1,13,15,4,6,0,1,302,359,11,12,16,16,5,2,8,6,29,16,17,15,19,25,24,29,4,4,3,5,2,1,0,0,31,37,14,15,"106,479m","108,327m",127,149,146,132,8.9%,11.4%,45.3%,54.7%,https://www.football-lab.jp/niig/report/?year=2016&month=10&date=01
H,浦和,L,1,2,15,6,5,3,0,0,665,295,14,10,16,10,1,4,6,0,23,16,22,13,24,30,13,20,5,4,3,1,3,0,0,0,61,25,16,8,"117,530m","120,249m",192,229,130,119,11.5%,5.0%,66.9%,33.1%,https://www.football-lab.jp/niig/report/?year=2016&month=10&date=22
A,Ｇ大阪,L,1,3,13,17,5,8,1,0,599,351,16,9,15,15,0,2,7,4,19,23,13,12,34,29,21,31,6,4,2,0,2,4,0,2,60,39,14,7,"115,763m","111,306m",171,146,132,122,9.8%,13.9%,60.1%,39.9%,https://www.football-lab.jp/niig/report/?year=2016&month=10&date=29
H,広島,L,0,1,11,8,3,2,0,0,831,385,13,5,10,13,2,5,4,4,22,8,13,8,21,25,9,16,1,7,5,2,1,0,0,0,44,25,9,8,"108,646m","119,335m",118,167,116,116,9.5%,6.9%,65.1%,34.9%,https://www.football-lab.jp/niig/report/?year=2016&month=11&date=03
