HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,L,0,1,4,9,0,2,0,0,576,362,15,17,19,21,7,1,2,7,35,21,8,10,23,30,27,22,0,4,1,7,2,1,0,0,36,26,3,9,"120,215m","119,241m",182,180,145,142,2.8%,6.3%,59.5%,40.5%,https://www.football-lab.jp/shon/report/?year=2016&month=05&date=08
A,福岡,L,0,1,16,12,4,3,0,0,377,282,14,6,14,18,5,2,8,2,24,22,10,8,20,27,29,29,0,1,1,5,2,0,0,0,53,27,18,11,"113,002m","109,859m",201,180,135,128,11.9%,9.4%,53.9%,46.1%,https://www.football-lab.jp/shon/report/?year=2016&month=05&date=14
H,仙台,L,0,1,13,17,6,4,0,0,413,363,12,16,13,15,6,6,2,5,18,33,7,12,23,19,46,17,0,5,6,4,0,0,0,0,33,30,7,14,"114,476m","114,459m",204,185,133,147,9.8%,11.6%,51.6%,48.4%,https://www.football-lab.jp/shon/report/?year=2016&month=05&date=21
H,名古屋,W,2,1,16,14,6,5,0,0,352,346,19,11,20,12,3,2,5,3,27,29,12,11,12,16,21,32,0,1,2,3,3,3,0,0,35,28,14,14,"111,759m","103,498m",173,134,133,123,12.0%,11.4%,50.6%,49.4%,https://www.football-lab.jp/shon/report/?year=2016&month=05&date=29
A,Ｇ大阪,D,3,3,17,20,5,9,0,0,396,536,9,14,7,7,3,0,3,6,22,26,10,9,12,19,29,16,3,0,0,3,1,3,0,0,50,49,9,15,"114,677m","109,177m",180,135,108,116,15.7%,17.2%,46.4%,53.6%,https://www.football-lab.jp/shon/report/?year=2016&month=06&date=11
H,磐田,W,1,0,4,14,3,3,0,0,364,567,8,27,9,11,4,2,5,8,26,25,13,10,17,24,36,25,2,6,2,4,2,2,0,0,29,46,7,11,"119,061m","118,248m",218,177,142,142,2.8%,9.9%,44.2%,55.8%,https://www.football-lab.jp/shon/report/?year=2016&month=06&date=18
A,柏,D,1,1,13,15,5,3,0,0,317,552,12,21,11,15,2,2,4,5,16,31,4,20,29,16,29,8,2,3,2,2,0,1,0,0,35,46,12,13,"119,184m","114,574m",200,151,122,125,10.7%,12.0%,39.2%,60.8%,https://www.football-lab.jp/shon/report/?year=2016&month=06&date=25
H,横浜FM,L,0,3,24,13,3,6,0,0,424,336,16,13,19,14,2,0,7,6,23,17,10,15,19,20,15,26,2,1,0,2,0,1,0,0,51,30,21,15,"112,380m","110,685m",161,152,128,121,18.8%,10.7%,53.6%,46.4%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=02
A,新潟,W,1,0,11,9,4,1,0,0,306,556,14,16,10,11,0,3,2,5,20,34,8,17,24,15,36,11,5,0,3,0,2,1,0,0,35,50,6,12,"120,081m","115,025m",175,129,124,131,8.9%,6.9%,40.4%,59.6%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=09
H,鳥栖,L,0,2,7,17,0,4,0,0,488,389,11,15,9,9,4,3,7,6,14,24,8,11,18,21,15,27,1,5,2,4,3,0,0,0,42,37,7,16,"120,439m","117,647m",186,173,121,131,5.8%,13.0%,52.6%,47.4%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=13
A,神戸,L,0,2,20,15,8,3,0,0,476,454,17,13,8,10,1,2,4,2,29,18,16,8,15,19,24,17,5,4,2,1,2,2,0,0,55,43,19,13,"113,657m","105,913m",156,126,115,116,17.4%,12.9%,47.1%,52.9%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=17
A,仙台,L,0,1,11,16,2,2,0,0,386,505,15,18,13,12,2,4,5,8,18,15,7,15,21,20,31,19,1,3,4,2,0,0,0,0,43,44,9,17,"118,328m","112,231m",206,164,110,118,10.0%,13.6%,43.4%,56.6%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=23
H,川崎Ｆ,L,2,3,20,15,5,6,0,0,418,540,21,12,12,19,4,5,8,1,21,16,11,6,19,15,17,38,2,3,5,4,4,0,0,0,44,50,18,19,"120,099m","111,316m",165,139,125,115,16.0%,13.0%,50.3%,49.7%,https://www.football-lab.jp/shon/report/?year=2016&month=07&date=30
A,浦和,L,1,4,13,19,2,5,0,0,430,515,8,11,3,11,2,3,5,4,15,23,12,11,19,28,23,25,5,3,2,2,1,0,0,0,36,39,8,20,"112,492m","111,059m",187,149,111,121,11.7%,15.7%,44.9%,55.1%,https://www.football-lab.jp/shon/report/?year=2016&month=08&date=06
H,広島,L,1,2,17,16,3,6,0,0,513,536,19,14,11,15,2,1,4,3,12,10,15,12,21,14,11,19,0,2,1,2,2,0,0,0,53,38,14,13,"111,809m","102,630m",143,102,102,103,16.7%,15.5%,48.5%,51.5%,https://www.football-lab.jp/shon/report/?year=2016&month=08&date=13
A,鹿島,L,0,1,3,18,0,8,0,0,326,493,8,22,12,8,0,2,4,6,28,27,8,15,30,25,35,25,1,0,1,0,3,0,0,0,30,51,7,19,"111,822m","102,530m",161,138,121,126,2.5%,14.3%,43.3%,56.7%,https://www.football-lab.jp/shon/report/?year=2016&month=08&date=20
H,Ｇ大阪,L,1,2,11,10,4,4,0,0,431,542,18,17,11,12,3,3,4,6,30,21,9,17,18,24,22,25,1,6,3,3,0,1,0,0,46,49,13,13,"111,654m","111,046m",217,177,123,129,8.9%,7.8%,45.7%,54.3%,https://www.football-lab.jp/shon/report/?year=2016&month=08&date=27
A,FC東京,L,0,3,20,11,2,5,0,0,462,457,22,15,16,11,2,2,7,2,24,15,12,11,20,22,16,28,7,1,2,2,1,2,0,0,46,45,21,13,"117,421m","115,033m",159,155,143,128,14.0%,8.6%,49.6%,50.4%,https://www.football-lab.jp/shon/report/?year=2016&month=09&date=10
H,福岡,L,0,2,15,11,2,4,0,1,422,358,20,11,17,14,1,2,5,3,26,18,15,9,24,26,20,24,4,3,2,0,0,4,0,1,42,24,14,9,"109,921m","107,316m",147,163,133,129,11.3%,8.5%,53.4%,46.6%,https://www.football-lab.jp/shon/report/?year=2016&month=09&date=17
A,磐田,D,0,0,9,14,5,4,0,0,519,304,21,19,16,14,1,4,4,4,30,20,22,12,19,28,24,19,3,1,3,1,0,3,0,0,42,41,16,16,"110,579m","108,264m",152,138,126,115,7.1%,12.2%,59.1%,40.9%,https://www.football-lab.jp/shon/report/?year=2016&month=09&date=25
H,柏,D,0,0,13,27,2,8,0,0,334,451,19,22,16,13,1,2,2,7,29,19,6,16,29,25,30,24,4,1,2,1,3,1,0,0,38,48,10,26,"115,589m","109,976m",193,134,125,129,10.4%,20.9%,44.5%,55.5%,https://www.football-lab.jp/shon/report/?year=2016&month=10&date=01
A,大宮,L,2,3,20,18,6,8,0,0,505,497,13,12,9,17,5,6,2,8,23,14,8,12,20,24,19,22,0,2,6,4,1,1,0,0,47,42,23,14,"114,538m","111,277m",194,169,125,137,16.0%,13.1%,47.4%,52.6%,https://www.football-lab.jp/shon/report/?year=2016&month=10&date=22
H,甲府,W,1,0,4,9,2,0,0,0,520,288,11,21,18,16,3,3,4,8,14,23,8,20,21,17,33,16,7,1,3,3,2,0,0,0,41,29,15,17,"110,504m","106,045m",170,148,129,130,3.1%,6.9%,59%,41%,https://www.football-lab.jp/shon/report/?year=2016&month=10&date=29
A,名古屋,W,3,1,8,23,4,4,0,1,468,416,15,26,12,12,2,4,5,10,10,25,9,13,26,24,39,15,2,3,3,2,2,0,0,0,38,39,14,20,"115,828m","111,994m",226,179,134,145,6.0%,15.9%,53%,47%,https://www.football-lab.jp/shon/report/?year=2016&month=11&date=03
