HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,鳥栖,D,0,0,14,8,4,1,0,0,475,279,19,5,10,8,6,2,6,3,31,18,17,12,18,27,16,28,1,0,2,4,1,2,0,0,36,27,8,7,"116,366m","108,312m",158,142,126,112,11.1%,7.1%,58.3%,41.7%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=17
H,甲府,L,1,3,13,12,4,6,0,0,364,556,7,16,18,13,3,1,2,5,17,33,9,9,11,16,33,8,1,0,1,2,1,2,0,0,25,68,9,22,"113,510m","115,704m",149,142,117,117,11.1%,10.3%,43.2%,56.8%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=23
A,横浜FM,D,0,0,19,10,3,1,0,0,574,322,15,12,16,11,0,1,7,2,28,18,14,11,12,21,14,24,0,0,1,0,0,2,0,0,59,28,18,8,"106,547m","106,640m",152,159,118,105,16.1%,9.5%,59.4%,40.6%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=30
A,広島,L,0,2,21,7,7,3,0,0,761,494,9,14,12,7,0,2,6,1,11,10,17,8,13,20,9,14,3,4,2,0,1,1,0,0,37,40,16,9,"106,329m","108,672m",116,144,92,87,22.8%,8.0%,58.6%,41.4%,https://www.football-lab.jp/nago/report/?year=2016&month=08&date=06
H,浦和,L,0,2,17,5,5,1,0,0,635,447,12,13,6,15,3,2,3,2,13,16,8,5,17,16,26,19,4,4,2,4,0,1,0,0,49,28,17,7,"112,594m","108,248m",139,134,92,105,18.5%,4.8%,55.4%,44.6%,https://www.football-lab.jp/nago/report/?year=2016&month=08&date=13
A,柏,L,1,3,20,4,8,1,0,0,589,356,24,13,6,9,5,2,9,2,29,18,16,5,9,27,14,27,3,0,2,4,1,0,0,0,66,20,18,7,"107,948m","100,388m",162,131,113,102,17.7%,3.9%,57.9%,42.1%,https://www.football-lab.jp/nago/report/?year=2016&month=08&date=20
H,FC東京,D,1,1,13,11,4,3,0,0,483,484,19,17,12,11,1,0,7,4,18,12,14,11,22,18,12,34,4,3,0,1,0,3,0,0,58,39,14,13,"107,720m","102,653m",143,123,106,101,12.3%,10.9%,47.3%,52.7%,https://www.football-lab.jp/nago/report/?year=2016&month=08&date=27
A,新潟,W,1,0,18,9,3,1,0,0,541,225,16,11,15,12,3,0,14,6,21,29,17,5,11,24,20,46,0,2,0,3,0,2,0,0,66,20,17,7,"111,110m","104,191m",146,158,115,112,15.7%,8.0%,64.1%,35.9%,https://www.football-lab.jp/nago/report/?year=2016&month=09&date=10
H,Ｇ大阪,L,1,3,12,11,4,4,0,0,598,455,14,32,10,10,3,1,2,4,14,19,8,7,12,27,21,17,2,1,1,3,1,0,0,0,45,50,14,18,"116,542m","110,045m",137,124,107,100,11.2%,11.0%,52.4%,47.6%,https://www.football-lab.jp/nago/report/?year=2016&month=09&date=17
A,仙台,W,2,1,12,7,2,2,0,0,537,261,19,6,13,14,4,5,5,5,30,20,19,9,21,28,16,33,2,1,5,3,0,3,0,0,59,25,16,10,"109,684m","105,751m",115,118,127,117,9.4%,6.0%,63.3%,36.7%,https://www.football-lab.jp/nago/report/?year=2016&month=09&date=25
H,福岡,W,5,0,19,16,6,6,0,0,477,252,21,8,15,19,3,3,8,4,20,13,10,12,18,18,25,35,1,5,3,2,0,1,0,0,41,27,19,14,"102,609m","100,724m",130,104,115,106,16.5%,15.1%,61.3%,38.7%,https://www.football-lab.jp/nago/report/?year=2016&month=10&date=01
H,磐田,D,1,1,16,15,4,5,0,1,457,352,22,13,14,12,0,1,3,6,27,20,5,14,23,19,31,36,2,3,1,0,0,0,0,0,43,38,14,21,"107,385m","103,257m",152,143,127,125,12.6%,12.0%,55.1%,44.9%,https://www.football-lab.jp/nago/report/?year=2016&month=10&date=22
A,神戸,L,0,3,16,10,4,1,0,0,645,313,12,20,14,15,4,4,5,6,25,23,9,6,14,20,37,33,4,1,3,4,0,1,0,0,66,31,18,17,"110,953m","109,573m",152,171,130,127,12.3%,7.9%,63.4%,36.6%,https://www.football-lab.jp/nago/report/?year=2016&month=10&date=29
H,湘南,L,1,3,8,23,4,4,0,1,468,416,15,26,12,12,2,4,5,10,10,25,9,13,26,24,39,15,2,3,3,2,2,0,0,0,38,39,14,20,"115,828m","111,994m",226,179,134,145,6.0%,15.9%,53%,47%,https://www.football-lab.jp/nago/report/?year=2016&month=11&date=03
