HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
H,新潟,D,0,0,10,20,3,6,0,1,307,749,10,24,13,10,0,4,3,10,16,24,13,18,23,25,23,12,3,3,4,0,1,1,0,0,29,69,11,18,"118,529m","115,648m",156,154,127,136,7.9%,14.7%,34.2%,65.8%,https://www.football-lab.jp/uraw/report/?year=2016&month=05&date=14
A,鳥栖,D,0,0,5,11,0,1,0,0,218,749,6,19,19,7,0,2,1,7,16,21,7,8,13,16,27,7,1,2,1,0,0,2,0,0,15,77,6,13,"115,831m","108,569m",134,134,119,113,4.2%,9.7%,31.5%,68.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=05&date=29
H,鹿島,L,0,2,15,23,5,3,1,0,301,635,15,24,7,16,0,2,4,6,12,33,12,20,31,14,35,19,6,1,2,0,3,2,0,0,36,75,19,22,"112,873m","115,820m",199,199,111,127,13.5%,18.1%,37.1%,62.9%,https://www.football-lab.jp/uraw/report/?year=2016&month=06&date=11
A,Ｇ大阪,L,0,1,9,18,1,3,0,0,307,691,10,21,13,7,1,4,1,6,12,22,10,20,24,11,25,13,1,2,3,1,0,2,0,0,34,83,5,23,"115,131m","115,371m",164,144,105,103,8.6%,17.5%,35.8%,64.2%,https://www.football-lab.jp/uraw/report/?year=2016&month=06&date=15
A,広島,L,2,4,16,16,7,6,0,0,358,657,12,10,13,17,1,2,6,6,21,15,10,10,15,15,15,18,2,3,2,1,1,0,0,0,31,53,13,18,"110,407m","115,079m",153,173,123,118,13.0%,13.6%,38.5%,61.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=06&date=18
H,FC東京,W,3,2,12,21,6,8,0,0,250,691,3,29,13,11,2,2,4,8,21,29,10,22,17,18,26,10,4,1,1,2,0,3,0,0,24,79,6,26,"114,602m","114,101m",145,154,116,120,10.3%,17.5%,30.4%,69.6%,https://www.football-lab.jp/uraw/report/?year=2016&month=06&date=22
H,神戸,W,3,1,9,17,4,8,0,1,400,491,15,17,13,13,1,2,1,7,25,18,17,18,24,32,27,25,3,1,2,1,4,1,0,0,36,50,15,15,"104,345m","113,197m",140,124,119,120,7.6%,14.2%,47.3%,52.7%,https://www.football-lab.jp/uraw/report/?year=2016&month=06&date=25
A,福岡,W,2,1,17,9,6,3,1,0,421,415,25,4,6,19,4,1,7,2,23,21,20,8,19,13,15,26,0,3,0,3,4,2,1,1,43,32,23,8,"108,982m","102,570m",134,113,109,109,15.6%,8.3%,50.3%,49.7%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=02
H,柏,W,2,0,9,17,1,6,0,0,519,411,15,12,8,16,5,3,5,9,25,13,17,12,18,20,23,22,2,2,3,5,1,1,0,0,40,45,7,14,"116,266m","115,947m",175,153,126,125,7.1%,13.6%,53.5%,46.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=09
A,仙台,W,1,0,7,15,0,6,0,0,427,555,15,14,9,16,2,1,5,3,23,22,9,13,13,23,24,15,3,1,1,2,3,1,0,0,33,58,9,15,"115,490m","115,450m",185,166,123,126,5.7%,11.9%,47.4%,52.6%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=13
H,大宮,D,2,2,22,30,4,5,0,0,304,459,12,21,14,21,6,3,8,10,19,13,13,21,11,21,33,27,4,3,3,6,1,2,0,0,31,53,19,23,"112,149m","114,585m",153,161,124,119,17.7%,25.2%,44.5%,55.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=17
A,鹿島,W,2,1,15,14,4,6,0,0,465,559,29,11,8,8,2,2,7,2,31,18,22,7,22,30,13,35,1,1,2,2,1,1,0,0,68,27,25,11,"112,253m","116,682m",153,192,143,130,10.5%,10.8%,46.6%,53.4%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=23
A,甲府,W,2,0,6,11,0,4,0,0,384,666,9,16,20,11,2,0,4,5,18,18,8,15,21,25,22,13,0,4,0,2,0,0,0,0,28,31,10,10,"110,082m","111,596m",131,148,122,111,4.9%,9.9%,40.7%,59.3%,https://www.football-lab.jp/uraw/report/?year=2016&month=07&date=30
H,湘南,W,4,1,13,19,2,5,0,0,430,515,8,11,3,11,2,3,5,4,15,23,12,11,19,28,23,25,5,3,2,2,1,0,0,0,36,39,8,20,"112,492m","111,059m",187,149,111,121,11.7%,15.7%,44.9%,55.1%,https://www.football-lab.jp/uraw/report/?year=2016&month=08&date=06
A,名古屋,W,2,0,5,17,1,5,0,0,447,635,13,12,15,6,2,3,2,3,16,13,5,8,16,17,19,26,4,4,4,2,1,0,0,0,28,49,7,17,"108,248m","112,594m",134,139,105,92,4.8%,18.5%,44.6%,55.4%,https://www.football-lab.jp/uraw/report/?year=2016&month=08&date=13
H,川崎Ｆ,L,1,2,10,13,3,4,0,0,554,500,8,17,13,11,5,0,3,8,16,17,10,18,23,19,40,16,4,1,1,5,2,0,0,0,38,42,10,11,"104,919m","110,233m",117,115,112,110,8.9%,11.8%,51.2%,48.8%,https://www.football-lab.jp/uraw/report/?year=2016&month=08&date=20
A,神戸,L,1,2,15,17,2,5,0,0,348,705,6,12,11,14,2,3,0,5,16,25,17,17,29,26,19,10,4,5,3,2,4,0,0,0,28,57,14,16,"108,010m","117,212m",165,164,132,139,11.4%,12.2%,38.5%,61.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=08&date=27
H,鳥栖,W,2,0,12,13,4,6,0,0,556,414,16,14,18,15,3,4,2,4,15,13,13,13,15,24,16,13,6,6,3,3,2,0,0,0,38,33,7,12,"117,841m","114,895m",147,144,124,122,9.7%,10.7%,56.8%,43.2%,https://www.football-lab.jp/uraw/report/?year=2016&month=09&date=10
A,FC東京,W,3,1,9,20,3,5,1,0,286,555,12,20,6,15,1,6,4,3,16,15,12,18,19,19,24,26,3,5,6,1,2,2,0,0,23,51,12,19,"110,518m","111,048m",155,130,115,113,7.8%,17.7%,38.6%,61.4%,https://www.football-lab.jp/uraw/report/?year=2016&month=09&date=17
H,広島,W,3,0,20,12,8,4,1,0,433,547,25,14,17,12,0,2,9,2,15,15,15,14,15,21,10,24,5,0,1,0,1,3,0,0,33,42,18,14,"103,526m","110,764m",137,165,115,108,17.4%,11.1%,43.8%,56.2%,https://www.football-lab.jp/uraw/report/?year=2016&month=09&date=25
H,Ｇ大阪,W,4,0,4,22,1,9,0,0,395,628,2,18,8,17,2,1,1,1,14,27,4,18,11,14,14,6,1,2,1,2,2,0,1,0,17,68,6,21,"110,760m","116,309m",152,166,119,129,3.4%,17.1%,42.3%,57.7%,https://www.football-lab.jp/uraw/report/?year=2016&month=10&date=01
A,新潟,W,2,1,6,15,3,5,0,0,295,665,10,14,10,16,4,1,0,6,16,23,13,22,30,24,20,13,4,5,1,3,0,3,0,0,25,61,8,16,"120,249m","117,530m",229,192,119,130,5.0%,11.5%,33.1%,66.9%,https://www.football-lab.jp/uraw/report/?year=2016&month=10&date=22
A,磐田,W,1,0,8,24,2,12,0,0,367,610,13,30,5,9,4,2,2,6,20,20,15,23,23,15,20,10,3,5,2,4,0,0,0,0,31,69,5,29,"115,360m","115,166m",181,173,114,122,7.0%,19.7%,41.9%,58.1%,https://www.football-lab.jp/uraw/report/?year=2016&month=10&date=29
H,横浜FM,D,1,1,8,18,4,7,0,0,466,580,6,24,24,12,1,1,1,6,13,21,12,24,28,28,23,9,2,5,1,1,1,1,0,0,22,61,6,25,"112,172m","111,715m",138,156,125,117,6.4%,15.4%,46.6%,53.4%,https://www.football-lab.jp/uraw/report/?year=2016&month=11&date=03
